Governor,,,,,,,,,,,,,,,,,,,,,,,
,,J. NATHAN DEAL(I)(R),,,,,,,JASON J. CARTER (D),,,,,,,ANDREW T. HUNT (L),,,,,,,
Precinct,Registered Voters,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Advance in Person 3,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Advance in Person 3,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Advance in Person 3,Provisional,Total Votes,Total
PEACHTREE MIDDLE,2629,270,26,3,12,69,1,381,457,31,23,35,140,0,686,17,5,0,0,3,0,25,1092
PINE LAKE,478,40,0,2,0,0,0,42,230,3,24,4,0,0,261,2,0,0,0,0,0,2,305
PINEY GROVE,1378,15,0,2,5,0,0,22,350,14,72,66,3,2,507,10,0,0,2,0,0,12,541
PLEASANTDALE ELEM,3011,131,14,4,62,11,0,222,435,25,50,226,28,5,769,20,2,0,4,1,0,27,1018
PONCE DE LEON,1988,141,10,11,27,0,0,189,615,21,71,226,1,2,936,18,0,0,6,0,0,24,1149
PRINCETON ELEM,1709,25,2,9,2,5,0,43,487,20,198,52,97,2,856,6,0,3,0,1,0,10,909
RAINBOW ELEM,2974,42,4,16,12,1,0,75,759,46,225,581,11,2,1624,6,0,1,3,0,0,10,1709
REDAN ELEM,2306,27,0,6,6,5,0,44,634,31,294,75,162,3,1199,6,0,1,0,1,0,8,1251
REDAN MIDDLE,1932,37,3,12,1,12,0,65,406,22,265,41,228,2,964,1,4,1,0,2,0,8,1037
REDAN ROAD,2131,32,1,5,0,6,0,44,528,16,225,66,183,2,1020,8,0,1,0,3,0,12,1076
REDAN-TROTTI LIBRARY,2928,27,4,9,5,7,0,52,785,28,331,90,180,4,1418,4,0,1,1,2,0,8,1478
REHOBOTH,1754,263,15,16,73,0,0,367,433,22,43,125,2,1,626,31,0,0,3,0,0,34,1027
RENFROE MIDDLE,1354,87,5,2,10,0,0,104,562,25,94,100,1,2,784,19,0,0,1,0,0,20,908
ROCK CHAPEL ELEM,2090,25,6,7,0,2,0,40,594,34,213,78,104,2,1025,2,3,2,0,0,0,7,1072
ROCK CHAPEL ROAD,2606,86,10,15,10,4,0,125,860,28,241,94,91,3,1317,3,0,0,0,1,0,4,1446
ROCKBRIDGE ELEM,2604,62,6,26,7,1,0,102,520,14,323,35,20,2,914,9,1,3,0,0,0,13,1029
ROCKBRIDGE ROAD,2783,53,8,17,7,2,0,87,845,33,487,129,108,3,1605,4,0,2,2,0,0,8,1700
ROWLAND ELEM,2686,57,3,21,3,0,0,84,507,23,400,56,13,4,1003,6,0,5,2,0,0,13,1100
ROWLAND ROAD,1567,76,8,14,1,0,0,99,446,21,250,29,6,2,754,2,0,1,1,0,0,4,857
SAGAMORE HILLS ELEM,2535,520,55,10,153,13,1,752,659,60,23,179,22,3,946,29,1,0,3,3,0,36,1734
SALEM MIDDLE,2738,37,4,8,2,2,0,53,844,28,293,344,81,0,1590,3,0,2,0,0,1,6,1649
SCOTT,2045,201,16,8,39,3,0,267,634,51,59,129,5,0,878,22,0,1,2,0,0,25,1170
SHADOW ROCK ELEM,3272,49,13,22,7,6,0,97,795,56,605,96,250,1,1803,12,0,3,1,3,0,19,1919
SHAMROCK,1352,195,23,18,71,4,0,311,337,12,44,105,3,1,502,17,0,1,2,0,0,20,833
SHAW-ROBERT SHAW ELEM,2794,119,7,39,15,1,1,182,588,50,356,58,3,6,1061,24,2,3,1,1,0,31,1274
SILVER LAKE,3464,667,53,3,14,272,0,1009,406,46,19,8,195,0,674,32,2,0,1,7,1,43,1726
SKYLAND,1642,376,22,1,9,49,0,457,307,13,2,5,66,1,394,29,1,0,1,4,0,35,886
SMOKE RISE ELEM,1801,415,32,29,174,0,0,650,315,26,82,176,4,0,603,13,1,0,2,0,0,16,1269
SNAPFINGER ELEM,1535,19,2,3,4,0,0,28,409,30,228,235,5,0,907,5,0,1,0,0,0,6,941
SNAPFINGER ROAD NORTH,1895,36,7,13,1,0,0,57,462,21,248,94,18,0,843,10,2,1,0,0,0,13,913
SNAPFINGER ROAD SOUTH,1596,20,5,9,10,0,0,44,503,19,143,225,24,1,915,6,1,1,3,0,0,11,970
SOUTH DESHON,2643,30,2,12,4,3,0,51,743,40,307,97,115,5,1307,5,0,2,0,1,0,8,1366
SOUTH HAIRSTON,2764,45,2,18,5,4,0,74,673,25,462,49,63,5,1277,9,0,4,1,2,0,16,1367
STEPHENSON HIGH,2677,41,2,25,10,3,0,81,667,32,461,83,97,7,1347,5,3,2,0,1,0,11,1439
STEPHENSON MIDDLE,2797,60,3,20,16,3,0,102,741,28,430,103,123,8,1433,7,1,2,2,0,0,12,1547
STONE MILL ELEM,2442,25,3,9,14,0,0,51,373,19,188,34,9,8,631,5,1,1,2,0,0,9,691
STONE MOUNTAIN CHAMPION,2165,89,4,25,6,1,0,125,488,14,282,31,19,2,836,12,0,2,0,1,0,15,976
STONE MOUNTAIN ELEM,1857,146,131,39,25,4,0,345,338,86,204,49,34,3,714,10,5,6,1,0,0,22,1081
STONE MOUNTAIN LIBRARY,1119,83,2,17,6,1,0,109,241,18,91,12,8,7,377,7,0,2,0,0,0,9,495
