"United States Senator, Chambliss",,,,,,,,,,,,,,,,,,,,
,,DAVID A. PERDUE (R),,,,,,M. MICHELLE NUNN (D),,,,,,AMANDA C. SWAFFORD (L),,,,,,
Precinct,Registered Voters,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Provisional,Total Votes,Total
SC16,3574,14,0,9,12,0,35,858,38,216,997,16,2125,5,1,1,1,0,8,2168
SC17A,39,0,0,1,0,0,1,11,0,3,5,0,19,0,0,0,0,0,0,20
SC17B,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
SC17C,949,9,0,3,8,0,20,207,13,115,171,0,506,1,0,1,1,0,3,529
SC18A,447,1,0,0,0,0,1,59,16,43,93,4,215,0,0,0,3,0,3,219
SC18B,3786,32,7,20,12,0,71,757,43,752,741,40,2333,3,1,0,1,0,5,2409
SC19A,150,2,0,1,0,0,3,35,0,22,34,2,93,0,0,0,0,1,1,97
SC19B,1090,9,1,8,0,0,18,282,13,114,108,0,517,1,0,3,0,0,4,539
SC211,820,9,1,1,2,0,13,261,4,117,52,0,434,0,0,1,0,0,1,448
SC212,2250,38,2,8,7,0,55,550,14,264,174,5,1007,3,0,1,0,0,4,1066
SC23A,4037,35,0,11,4,1,51,1330,25,469,180,15,2019,8,0,1,1,0,10,2080
SC23B,369,7,3,2,0,0,12,101,6,60,16,0,183,3,0,0,0,0,3,198
SC27,1781,13,2,6,2,1,24,500,13,335,134,32,1014,4,1,1,1,0,7,1045
SC29A,2336,14,2,5,2,2,25,651,22,458,118,19,1268,5,0,1,0,1,7,1300
SC30A,131,0,0,0,1,0,1,18,31,4,27,0,80,0,0,0,0,0,0,81
SC30B,1088,5,3,1,1,1,11,261,12,37,230,3,543,2,0,0,1,0,3,557
SS01,2597,826,40,221,70,3,1160,336,13,113,38,2,502,10,1,0,2,1,14,1676
SS02A,1034,138,7,75,13,0,233,135,2,73,13,0,223,5,1,3,0,0,9,465
SS02B,1054,86,1,17,17,0,121,146,4,96,21,0,267,7,0,1,0,0,8,396
SS03,1194,217,17,77,48,1,360,182,9,64,52,4,311,13,0,0,1,0,14,685
SS04,2496,305,7,132,38,3,485,326,14,170,56,10,576,13,0,8,2,0,23,1084
SS05,1617,436,16,107,106,4,669,235,13,74,77,1,400,10,0,0,1,0,11,1080
SS06,1179,265,24,66,140,3,498,140,10,26,75,3,254,4,1,1,1,0,7,759
SS07A,803,126,45,48,94,5,318,71,19,16,33,7,146,3,0,0,0,0,3,467
SS07B,402,54,8,14,35,0,111,41,6,6,19,1,73,5,0,2,1,0,8,192
SS07C,636,104,22,21,35,0,182,68,10,18,16,0,112,5,0,0,0,0,5,299
SS08A,845,104,6,16,23,0,149,147,5,26,30,0,208,10,0,0,0,0,10,367
SS08B,563,124,8,23,51,0,206,54,2,18,30,0,104,1,0,1,0,0,2,312
SS08C,526,64,2,16,14,0,96,49,6,19,44,0,118,3,0,2,0,0,5,219
SS08D,889,87,8,31,46,0,172,108,11,34,60,1,214,4,0,0,0,0,4,390
SS09A,2603,652,55,230,154,0,1091,282,22,124,121,2,551,18,1,1,2,0,22,1664
SS09B,2931,691,58,347,117,5,1218,305,23,186,82,2,598,8,0,1,0,0,9,1825
SS11A,3125,413,22,126,87,6,654,403,24,118,82,8,635,19,2,3,0,0,24,1313
SS11B,1041,101,4,39,14,3,161,138,5,58,35,3,239,4,1,0,0,0,5,405
SS11C,227,10,0,6,2,0,18,27,0,9,10,1,47,2,0,0,0,0,2,67
SS11D,273,42,6,22,5,0,75,33,3,27,5,0,68,2,0,0,0,0,2,145
SS12,2178,416,53,157,82,4,712,290,31,106,58,3,488,7,0,1,0,1,9,1209
SS13A,1273,278,9,63,23,1,374,188,5,62,21,6,282,8,0,1,0,0,9,665
SS13B,935,115,8,41,11,0,175,105,0,26,23,0,154,5,0,0,0,0,5,334
SS14,1173,394,12,75,24,2,507,171,7,47,9,3,237,10,0,1,0,1,12,756
SS15A,1950,74,7,25,3,0,109,303,18,131,18,1,471,9,0,4,1,0,14,594
SS15B,1339,129,8,46,8,0,191,207,8,94,7,0,316,11,0,4,0,0,15,522
SS16,1894,560,44,116,128,0,848,250,13,51,74,1,389,9,1,0,3,0,13,1250
SS17,2998,570,49,350,36,3,1008,308,14,175,33,4,534,15,1,3,0,0,19,1561
SS18A,573,167,4,45,23,0,239,75,4,28,16,1,124,2,0,1,0,0,3,366
SS18B,218,56,3,27,7,0,93,37,0,10,4,0,51,1,0,0,0,0,1,145
SS19A,2523,155,9,100,6,4,274,333,7,206,13,22,581,10,1,1,0,3,15,870
SS19B,1825,165,5,85,18,3,276,228,12,145,14,9,408,6,1,3,0,0,10,694
SS20,1681,142,9,126,5,10,292,152,12,133,10,20,327,8,1,2,1,1,13,632
SS22,2347,282,43,212,10,1,548,253,50,192,15,6,516,17,0,5,0,0,22,1086
SS25,1321,356,28,116,16,0,516,150,15,61,16,0,242,9,0,0,0,0,9,767
SS26,2908,79,7,85,8,0,179,363,10,296,29,1,699,9,1,6,0,0,16,894
SS29A,2374,355,20,127,41,3,546,285,16,122,58,4,485,19,0,1,2,1,23,1054
SS29B,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
SS31,912,138,17,65,56,2,278,101,14,44,62,0,221,3,0,0,1,0,4,503
UC01A,2821,21,0,8,3,0,32,632,6,333,83,3,1057,5,0,2,2,0,9,1098
UC01B,300,1,0,0,0,0,1,46,1,30,12,0,89,0,0,0,0,0,0,90
UC01D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UC01E,43,0,0,0,0,0,0,13,0,12,4,2,31,0,0,0,0,0,0,31
UC02A,5325,58,7,22,11,1,99,1255,41,885,262,45,2488,8,1,5,1,0,15,2602
UC02B,25,2,0,3,0,0,5,3,0,1,0,0,4,0,0,0,0,0,0,9
UC031,1901,164,19,20,6,0,209,410,10,142,65,9,636,6,0,0,0,0,6,851
UC032,16,2,0,0,0,0,2,4,0,0,0,0,4,0,0,0,0,0,0,6
UC034,36,1,0,0,1,0,2,11,0,1,3,0,15,0,0,0,0,0,0,17
UC035,7,2,0,0,0,0,2,2,0,1,0,0,3,0,0,0,0,0,0,5
Totals:,561266,59559,3819,18918,7697,434,90427,106382,5011,29791,30664,1675,173523,2796,115,383,254,44,3592,267542
