,census_tract,white,black,hispanic,total,median_income,majority_race
195,"Census Tract 306, Catoosa County, Georgia",4910,276,262,5495,36466,white
196,"Census Tract 307, Catoosa County, Georgia",7382,303,73,8016,41522,white
197,"Census Tract 101, Charlton County, Georgia",5350,3174,1357,10032,43015,white
198,"Census Tract 102, Charlton County, Georgia",2883,95,88,3066,32129,white
199,"Census Tract 1, Chatham County, Georgia",515,1122,161,1884,3788,black
200,"Census Tract 3, Chatham County, Georgia",1379,166,183,1775,56596,white
201,"Census Tract 6.01, Chatham County, Georgia",570,3224,185,4142,26055,black
202,"Census Tract 9, Chatham County, Georgia",972,103,87,1192,42336,white
203,"Census Tract 11, Chatham County, Georgia",882,1048,35,1999,24632,black
204,"Census Tract 12, Chatham County, Georgia",30,1758,50,1838,11935,black
205,"Census Tract 15, Chatham County, Georgia",574,350,227,1213,14737,NA
206,"Census Tract 20, Chatham County, Georgia",487,744,62,1301,20313,black
207,"Census Tract 21, Chatham County, Georgia",320,1971,0,2305,23935,black
208,"Census Tract 22, Chatham County, Georgia",894,3341,9,4353,24508,black
209,"Census Tract 23, Chatham County, Georgia",60,2047,0,2125,24727,black
210,"Census Tract 26, Chatham County, Georgia",432,965,30,1445,31438,black
211,"Census Tract 27, Chatham County, Georgia",431,2418,43,2935,29081,black
212,"Census Tract 28, Chatham County, Georgia",397,2055,56,2618,21398,black
213,"Census Tract 29, Chatham County, Georgia",2746,174,62,3098,68571,white
214,"Census Tract 30, Chatham County, Georgia",1862,81,119,2163,65221,white
215,"Census Tract 33.01, Chatham County, Georgia",16,1998,4,2072,27014,black
216,"Census Tract 33.02, Chatham County, Georgia",127,1617,0,1750,36012,black
217,"Census Tract 34, Chatham County, Georgia",2253,1645,89,4093,52167,white
218,"Census Tract 35.01, Chatham County, Georgia",801,1754,38,2685,19789,black
219,"Census Tract 35.02, Chatham County, Georgia",1585,2280,22,4008,43333,black
220,"Census Tract 36.01, Chatham County, Georgia",375,2306,313,3009,35536,black
221,"Census Tract 36.02, Chatham County, Georgia",1254,3208,63,4740,36780,black
222,"Census Tract 37, Chatham County, Georgia",506,1245,34,1796,32378,black
223,"Census Tract 38, Chatham County, Georgia",375,2367,46,2873,30147,black
224,"Census Tract 39, Chatham County, Georgia",1366,2454,0,3842,40590,black
225,"Census Tract 40.01, Chatham County, Georgia",3321,1067,87,4548,44325,white
226,"Census Tract 40.02, Chatham County, Georgia",2070,1056,217,3664,33071,white
227,"Census Tract 41, Chatham County, Georgia",1438,396,29,1927,51635,white
228,"Census Tract 42.07, Chatham County, Georgia",1013,2515,79,3917,35189,black
229,"Census Tract 42.08, Chatham County, Georgia",1626,2462,636,5315,41975,NA
230,"Census Tract 42.09, Chatham County, Georgia",1334,1734,190,3558,37277,NA
231,"Census Tract 42.10, Chatham County, Georgia",1302,2419,586,4657,36217,black
232,"Census Tract 42.11, Chatham County, Georgia",2992,1838,289,5171,48974,white
233,"Census Tract 42.12, Chatham County, Georgia",3714,1738,414,6182,57886,white
234,"Census Tract 43, Chatham County, Georgia",1293,579,451,2568,44102,white
235,"Census Tract 44, Chatham County, Georgia",49,2235,0,2297,23469,black
236,"Census Tract 45, Chatham County, Georgia",218,3729,31,3978,38533,black
237,"Census Tract 101.01, Chatham County, Georgia",316,490,3,840,20268,black
238,"Census Tract 101.02, Chatham County, Georgia",2083,1430,462,4116,44000,white
239,"Census Tract 102, Chatham County, Georgia",1911,2557,23,5008,50804,black
240,"Census Tract 105.01, Chatham County, Georgia",2494,1432,1758,5875,27921,NA
241,"Census Tract 105.02, Chatham County, Georgia",883,2594,17,3541,31039,black
242,"Census Tract 106.01, Chatham County, Georgia",1473,2147,554,4302,26748,NA
243,"Census Tract 106.03, Chatham County, Georgia",715,833,22,1669,33706,NA
244,"Census Tract 106.05, Chatham County, Georgia",10,0,0,10,-,white
245,"Census Tract 107, Chatham County, Georgia",8707,7640,1623,18917,71816,NA
246,"Census Tract 108.01, Chatham County, Georgia",2277,194,153,2688,52045,white
247,"Census Tract 108.02, Chatham County, Georgia",5676,2590,593,9269,64188,white
248,"Census Tract 108.03, Chatham County, Georgia",6718,3230,431,11002,53683,white
