,median_income,Geography
450,114844,"Census Tract 304.09, Cobb County, Georgia"
451,45969,"Census Tract 304.10, Cobb County, Georgia"
452,32883,"Census Tract 304.11, Cobb County, Georgia"
453,33698,"Census Tract 304.12, Cobb County, Georgia"
454,39427,"Census Tract 304.13, Cobb County, Georgia"
455,28441,"Census Tract 304.14, Cobb County, Georgia"
456,93365,"Census Tract 305.02, Cobb County, Georgia"
457,57202,"Census Tract 305.04, Cobb County, Georgia"
458,35543,"Census Tract 305.05, Cobb County, Georgia"
459,54375,"Census Tract 305.06, Cobb County, Georgia"
460,66563,"Census Tract 305.07, Cobb County, Georgia"
461,48405,"Census Tract 306.01, Cobb County, Georgia"
462,66167,"Census Tract 306.02, Cobb County, Georgia"
463,34247,"Census Tract 307, Cobb County, Georgia"
464,37672,"Census Tract 308, Cobb County, Georgia"
465,64247,"Census Tract 309.01, Cobb County, Georgia"
466,38656,"Census Tract 309.02, Cobb County, Georgia"
467,33014,"Census Tract 309.04, Cobb County, Georgia"
468,50943,"Census Tract 309.05, Cobb County, Georgia"
469,28944,"Census Tract 310.01, Cobb County, Georgia"
470,30505,"Census Tract 310.02, Cobb County, Georgia"
471,36049,"Census Tract 310.04, Cobb County, Georgia"
472,48793,"Census Tract 310.05, Cobb County, Georgia"
473,36157,"Census Tract 311.01, Cobb County, Georgia"
474,64621,"Census Tract 311.06, Cobb County, Georgia"
475,35100,"Census Tract 311.08, Cobb County, Georgia"
476,54318,"Census Tract 311.10, Cobb County, Georgia"
477,81438,"Census Tract 311.11, Cobb County, Georgia"
478,90156,"Census Tract 311.12, Cobb County, Georgia"
479,29479,"Census Tract 311.13, Cobb County, Georgia"
480,40507,"Census Tract 311.14, Cobb County, Georgia"
481,53830,"Census Tract 311.15, Cobb County, Georgia"
482,35225,"Census Tract 311.16, Cobb County, Georgia"
483,107813,"Census Tract 311.17, Cobb County, Georgia"
484,66525,"Census Tract 311.18, Cobb County, Georgia"
485,64970,"Census Tract 312.05, Cobb County, Georgia"
486,84923,"Census Tract 312.06, Cobb County, Georgia"
487,52375,"Census Tract 312.07, Cobb County, Georgia"
488,63908,"Census Tract 312.08, Cobb County, Georgia"
489,120385,"Census Tract 312.09, Cobb County, Georgia"
