precinct_id,avg_income
MA02,59178
MA03,90827
MA04,85922
MALL,36944
MB,66393
MB01,151826
MC,60060
MC01,70201
MCCRA,56763
MCMS,83421
MD,60073
MD01,126916
ME,47340
ME01,80702
MERI,43272
MF,65252
MG,73467
MH,99519
MI,52163
MIL,45695
MILAN,61995
MILL,57800
MINE,97597
MITC,61084
MITCH,48946
MJ,53982
MK,82597
MK01,102596
ML,53957
ML01,98518
ML011,177674
ML012,177957
ML01B,178663
ML021,187814
ML022,192308
ML023,177951
ML024,191050
ML03,190453
ML04A,163307
ML04B,177276
ML04C,185167
ML05A,179084
ML05B,190552
ML05C,131671
ML06A,89199
ML06B,87763
ML071,195176
ML072,190760
ML07A,190830
MM,43144
MN,41456
MO,55273
MO1,41030
MO2,47081
MO3,50169
MO4,47873
MO5,64441
MO6,58862
MO7,47014
MO8,54253
MO9,44365
MOBI,61990
MONT,61928
MORG,70726
MP,63482
MP01,175772
MQ,146962
MR,59546
MR1A,44292
MR2A,89366
MR2B,65803
MR3A,59512
MR4A,84062
MR4B,65216
MR4C,75012
MR5A,54524
MR5B,71283
MR6A,58779
MR6B,84635
MR7A,45627
MS,135942
MS01,105962
MS02,98553
MT,56035
MT01,157840
MT03,168650
MT04,209572
MU,59808
MULLI,39522
MV,79264
MW,94934
MZ,39914
N,38716
N-26,48473
N0245,53148
N0255,55237
NB,58080
NC,60247
NC01,74561
ND,110638
NE,92325
NEW L,62418
NF,68280
NI,56470
NJ01,96567
NL,46527
NO,89738
NOON,68057
NP01,78443
NS01,98764
NSES,66617
NSMS,47511
NSSH,49549
O-26,48463
OA,102783
OAK1,40879
OAK2,46766
OAK3,34473
OAK4,50188
OB,48884
OGLE,38859
OK,106402
OK01,114544
OR01,113517
OR02,89595
OR03,57033
OR04,67364
OR05,115209
ORLA,41235
OT,50178
OV,51181
P,47187
P-870,33112
P1,45910
PA,45151
PA01,45250
PAO,56552
PB,59654
PC,66941
PE,40270
PE01,54733
PF,42784
PF01,72253
PG,70339
PH,63562
PH1,71624
PH2,71328
PI,65625
PIT,47071
PLAIN,43946
PM01,114307
PM02,87068
PN,49946
PO01,138778
POC,36117
PONDT,48542
POPS,77700
PP01,134031
PR,39894
PR01,87451
PS1A,72598
PS2A,66563
PS3A,69826
PT01,111679
PV,47087
R,50476
RA,56180
RABUN,47530
RAWLI,41775
RB,43583
RC,72727
RD,97840
RD01,59753
RD02,48871
RD03,48407
RD04,49352
RD05,50037
RD06,37022
RD07,39928
RD08,62283
RD09,50524
RD10,31875
RD11,65604
RD12,56520
RE,41228
RECR,55398
RF,69814
RG,35357
RH,49683
RI,76433
RING,69789
RJ,63172
RK,55124
RL,55627
RM,50312
RM01,108003
RN,106859
RO,66399
ROZR,68953
RS01,46869
RU1,70360
RU2,60592
RW01,119826
RW02,147704
RW03,71660
RW04,100484
RW05,58030
RW06,93684
RW07A,45167
RW07B,45199
RW08,105051
RW09,176625
RW10,121388
RW11A,92573
RW12,113183
RW13,103885
RW15,166073
RW16,111042
RW17,100467
RW18,152145
RW19,188215
RW20,141933
RW21A,163531
RW21B,218015
RW22A,96325
S,52779
S0245,46084
S0255,42201
SA,114576
SA01,126654
SB,70145
SC,52799
SC01B,87991
SC02,71558
SC04,52027
SC05A,63222
SC05B,102066
SC05D,88543
SC07A,64122
SC08B,43119
SC08C,58890
SC08D,41035
SC08E,49520
SC08F,49057
SC09A,44119
SC09B,47020
SC1,48972
SC10,41239
SC11A,56811
SC11B,56761
SC13A,56490
SC13B,56576
SC14,42750
SC16,81581
SC17A,54590
SC17B,48921
SC17C,40784
SC18A,53162
SC18B,101984
SC19A,41161
SC19B,47763
SC211,54364
SC212,49768
SC23A,56088
SC23B,54772
SC27,43840
SC29A,49813
SC30A,71555
SC30B,61900
SD,71293
SE,107754
SF,101846
SF01,137846
SG,49335
SG/T,40822
SH,73801
SI,44480
SI01,123730
SJ,36974
SK,73938
SKEN,67934
SL,43764
SM,68825
SM01,125563
SM03,77777
SN,75176
SN1A,62825
SN2A,63205
SN3A,57574
SN4A,88626
SN5A,49861
SN6A,117354
SN7A,99096
SN7B,114953
SO,76688
SO01,128437
SO02,109600
SO03,166401
SOPE,41236
SOU,42455
SP,54351
SQ,64470
SR,44540
SS,60582
SS01,136654
SS02A,90517
SS02B,90711
SS03,69323
SS04,74555
SS05,58646
SS06,69277
SS07A,84333
SS07B,108774
SS07C,108698
SS08A,108647
SS08B,108789
SS08C,84602
SS08D,108535
SS09A,66385
SS09B,107833
SS11A,98045
SS11B,92846
SS11C,102141
SS11D,92925
SS12,124520
SS13A,94222
SS13B,171383
SS14,163014
SS15A,44357
SS15B,72081
SS16,58036
SS17,46913
SS18A,71795
SS18B,90633
SS19A,66305
SS19B,77451
SS20,68468
SS22,52924
SS25,241265
SS26,58020
SS29A,103136
SS29B,104278
SS31,69217
ST,73767
STARK,60193
SU,60584
SUGC,56397
SV,72879
SW,82547
SW01,71484
SW02,48203
TA,49840
TAYLO,45238
TC,31037
TF,96347
TG,102415
TH,69568
TI,58974
TM01,62772
TMS,63453
TOCC,53637
TOW,66014
TR,56944
TR01,157594
TWPK,76623
U,42889
U9,43380
UC01A,49381
UC01B,40035
UC01D,49157
UC01E,48859
UC02A,58449
UC02B,100120
UC031,52050
UC032,50739
UC034,49707
UC035,52152
UT,54480
VA,63788
VA01,133754
VB,47319
VG01,88796
VG02,85142
VG03,101271
VG04,126761
VHS,80573
VILUL,49231
VP,47319
VV1,49710
VV2,50321
VV3,60895
VV4,29935
VV5,34539
VV6,23869
VV7,25265
VV8,34387
W,54229
W-27,48273
WA,70792
WA1,79455
WA2,67267
WARE,44149
WARNO,61305
WB,56525
WD,56206
WEST,76038
WF,107801
WG,51225
WG02,84707
WH,75938
WI,56290
WJ,91712
WK,47227
WL,77636
WL01,136990
WN,73908
WOOD,66347
WORTH,57437
WS,69635
WT,76532
XC-96,54608
YA,65651
YONKE,39051
