,v_id,avg_income,race
704,121SS01,137979,white
705,121SS02A,100683,white
706,121SS02B,100911,white
707,121SS03,66092,white
708,121SS04,75362,
709,121SS05,59825,
710,121SS06,66080,white
711,121SS07A,97006,white
712,121SS07B,91170,white
713,121SS07C,90969,white
714,121SS08A,90941,white
715,121SS08B,91137,white
716,121SS08C,97221,white
717,121SS09,69614,
718,121SS10,100160,white
719,121SS11A,91051,white
720,121SS11B,87294,white
721,121SS11C,88524,
722,121SS11D,87220,white
723,121SS12,122332,white
724,121SS13A,96280,white
725,121SS13B,186364,white
726,121SS14,168371,white
727,121SS15A,45791,black
728,121SS15B,68215,white
729,121SS16,59461,
730,121SS17,46682,white
731,121SS18A,76773,white
732,121SS18B,100689,white
733,121SS19A,62939,
734,121SS19B,79361,white
735,121SS20,68820,
736,121SS22,50658,
737,121SS25,251861,white
738,121SS26,56852,
739,121SS29A,98955,white
740,121SS29B,103805,white
741,121SS31,66076,white
742,121UC01A,52129,black
743,121UC01B,40409,black
744,121UC02A,64456,black
745,121UC02B,98982,black
746,121UC031,49883,black
747,121UC032,40264,black
748,121UC033,43303,black
749,1351,75541,white
750,13510,93628,white
751,135100,113293,white
752,135101,60830,
753,135102,82505,white
754,135103,48718,
755,135104,82116,black
756,135105,122199,white
757,135106,98622,white
758,135107,97552,white
759,135108,81303,white
760,135109,94994,white
761,13511,53987,
762,135110,67590,
763,135111,78608,white
764,135112,82753,white
765,135113,56080,hispanic
766,135114,72771,hispanic
767,135115,64390,
768,135116,64007,
769,135117,51587,
770,135118,80776,white
771,135119,78935,white
772,13512,57945,
773,135120,57779,
774,135121,117246,white
775,135122,66739,black
776,135123,41910,hispanic
777,135124,80027,white
778,135125,144117,white
779,135126,145992,white
780,135127,60025,
781,135128,75901,white
782,135129,110362,white
783,13513,107643,white
784,135130,115738,white
785,135131,141298,white
786,135132,90438,white
787,135133,79589,white
788,135134,78092,white
789,135135,96220,white
790,135136,75888,white
791,135137,75888,white
792,135138,125953,white
793,135139,61000,
794,13514,109540,white
795,135140,141303,white
796,135141,115827,white
797,135142,113240,white
798,135143,77541,
799,135144,66072,
800,135145,78362,white
801,135146,88016,white
802,135147,86566,
803,135148,76682,white
804,135149,96695,white
805,13515,57765,white
806,135150,36356,hispanic
807,135151,75551,white
808,135152,87631,white
809,135153,62933,
810,135154,81967,white
811,135155,117052,white
812,135156,80577,
813,13516,82312,
814,13517,60507,
815,13518,62505,
816,13519,62851,
817,1352,66263,black
818,13520,46386,hispanic
819,13521,52963,hispanic
820,13522,109720,white
821,13523,48355,hispanic
822,13524,71805,white
823,13525,77710,white
824,13526,79532,white
825,13527,87792,white
826,13528,99931,white
827,13529,97506,white
828,1353,84350,white
829,13530,67276,
830,13531,84718,white
831,13532,94291,white
832,13533,97291,white
833,13534,51189,
834,13535,93797,white
835,13536,101530,white
836,13537,49246,
837,13538,45143,hispanic
838,13539,117338,white
839,1354,101057,white
840,13540,92971,white
841,13541,81582,
842,13542,87110,white
843,13543,52832,
844,13544,71221,
845,13545,82831,black
846,13546,108237,white
847,13547,108220,white
848,13548,70674,white
849,13549,78828,white
850,1355,90168,white
851,13550,61667,
852,13551,44235,hispanic
853,13552,93235,white
854,13553,57388,black
855,13554,80352,white
856,13555,61732,white
857,13556,66304,white
858,13557,64783,
859,13558,50737,hispanic
860,13559,42146,
861,1356,88866,white
862,13560,59518,
863,13561,51034,
864,13562,145247,white
865,13563,173934,white
866,13564,72803,black
867,13565,57407,hispanic
868,13566,41693,hispanic
869,13567,86443,white
870,13568,101637,white
871,13569,105599,white
872,1357,95294,white
873,13570,98960,white
874,13571,74203,
875,13572,47088,
876,13573,89261,white
877,13574,46831,hispanic
878,13575,75582,black
879,13576,82166,black
880,13577,74287,
881,13578,81206,white
882,13579,97546,white
883,1358,108937,white
884,13580,84838,
885,13581,63429,white
886,13582,70429,white
887,13583,80931,white
888,13584,78529,
889,13585,87028,white
890,13586,48560,
891,13587,69201,
892,13588,59439,black
893,13589,90340,white
894,1359,86571,white
895,13590,59442,
896,13591,94778,white
897,13592,101058,white
898,13593,110303,white
899,13594,100110,white
900,13595,82197,
901,13596,120589,white
902,13597,87091,white
903,13598,81563,white
904,13599,63536,
