,PRECINCT_N,COUNTY_NAM,avg_income,race,income_bin,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,county,_merge
103,147 BAYCREEK I,GWINNETT,86566.0,,mid,147 BAYCREEK I,3811.0,1391.0,1418.0,2838.0,0.490133897111,0.499647639183,GWINNETT,both
104,080 BAYCREEK C,GWINNETT,84838.0,,mid,080 BAYCREEK C,4276.0,1658.0,1616.0,3303.0,0.501967907962,0.489252194974,GWINNETT,both
105,090 LAWRENCEVILLE I,GWINNETT,59442.0,,mid,090 LAWRENCEVILLE I,2577.0,928.0,898.0,1862.0,0.498388829216,0.482277121375,GWINNETT,both
106,085 LAWRENCEVILLE H,GWINNETT,87028.0,white,mid,085 LAWRENCEVILLE H,3153.0,1529.0,815.0,2386.0,0.640821458508,0.341575859179,GWINNETT,both
107,132 LAWRENCEVILLE K,GWINNETT,90438.0,white,mid,132 LAWRENCEVILLE K,2612.0,1166.0,729.0,1927.0,0.605085625324,0.378308251168,GWINNETT,both
108,060 LAWRENCEVILLE D,GWINNETT,59518.0,,mid,060 LAWRENCEVILLE D,3206.0,535.0,1619.0,2168.0,0.246771217712,0.746771217712,GWINNETT,both
109,042 LAWRENCEVILLE C,GWINNETT,87110.0,white,mid,042 LAWRENCEVILLE C,2188.0,1176.0,446.0,1658.0,0.709288299156,0.268998793727,GWINNETT,both
110,108 BAYCREEK E,GWINNETT,81303.0,white,mid,108 BAYCREEK E,2320.0,972.0,733.0,1735.0,0.56023054755,0.422478386167,GWINNETT,both
111,145 BAYCREEK G,GWINNETT,78362.0,white,mid,145 BAYCREEK G,3121.0,1391.0,985.0,2398.0,0.580066722269,0.410758965805,GWINNETT,both
112,146 BAYCREEK H,GWINNETT,88016.0,white,mid,146 BAYCREEK H,4021.0,2258.0,904.0,3188.0,0.708281053952,0.28356336261,GWINNETT,both
113,091 BAYCREEK D,GWINNETT,94778.0,white,mid,091 BAYCREEK D,3363.0,1702.0,977.0,2711.0,0.627812615271,0.36038362228,GWINNETT,both
114,052 BERKSHIRE G,GWINNETT,93235.0,white,mid,052 BERKSHIRE G,1729.0,933.0,434.0,1392.0,0.67025862069,0.311781609195,GWINNETT,both
115,118 GARNERS F,GWINNETT,80776.0,white,mid,118 GARNERS F,1305.0,664.0,350.0,1028.0,0.645914396887,0.34046692607,GWINNETT,both
116,112 BERKSHIRE N,GWINNETT,82753.0,white,mid,112 BERKSHIRE N,2567.0,1417.0,611.0,2061.0,0.687530325085,0.296458030082,GWINNETT,both
117,SHALLOWFORD FALLS 01,COBB,148135.0,white,high,SHALLOWFORD FALLS 01,2950.0,1616.0,694.0,2350.0,0.687659574468,0.295319148936,COBB,both
