ID,DATA,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY_NUM,COUNTY_NAM,FIPS2,2012_preci,avg_income,race
4694702.0,1297.0,12105C,05C,05C,60,FULTON,121,461.0,46713.0,black
4694737.0,1251.0,12102C,02C,02C,60,FULTON,121,415.0,28755.0,white
4694786.0,1259.0,12102L2,02L2,02L2,60,FULTON,121,423.0,88072.0,white
4694831.0,1258.0,12102L1,02L1,02L1,60,FULTON,121,422.0,53181.0,hispanic
4694889.0,1306.0,12106K,06K,06K,60,FULTON,121,470.0,52425.0,
4694929.0,1338.0,12108P,08P,08P,60,FULTON,121,501.0,75640.0,white
4694981.0,1333.0,12108K,08K,08K,60,FULTON,121,496.0,141258.0,white
4695027.0,1334.0,12108L,08L,08L,60,FULTON,121,497.0,85663.0,white
4400435.0,560.0,067FP01,FP01,FULLERS PARK 01,33,COBB,67,99.0,136145.0,white
4400504.0,644.0,067SM01,SM01,SEWELL MILL 01,33,COBB,67,183.0,114784.0,white
4400583.0,593.0,067MD01,MD01,MURDOCK 01,33,COBB,67,132.0,124587.0,white
4400643.0,613.0,067MT04,MT04,MT BETHEL 04,33,COBB,67,152.0,173161.0,white
4400698.0,548.0,067EA01,EA01,EASTSIDE 01,33,COBB,67,87.0,132482.0,white
4400759.0,542.0,067DC01,DC01,DICKERSON 01,33,COBB,67,81.0,134977.0,white
4400819.0,545.0,067DO01,DO01,DODGEN 01,33,COBB,67,84.0,125279.0,white
4406881.0,541.0,067CR01,CR01,CHESTNUT RIDGE 01,33,COBB,67,80.0,128597.0,white
4406946.0,640.0,067RW02,RW02,ROSWELL 02,33,COBB,67,179.0,153230.0,white
4407003.0,641.0,067SA01,SA01,SANDY PLAINS 01,33,COBB,67,180.0,109204.0,white
4407065.0,630.0,067PP01,PP01,POPE 01,33,COBB,67,169.0,115263.0,white
4407118.0,591.0,067MB01,MB01,MABRY 01,33,COBB,67,130.0,137690.0,white
4407159.0,547.0,067DV01,DV01,DAVIS 01,33,COBB,67,86.0,103145.0,white
4407196.0,563.0,067GM01,GM01,GARRISON MILL 01,33,COBB,67,102.0,111733.0,white
4407243.0,629.0,067PO01,PO01,POST OAK 01,33,COBB,67,168.0,137366.0,white
4407304.0,567.0,067HT01,HT01,HIGHTOWER 01,33,COBB,67,106.0,133473.0,white
4689886.0,1295.0,12105A2,05A2,05A2,60,FULTON,121,459.0,67795.0,black
4689975.0,1268.0,12103G,03G,03G,60,FULTON,121,432.0,17020.0,black
4690024.0,1277.0,12103T,03T,03T,60,FULTON,121,441.0,43261.0,black
4690086.0,1274.0,12103P2,03P2,03P2,60,FULTON,121,438.0,28561.0,black
4690125.0,1249.0,12102A,02A,02A,60,FULTON,121,413.0,52347.0,white
4690172.0,1273.0,12103P1,03P1,03P1,60,FULTON,121,437.0,55430.0,white
4690246.0,1262.0,12102X,02X,02X,60,FULTON,121,426.0,60674.0,white
5210088.0,1403.0,121AP06,AP06,AP06,60,FULTON,121,563.0,97642.0,white
5210152.0,1405.0,121AP07B,AP07B,AP07B,60,FULTON,121,565.0,129501.0,white
5210245.0,1483.0,121ML02B,ML02B,ML02B,60,FULTON,121,637.0,176259.0,white
5210305.0,1408.0,121AP10,AP10,AP10,60,FULTON,121,568.0,158669.0,white
5210355.0,1404.0,121AP07A,AP07A,AP07A,60,FULTON,121,564.0,90769.0,white
5210438.0,1485.0,121ML04,ML04,ML04,60,FULTON,121,639.0,165279.0,white
4163711.0,1370.0,12111H,11H,11H,60,FULTON,121,532.0,45824.0,black
4163774.0,1357.0,12110J,10J,10J,60,FULTON,121,519.0,29343.0,black
4163819.0,1437.0,121EP03,EP03,EP03,60,FULTON,121,591.0,49166.0,black
4163868.0,1387.0,12112L,12L,12L,60,FULTON,121,548.0,24758.0,black
4163928.0,1438.0,121EP04,EP04,EP04,60,FULTON,121,592.0,28209.0,white
4164009.0,1384.0,12112G,12G,12G,60,FULTON,121,545.0,25997.0,black
4164046.0,1380.0,12112D,12D,12D,60,FULTON,121,542.0,26172.0,black
5223283.0,1482.0,121ML02A,ML02A,ML02A,60,FULTON,121,636.0,209918.0,white
5223412.0,1484.0,121ML03,ML03,ML03,60,FULTON,121,638.0,224689.0,white
