AREA,COUNTY,COUNTY_NAM,CTYSOSID,DATA,DISTRICT,FIPS2,ID,PRECINCT_I,PRECINCT_N,income_r_1,income_rac
2.68,60,FULTON,121ML023,1454,121ML023,121,5110147,ML023,ML023,177681.167199,white
0.52,60,FULTON,121ML022,1453,121ML022,121,5110196,ML022,ML022,190427.0,white
0.49,60,FULTON,121AP10,1389,121AP10,121,5110217,AP10,AP10,169333.999407,white
2.57,60,FULTON,121ML04A,1457,121ML04A,121,5110267,ML04A,ML04A,163189.779537,white
1.99,60,FULTON,121AP07A,1385,121AP07A,121,5110337,AP07A,AP07A,90764.2214155,white
0.38,60,FULTON,121ML024,1455,121ML024,121,5110420,ML024,ML024,190426.999955,white
2.47,60,FULTON,121ML04B,1458,121ML04B,121,5110447,ML04B,ML04B,177112.076944,white
6.61,60,FULTON,121ML021,1452,121ML021,121,5123124,ML021,ML021,187591.470592,white
7.55,60,FULTON,121ML03,1456,121ML03,121,5123250,ML03,ML03,190427.0,white
2.07,60,FULTON,121ML07A,1467,121ML07A,121,5123328,ML07A,ML07A,190427.0,white
0.73,60,FULTON,121ML05B,1461,121ML05B,121,5123375,ML05B,ML05B,190427.0,white
0.89,60,FULTON,12112B,1356,12112B,121,4572674,12B,12B,48162.9999502,black
0.4,60,FULTON,12112S,1370,12112S,121,4572745,12S,12S,37724.9999756,black
0.91,60,FULTON,12101J,1214,12101J,121,4572780,01J,01J,30444.8270649,black
0.89,60,FULTON,12101C1,1206,12101C1,121,4572853,01C1,01C1,38173.0765435,black
