ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,income_rac,income_r_1
4764015,2.48,621,067RW01,067RW01,RW01,ROSWELL 01,33,COBB,067,white,135308.349366000009468
4764088,2.53,1471,121RW02,121RW02,RW02,RW02,60,FULTON,121,white,142982.961069000011776
4764155,2.20,1480,121RW10,121RW10,RW10,RW10,60,FULTON,121,white,121373.989042000001064
4764210,2.27,1485,121RW15,121RW15,RW15,RW15,60,FULTON,121,white,166033.558255999989342
4764273,4.01,1470,121RW01,121RW01,RW01,RW01,60,FULTON,121,white,108603.189828000002308
4764348,3.03,1472,121RW03,121RW03,RW03,RW03,60,FULTON,121,,71633.402841699993587
5034183,1.90,1812,135155,135155,155,SUWANEE G,67,GWINNETT,135,white,120739.198900999996113
5034227,3.29,1797,135140,135140,140,SUWANEE H,67,GWINNETT,135,white,145658.999772000010125
5034287,1.72,1674,13517,13517,17,MARTINS A,67,GWINNETT,135,,59083.772867100000440
5034337,3.72,1734,13577,13577,77,GOODWINS C,67,GWINNETT,135,,67035.199243499999284
5034415,2.80,1754,13597,13597,97,GOODWINS E,67,GWINNETT,135,,83664.914407599993865
3958663,2.52,567,067LM02,067LM02,LM02,LOST MOUNTAIN 02,33,COBB,067,white,132393.217757000005804
3958718,2.33,547,067FR01,067FR01,FR01,FORD 01,33,COBB,067,white,140268.115178999985801
3958775,3.18,532,067DU01,067DU01,DU01,DURHAM 01,33,COBB,067,white,122343.999989999996615
3958825,5.54,563,067KP03,067KP03,KP03,KEMP 03,33,COBB,067,white,123383.605978000006871
3958891,2.45,548,067FY01,067FY01,FY01,FREY 01,33,COBB,067,white,121066.425675999998930
3958944,2.02,569,067LM04,067LM04,LM04,LOST MOUNTAIN 04,33,COBB,067,white,130492.169301000001724
3958991,9.31,593,067MS01,067MS01,MS01,MARS HILL 01,33,COBB,067,white,105760.970971000002464
3959109,1.48,570,067LW01,067LW01,LW01,LEWIS 01,33,COBB,067,white,99747.796857199995429
