DISTRICT,income,race,Precinct Description,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,_merge
067BG01,69130.7263802,white,BIG SHANTY 01,,,,,,,,left_only
067MR4B,65071.6983488,white,MARIETTA 4B,,,,,,,,left_only
067EL01,68561.6172113,white,ELIZABETH 01,,,,,,,,left_only
067PM01,114203.499666,white,PINE MOUNTAIN 01,,,,,,,,left_only
067KE2A,85698.9271015,white,KENNESAW 2A,,,,,,,,left_only
067MS02,98446.0335185,white,MARS HILL 02,,,,,,,,left_only
067AC1C,79031.1637163,white,ACWORTH 1C,,,,,,,,left_only
067KE4A,77266.2969222,white,KENNESAW 4A,,,,,,,,left_only
067KE5A,79632.8809973,white,KENNESAW 5A,,,,,,,,left_only
067BK01,83133.409111,white,BAKER 01,,,,,,,,left_only
067OK01,114410.028123,white,OAKDALE 01,,,,,,,,left_only
067NJ01,96528.8662411,white,NICKAJACK 01,,,,,,,,left_only
067SN6A,117261.09756,white,SMYRNA 6A,,,,,,,,left_only
067VG03,101153.096721,white,VININGS 03,,,,,,,,left_only
067VG02,85128.5831797,,VININGS 02,,,,,,,,left_only
067SN2A,63168.5304485,,SMYRNA 2A,,,,,,,,left_only
067SN1A,62805.5286894,,SMYRNA 1A,,,,,,,,left_only
067MR6B,84439.8843064,white,MARIETTA 6B,,,,,,,,left_only
067EL02,71124.8854385,white,ELIZABETH 02,,,,,,,,left_only
067EL04,69450.4283272,white,ELIZABETH 04,,,,,,,,left_only
067SM03,77698.3457055,white,SEWELL MILL 03,,,,,,,,left_only
067EL03,100849.673996,white,ELIZABETH 03,,,,,,,,left_only
067EL05,107569.000056,white,ELIZABETH 05,,,,,,,,left_only
089KE,58064.2778009,black,KNOLLWOOD,,,,,,,,left_only
089WA,39815.870019,black,WADSWORTH,,,,,,,,left_only
13566,43949.9557506,hispanic,PINCKNEYVILLE O,,,,,,,,left_only
13538,48601.4434474,hispanic,PINCKNEYVILLE F,,,,,,,,left_only
13559,46957.0349528,,PINCKNEYVILLE N,,,,,,,,left_only
089BF,58317.6675457,,BROCKETT ELEM (TUC),,,,,,,,left_only
13584,80120.3323567,,LAWRENCEVILLE G,,,,,,,,left_only
135150,33750.9787657,,DULUTH K,,,,,,,,left_only
13548,72921.5412114,,DULUTH B,,,,,,,,left_only
13596,110492.900219,,DULUTH G,,,,,,,,left_only
13572,44527.0956843,,MARTINS E,,,,,,,,left_only
13595,80415.67377,,DULUTH F,,,,,,,,left_only
135138,104633.557229,,DULUTH I,,,,,,,,left_only
1357,98014.0090971,white,DULUTH A,,,,,,,,left_only
089SS,60566.2389816,black,SNAPFINGER ROAD S,,,,,,,,left_only
089MI,47983.0366455,black,MILLER GROVE,,,,,,,,left_only
13564,68808.0899946,black,GARNERS D,,,,,,,,left_only
089CT,27600.0000297,black,COVINGTON HWY,,,,,,,,left_only
089CK,37306.7694379,black,CLARKSTON (CLA),,,,,,,,left_only
13510,93438.5673772,white,CATES A,,,,,,,,left_only
13581,70051.9971414,,CATES L,,,,,,,,left_only
135156,80793.2614533,,BAYCREEK J,,,,,,,,left_only
13541,78720.2706164,,BAYCREEK B,,,,,,,,left_only
135134,76728.0000797,white,BAYCREEK F,,,,,,,,left_only
13594,101025.320875,white,CATES N,,,,,,,,left_only
1355,89086.6851566,white,BAYCREEK A,,,,,,,,left_only
13586,48606.0125066,,MARTINS F,,,,,,,,left_only
13534,58238.2312173,,BERKSHIRE F,,,,,,,,left_only
135119,82742.4891836,white,BERKSHIRE O,,,,,,,,left_only
13519,59659.7987336,,MARTINS C,,,,,,,,left_only
13543,52116.1756184,,MARTINS D,,,,,,,,left_only
135116,62145.012094,,MARTINS I,,,,,,,,left_only
135117,47118.6057567,,MARTINS J,,,,,,,,left_only
13588,56859.2083175,black,ROCKBRIDGE E,,,,,,,,left_only
089LD,48247.0,black,LITHONIA (LIT),,,,,,,,left_only
12101I,34378.0001593,black,01I,,,,,,,,left_only
12105C,34376.6748439,black,05C,,,,,,,,left_only
089PE,42070.0496019,black,PINE LAKE (PIN),,,,,,,,left_only
089RE,41197.1690337,black,ROCKBRIDGE,,,,,,,,left_only
089MA,61031.4152713,black,MILLER-ELDRIDGE L MILLER ELEM,,,,,,,,left_only
13545,73877.0920981,black,GARNERS B,,,,,,,,left_only
13532,97661.8156498,white,BERKSHIRE D,,,,,,,,left_only
13511,48747.0001917,,BERKSHIRE A,,,,,,,,left_only
135120,60881.664558,,BERKSHIRE P,,,,,,,,left_only
135109,98089.3071449,white,BERKSHIRE M,,,,,,,,left_only
13574,45760.9254793,,PINCKNEYVILLE Q,,,,,,,,left_only
135103,51231.4140089,,BERKSHIRE L,,,,,,,,left_only
135118,82412.7626273,white,GARNERS F,,,,,,,,left_only
135112,77794.2471374,white,BERKSHIRE N,,,,,,,,left_only
13533,91737.9999169,white,BERKSHIRE E,,,,,,,,left_only
13592,101415.695334,white,BERKSHIRE J,,,,,,,,left_only
13549,80846.954552,white,GARNERS C,,,,,,,,left_only
13514,106134.001048,white,GARNERS A,,,,,,,,left_only
089JA,36435.5899204,white,JOHNSON ESTATES (ATL),,,,,,,,left_only
089SI,44447.773362,black,STN MTN MIDDLE,,,,,,,,left_only
089SH,117152.875737,white,SMOKE RISE,,,,,,,,left_only
13512,60552.4691547,,BERKSHIRE B,,,,,,,,left_only
135148,73174.953133,,BERKSHIRE Q,,,,,,,,left_only
089SP,43995.228424,black,STONE MTN CHAMPION (STO),,,,,,,,left_only
089SQ,64377.0594466,black,STONE MTN LIBRARY  (STO),,,,,,,,left_only
13557,68527.5590905,,DULUTH D,,,,,,,,left_only
13582,68022.5747984,,DULUTH E,,,,,,,,left_only
13556,60812.2880176,,DULUTH C,,,,,,,,left_only
13565,58383.6657037,,BERKSHIRE H,,,,,,,,left_only
135123,43085.6810829,hispanic,PINCKNEYVILLE Y,,,,,,,,left_only
13523,44776.1697722,,PINCKNEYVILLE D,,,,,,,,left_only
13558,49756.4892071,,PINCKNEYVILLE K,,,,,,,,left_only
13550,61858.2203188,,PINCKNEYVILLE I,,,,,,,,left_only
089WL,126049.575239,white,WINTERS CHAPEL (DUN),,,,,,,,left_only
135101,62044.1526814,,PINCKNEYVILLE U,,,,,,,,left_only
089IA,62406.8975829,black,IDLEWOOD ELEM (TUC),,,,,,,,left_only
089BH,70612.1762036,,BROCKETT (TUC),,,,,,,,left_only
089WJ,91628.9954277,,WOODWARD (BHAVN),,,,,,,,left_only
089CO,103435.932886,,CROSS KEYS HIGH (BHAVN),,,,,,,,left_only
089BE,83551.484499,hispanic,BRIARWOOD (BHAVN),,,,,,,,left_only
089BI,123167.521961,white,BROOKHAVEN (BHAVN),,,,,,,,left_only
089SE,120886.597542,white,SILVER LAKE (BHAVN),,,,,,,,left_only
089SF,101731.994626,,SKYLAND (BHAVN),,,,,,,,left_only
089AB,121469.258963,white,ASHFORD PARK ELEM (BHAVN),,,,,,,,left_only
089DC,54242.2244947,hispanic,DRESDEN ELEM (CHA),,,,,,,,left_only
089CL,57071.1882567,black,CLIFTON,,,,,,,,left_only
089EA,79382.0158026,black,EAST LAKE (ATL),,,,,,,,left_only
089MD,60027.4694929,black,MCNAIR,,,,,,,,left_only
089OK,106164.804212,white,OAKHURST (DEC),,,,,,,,left_only
089RN,106721.992146,white,RENFROE MIDDLE (DEC),,,,,,,,left_only
089PG,91336.453884,white,PONCE DE LEON (DEC),,,,,,,,left_only
089CV,94575.0664381,white,CLAIREMONT EAST (DEC),,,,,,,,left_only
089WF,107682.555416,white,WINNONA PARK ELEM (DEC),,,,,,,,left_only
089GA,109095.808889,white,GLENNWOOD (DEC),,,,,,,,left_only
089CI,109860.295873,white,CLAIREMONT WEST (DEC),,,,,,,,left_only
089AE,74514.5410651,white,AVONDALE (AVO),,,,,,,,left_only
089MO,55244.8169723,black,MIDWAY,,,,,,,,left_only
089PA,45137.9976276,black,PEACHCREST,,,,,,,,left_only
089SR,44471.7333448,black,SNAPFINGER ROAD N,,,,,,,,left_only
089BL,67348.9990567,black,BOULDERCREST ROAD,,,,,,,,left_only
12101C2,35120.0000431,black,01C2,,,,,,,,left_only
089CN,56069.8578966,white,COAN MIDDLE (ATL),,,,,,,,left_only
089EE,64047.6932682,white,EPWORTH (ATL),,,,,,,,left_only
089LE,59997.6991367,white,LIN-MARY LIN ELEM (ATL),,,,,,,,left_only
089BB,52449.3895367,white,BOULEVARD (ATL),,,,,,,,left_only
089ML,53920.7683813,black,MEADOWVIEW,,,,,,,,left_only
089BR,56858.983108,white,BURGESS ELEM (ATL),,,,,,,,left_only
089MT,55994.556887,white,METROPOLITAN (ATL),,,,,,,,left_only
089TA,49803.0111423,black,TERRY MILL,,,,,,,,left_only
089KB,131053.188751,white,KINGSLEY ELEM (DUN),,,,,,,,left_only
089DA,51380.957949,,DORAVILLE NORTH (DOR),,,,,,,,left_only
089NF,68242.5858185,,NORTH PEACHTREE (DUN),,,,,,,,left_only
13537,49915.3815158,,PINCKNEYVILLE E,,,,,,,,left_only
089PF,42765.322967,,PLEASANTDALE ROAD,,,,,,,,left_only
13573,89159.9742188,white,PINCKNEYVILLE P,,,,,,,,left_only
135126,157289.26475,white,PINCKNEYVILLE A1,,,,,,,,left_only
13522,112593.361519,white,PINCKNEYVILLE C,,,,,,,,left_only
135125,157519.000127,white,PINCKNEYVILLE Z,,,,,,,,left_only
13562,158449.136342,white,PINCKNEYVILLE L,,,,,,,,left_only
13563,174588.43018,white,PINCKNEYVILLE M,,,,,,,,left_only
13521,48705.2491376,hispanic,PINCKNEYVILLE B,,,,,,,,left_only
13551,41192.3195348,hispanic,PINCKNEYVILLE J,,,,,,,,left_only
135113,58325.9909451,,PINCKNEYVILLE V,,,,,,,,left_only
135114,68796.7918856,,PINCKNEYVILLE W,,,,,,,,left_only
13520,48121.3441719,hispanic,PINKCNEYVILLE A,,,,,,,,left_only
13587,73037.8726623,,PINCKNEYVILLE S,,,,,,,,left_only
089DB,50535.0285842,,DORAVILLE SOUTH (DOR),,,,,,,,left_only
089AG,138754.283642,white,ASHFORD DUNWOODY RD (BHAVN),,,,,,,,left_only
089AH,94373.329923,white,ASHFORD PARKSIDE (BHAVN),,,,,,,,left_only
089MU,59718.1137412,white,MONTGOMERY ELEM  (BHAVN),,,,,,,,left_only
089KG,64576.1341072,white,KITTREDGE ELEM (BHAVN),,,,,,,,left_only
089GD,93518.2565336,white,GEORGETOWN SQ (DUN),,,,,,,,left_only
089DF,103704.870622,,DUNWOODY (DUN),,,,,,,,left_only
089MS,135705.256782,white,MOUNT VERNON WEST (DUN),,,,,,,,left_only
135122,66881.53564,black,ROCKBRIDGE G,,,,,,,,left_only
13529,105833.146071,white,CATES B,,,,,,,,left_only
13579,105832.992696,white,CATES K,,,,,,,,left_only
135139,60154.2597737,,MARTINS K,,,,,,,,left_only
135115,62549.6379779,,MARTINS H,,,,,,,,left_only
13568,104667.072613,white,CATES I,,,,,,,,left_only
13593,115555.99355,white,CATES M,,,,,,,,left_only
135127,60407.0102112,,LAWRENCEVILLE J,,,,,,,,left_only
13518,59237.7297579,,MARTINS B,,,,,,,,left_only
13569,103561.424641,white,CATES J,,,,,,,,left_only
13536,101285.282677,white,CATES E,,,,,,,,left_only
135107,105700.685053,white,CATES O,,,,,,,,left_only
13535,95189.7064185,white,CATES D,,,,,,,,left_only
13544,69315.1544263,black,ROCKBRIDGE B,,,,,,,,left_only
13553,55325.4170542,black,CATES H,,,,,,,,left_only
13546,112113.957655,white,CATES F,,,,,,,,left_only
13547,112113.999945,white,CATES G,,,,,,,,left_only
135143,79124.9828859,,LAWRENCEVILLE L,,,,,,,,left_only
13561,53880.4268808,,LAWRENCEVILLE E,,,,,,,,left_only
135153,65770.3293267,,LAWRENCEVILLE N,,,,,,,,left_only
13516,84147.2609054,,LAWRENCEVILLE B,,,,,,,,left_only
13578,80066.6393881,white,BAYCREEK K,,,,,,,,left_only
13515,54894.2737124,,LAWRENCEVILLE A,,,,,,,,left_only
135110,62952.278405,,MARTINS G,,,,,,,,left_only
135124,70959.3286338,,GOODWINS G,,,,,,,,left_only
135149,93855.9999817,white,GOODWINS I,,,,,,,,left_only
1356,82916.7351706,white,GOODWINS A,,,,,,,,left_only
135128,72928.3511667,white,GOODWINS H,,,,,,,,left_only
13583,83704.7140178,white,GOODWINS D,,,,,,,,left_only
135106,104351.906772,,SUWANEE C,,,,,,,,left_only
135105,111801.874104,white,SUGAR HILL F,,,,,,,,left_only
