,DISTRICT,income,race,Precinct Description,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,_merge
244,121SS19A,66247.9391108,,SS19A,SS19A,2523.0,274.0,581.0,870.0,0.0,0.0,both
245,121SS29B,103129.0,,SS29B,,,,,,,,left_only
246,121SS26,57995.7841135,,SS26,SS26,2908.0,179.0,699.0,894.0,0.0,0.0,both
247,121SS20,68393.6845785,,SS20,SS20,1681.0,292.0,327.0,632.0,0.0,0.0,both
248,121SS22,52899.405147,,SS22,SS22,2347.0,548.0,516.0,1086.0,0.0,0.0,both
249,121RW11A,92566.1771281,white,RW11A,RW11A,2266.0,653.0,460.0,1138.0,0.0,0.0,both
250,121RW19,187821.165651,white,RW19,RW19,1742.0,672.0,264.0,950.0,0.0,0.0,both
251,121ML012,177525.000024,white,ML012,ML012,421.0,189.0,47.0,241.0,0.0,0.0,both
252,121ML01B,178143.432728,white,ML01B,ML01B,52.0,17.0,5.0,22.0,0.0,0.0,both
253,121AP04A,138431.719885,white,AP04A,AP04A,1349.0,589.0,188.0,794.0,0.0,0.0,both
254,121ML011,177524.999989,white,ML011,ML011,1809.0,651.0,229.0,893.0,0.0,0.0,both
255,121AP04B,177524.999495,white,AP04B,AP04B,317.0,111.0,53.0,166.0,0.0,0.0,both
256,12105A2,74509.8315883,white,05A2,05A2,2051.0,102.0,800.0,922.0,0.0,0.0,both
257,12103G,15389.0001477,black,03G,03G,513.0,5.0,162.0,169.0,0.0,0.0,both
258,12103T,44311.8871663,black,03T,03T,1308.0,21.0,476.0,506.0,0.0,0.0,both
259,12103P2,21209.0,black,03P2,,,,,,,,left_only
260,12104F,49896.5106383,white,04F,04F,1736.0,42.0,523.0,573.0,0.0,0.0,both
261,12103P1A,53680.0186107,white,03P1A,03P1A,2357.0,84.0,543.0,645.0,0.0,0.0,both
262,12103I,66113.854176,,03I,03I,1080.0,75.0,202.0,291.0,0.0,0.0,both
263,121AP06,111870.317795,white,AP06,AP06,1524.0,566.0,226.0,807.0,0.0,0.0,both
264,121AP07B,138287.349975,white,AP07B,AP07B,1219.0,434.0,177.0,618.0,0.0,0.0,both
265,121ML023,177681.167199,white,ML023,ML023,1112.0,499.0,102.0,606.0,0.0,0.0,both
266,121ML022,190427.0,white,ML022,ML022,221.0,79.0,17.0,97.0,0.0,0.0,both
267,121AP10,169333.999407,white,AP10,AP10,849.0,317.0,123.0,454.0,0.0,0.0,both
268,121ML04A,163189.779537,white,ML04A,ML04A,1366.0,503.0,173.0,694.0,0.0,0.0,both
269,121AP07A,90764.2214155,white,AP07A,AP07A,2654.0,724.0,507.0,1264.0,0.0,0.0,both
270,121ML024,190426.999955,white,ML024,ML024,86.0,47.0,3.0,50.0,0.0,0.0,both
271,121ML04B,177112.076944,white,ML04B,ML04B,1031.0,440.0,133.0,581.0,0.0,0.0,both
272,121ML021,187591.470592,white,ML021,ML021,1298.0,534.0,118.0,661.0,0.0,0.0,both
273,121ML03,190427.0,white,ML03,ML03,3204.0,1315.0,301.0,1645.0,0.0,0.0,both
274,121ML07A,190427.0,white,ML07A,ML07A,571.0,217.0,63.0,289.0,0.0,0.0,both
275,121ML05B,190427.0,white,ML05B,ML05B,314.0,134.0,37.0,173.0,0.0,0.0,both
276,12112B,48162.9999502,black,12B,12B,1884.0,42.0,819.0,874.0,0.0,0.0,both
277,12112S,37724.9999756,black,12S,12S,1415.0,11.0,594.0,610.0,0.0,0.0,both
278,12101J,30444.8270649,black,01J,01J,1925.0,21.0,744.0,773.0,0.0,0.0,both
279,12101C1,38173.0765435,black,01C1,01C1,812.0,10.0,276.0,288.0,0.0,0.0,both
280,12112A,48162.9996438,black,12A,12A,597.0,10.0,280.0,295.0,0.0,0.0,both
281,12112K,29682.5130538,black,12K,12K,2249.0,32.0,783.0,822.0,0.0,0.0,both
282,12112N,28004.0125754,black,12N,12N,692.0,5.0,229.0,234.0,0.0,0.0,both
283,12104B,43957.3952996,black,04B,04B,1757.0,15.0,332.0,353.0,0.0,0.0,both
284,13555,64396.6603751,white,SUGAR HILL D,SUGAR HILL D,2696.0,818.0,410.0,1275.0,0.0,0.0,both
285,135102,79498.6926708,white,PUCKETTS B,PUCKETTS B,2300.0,856.0,350.0,1247.0,0.0,0.0,both
286,13524,73604.6428598,,SUGAR HILL A,SUGAR HILL A,2695.0,705.0,371.0,1110.0,0.0,0.0,both
287,12110K,40334.9878689,black,10K,10K,1274.0,14.0,726.0,744.0,0.0,0.0,both
288,12110G,38163.730312,black,10G,10G,1076.0,15.0,635.0,652.0,0.0,0.0,both
289,12111H,44749.0923361,black,11H,11H,564.0,4.0,282.0,287.0,0.0,0.0,both
290,12110J,27505.4212903,black,10J,10J,742.0,3.0,311.0,317.0,0.0,0.0,both
291,12112L,24448.6012747,black,12L,12L,470.0,4.0,174.0,179.0,0.0,0.0,both
292,12112G,23800.0000513,black,12G,12G,666.0,14.0,329.0,345.0,0.0,0.0,both
293,12112D,23984.7763757,black,12D,12D,961.0,6.0,342.0,351.0,0.0,0.0,both
294,135141,111178.852139,white,SUGAR HILL G,SUGAR HILL G,2099.0,810.0,297.0,1152.0,0.0,0.0,both
295,13525,80193.2937559,white,SUGAR HILL B,SUGAR HILL B,3393.0,985.0,502.0,1528.0,0.0,0.0,both
296,13589,88062.5945048,white,SUGAR HILL E,SUGAR HILL E,2100.0,716.0,321.0,1081.0,0.0,0.0,both
297,13554,83876.5297412,white,SUGAR HILL C,SUGAR HILL C,3366.0,1138.0,466.0,1669.0,0.0,0.0,both
298,121MP01,175478.0,white,MP01,MP01,397.0,111.0,116.0,230.0,0.0,0.0,both
299,135130,111176.408953,white,SUWANEE D,SUWANEE D,3451.0,1405.0,449.0,1899.0,0.0,0.0,both
300,067DC01,132366.422976,white,DICKERSON 01,DICKERSON 01,2446.0,1093.0,461.0,1584.0,0.0,0.0,both
301,067SA01,126620.496246,white,SANDY PLAINS 01,SANDY PLAINS 01,2271.0,772.0,444.0,1269.0,0.0,0.0,both
302,067PP01,133844.556198,white,POPE 01,POPE 01,2668.0,1094.0,461.0,1614.0,0.0,0.0,both
303,067MB01,151583.999728,white,MABRY 01,MABRY 01,1511.0,727.0,224.0,977.0,0.0,0.0,both
304,067DV01,107699.0,white,DAVIS 01,DAVIS 01,1697.0,609.0,309.0,938.0,0.0,0.0,both
305,067GM01,106741.00026,white,GARRISON MILL 01,GARRISON MILL 01,2387.0,944.0,416.0,1418.0,0.0,0.0,both
306,067PO01,138681.999949,white,POST OAK 01,POST OAK 01,3162.0,1357.0,448.0,1871.0,0.0,0.0,both
307,067HT01,145838.999948,white,HIGHTOWER 01,HIGHTOWER 01,3632.0,1496.0,666.0,2230.0,0.0,0.0,both
308,067SF01,137689.69657,white,SHALLOWFORD FALLS 01,,,,,,,,left_only
309,121ML05A,169334.0,white,ML05A,ML05A,12.0,6.0,8.0,14.0,0.0,0.0,both
310,121ML06A,89105.4961093,white,ML06A,ML06A,1514.0,215.0,280.0,507.0,0.0,0.0,both
311,121AP12B,163711.151849,white,AP12B,AP12B,646.0,62.0,112.0,176.0,0.0,0.0,both
312,121ML05C,131507.554028,white,ML05C,ML05C,3484.0,990.0,559.0,1570.0,0.0,0.0,both
313,121ML04C,184433.58675,white,ML04C,ML04C,74.0,30.0,9.0,40.0,0.0,0.0,both
314,121ML071,190427.0,white,ML071,ML071,82.0,28.0,13.0,42.0,0.0,0.0,both
315,121ML06B,87754.0786291,white,ML06B,ML06B,2279.0,440.0,499.0,963.0,0.0,0.0,both
316,121SS09B,107793.915474,white,SS09B,SS09B,2931.0,1218.0,598.0,1825.0,0.0,0.0,both
317,121SS13B,170781.917706,white,SS13B,SS13B,935.0,175.0,154.0,334.0,0.0,0.0,both
318,121SS11D,92761.0000254,,SS11D,SS11D,273.0,75.0,68.0,145.0,0.0,0.0,both
319,121SS11B,92760.9877163,,SS11B,SS11B,1041.0,161.0,239.0,405.0,0.0,0.0,both
320,121SS06,69192.9977567,white,SS06,SS06,1179.0,498.0,254.0,759.0,0.0,0.0,both
321,121SS05,58602.0054561,,SS05,SS05,1617.0,669.0,400.0,1080.0,0.0,0.0,both
322,121SS18A,71783.7353125,,SS18A,SS18A,573.0,239.0,124.0,366.0,0.0,0.0,both
323,121SS31,69229.1196899,white,SS31,SS31,912.0,278.0,221.0,503.0,0.0,0.0,both
324,121SS03,69193.0003403,white,SS03,SS03,1194.0,360.0,311.0,685.0,0.0,0.0,both
325,121SS13A,94140.0,white,SS13A,SS13A,1273.0,374.0,282.0,665.0,0.0,0.0,both
326,121SS11A,98018.5278361,white,SS11A,SS11A,3125.0,654.0,635.0,1313.0,0.0,0.0,both
327,121SS11C,101716.448226,,SS11C,SS11C,227.0,18.0,47.0,67.0,0.0,0.0,both
328,121SS14,162671.225707,white,SS14,SS14,1173.0,507.0,237.0,756.0,0.0,0.0,both
329,12108J,138801.245249,white,08J,08J,2269.0,842.0,490.0,1345.0,0.0,0.0,both
330,063FP4,48873.5560823,,FOREST PARK 4,FOREST PARK 4,1276.0,213.0,375.0,613.0,0.0,0.0,both
331,063FP1,37380.0730443,black,FOREST PARK 1,FOREST PARK 1,2148.0,170.0,595.0,794.0,0.0,0.0,both
332,121HP01,52696.9730183,,HP01,HP01,2479.0,368.0,688.0,1085.0,0.0,0.0,both
333,12112E1,22402.7118397,black,12E1,12E1,1123.0,15.0,346.0,362.0,0.0,0.0,both
334,121AP05,158709.308464,white,AP05,AP05,3703.0,1371.0,557.0,1947.0,0.0,0.0,both
335,121ML072,190427.0,white,ML072,ML072,870.0,331.0,97.0,430.0,0.0,0.0,both
336,121AP09B,115719.401279,white,AP09B,AP09B,641.0,145.0,121.0,274.0,0.0,0.0,both
337,089CE,73394.4072516,,CHAMBLEE,,,,,,,,left_only
338,089HF,65928.9603339,,HUNTLEY HILLS ELEM,HUNTLEY HILLS ELEM,2550.0,420.0,670.0,1138.0,0.0,0.0,both
339,089PB,59632.0001897,,PEACHTREE MIDDLE,PEACHTREE MIDDLE,2629.0,381.0,686.0,1092.0,0.0,0.0,both
340,089DG,145869.000002,white,DUNWOODY HIGH,,,,,,,,left_only
341,089CH,72004.6906385,white,CHESNUT ELEM,CHESNUT ELEM,1914.0,333.0,466.0,833.0,0.0,0.0,both
342,089TG,102101.255157,white,TILLY MILL ROAD,TILLY MILL ROAD,1310.0,551.0,281.0,861.0,0.0,0.0,both
343,067MT03,168311.623111,white,MT BETHEL 03,,,,,,,,left_only
344,067PE01,54717.0484505,black,PEBBLEBROOK 01,PEBBLEBROOK 01,3643.0,358.0,1493.0,1882.0,0.0,0.0,both
345,067MA02,59046.8462027,,MABLETON 02,MABLETON 02,2017.0,354.0,558.0,929.0,0.0,0.0,both
346,067BT02,40853.856121,black,BRYANT 02,BRYANT 02,4031.0,77.0,1416.0,1515.0,0.0,0.0,both
347,067RS01,46848.0001011,black,RIVERSIDE 01,RIVERSIDE 01,1418.0,69.0,542.0,619.0,0.0,0.0,both
348,067AU1A,59962.8220394,black,AUSTELL 1A,AUSTELL 1A,3232.0,360.0,1223.0,1626.0,0.0,0.0,both
349,121SC05D,87960.7627183,black,SC05D,SC05D,1901.0,95.0,994.0,1094.0,0.0,0.0,both
350,121UC02B,99633.9108888,black,UC02B,UC02B,25.0,5.0,4.0,9.0,0.0,0.0,both
351,121SC05B,101950.239027,black,SC05B,SC05B,2456.0,35.0,1357.0,1397.0,0.0,0.0,both
352,121SC08C,48657.023764,black,SC08C,,,,,,,,left_only
353,121SC18B,101953.999923,black,SC18B,SC18B,3786.0,71.0,2333.0,2409.0,0.0,0.0,both
354,067CL01,60280.8508902,black,CLARKDALE 01,CLARKDALE 01,1365.0,293.0,347.0,657.0,0.0,0.0,both
355,067PS2A,66352.2386892,black,POWDER SPRINGS 2A,POWDER SPRINGS 2A,2507.0,315.0,908.0,1243.0,0.0,0.0,both
356,067CO01,64283.2503091,black,COOPER 01,COOPER 01,3622.0,472.0,1216.0,1719.0,0.0,0.0,both
357,067OR02,89559.9998885,,OREGON 02,OREGON 02,2801.0,504.0,1024.0,1560.0,0.0,0.0,both
358,121SC13B,56422.003735,white,SC13B,SC13B,1806.0,59.0,957.0,1021.0,0.0,0.0,both
359,121SC05A,58258.2233014,white,SC05A,SC05A,494.0,8.0,278.0,290.0,0.0,0.0,both
360,121SC13A,56422.0002889,white,SC13A,SC13A,4603.0,95.0,2476.0,2577.0,0.0,0.0,both
361,12109K,31091.9225552,black,09K,09K,2102.0,9.0,612.0,623.0,0.0,0.0,both
362,12109M,118699.999949,white,09M,09M,1478.0,224.0,464.0,714.0,0.0,0.0,both
363,12109E,42531.6628892,black,09E,09E,1904.0,28.0,720.0,755.0,0.0,0.0,both
364,12109A,100512.153848,,09A,09A,2552.0,367.0,758.0,1156.0,0.0,0.0,both
365,12104C,35651.9998104,black,04C,04C,101.0,1.0,38.0,40.0,0.0,0.0,both
366,12103A,27740.6627099,black,03A,03A,1609.0,11.0,522.0,534.0,0.0,0.0,both
367,12103D,27340.0000291,black,03D,03D,803.0,2.0,272.0,280.0,0.0,0.0,both
368,12103B,27406.0000852,black,03B,03B,446.0,2.0,115.0,117.0,0.0,0.0,both
369,12109I,40775.9999983,black,09I,09I,1136.0,8.0,416.0,424.0,0.0,0.0,both
370,067AC1B,56038.6551555,white,ACWORTH 1B,ACWORTH 1B,3644.0,1048.0,606.0,1712.0,0.0,0.0,both
371,067MC01,70161.0019773,,MACLAND 01,MACLAND 01,2854.0,509.0,970.0,1507.0,0.0,0.0,both
372,067OR05,115053.218289,white,OREGON 05,OREGON 05,3026.0,941.0,836.0,1812.0,0.0,0.0,both
373,067KP02,99899.129528,white,KEMP 02,KEMP 02,3186.0,1193.0,623.0,1871.0,0.0,0.0,both
374,067OR04,67348.9999932,,OREGON 04,OREGON 04,4368.0,704.0,1469.0,2221.0,0.0,0.0,both
375,067DL01,116142.006679,white,DOWELL 01,DOWELL 01,2615.0,902.0,613.0,1569.0,0.0,0.0,both
376,067CH03,101431.856003,white,CHEATHAM HILL 03,CHEATHAM HILL 03,3233.0,1221.0,698.0,1972.0,0.0,0.0,both
377,067MA01,76526.1134595,,MABLETON 01,MABLETON 01,3642.0,757.0,1184.0,1988.0,0.0,0.0,both
378,067SW02,48164.3079317,black,SWEETWATER 02,SWEETWATER 02,2224.0,253.0,636.0,917.0,0.0,0.0,both
379,067BR02,88901.4144031,white,BIRNEY 02,BIRNEY 02,2942.0,725.0,834.0,1605.0,0.0,0.0,both
380,067BR01,81757.9999983,,BIRNEY 01,BIRNEY 01,1928.0,452.0,492.0,961.0,0.0,0.0,both
381,067MA03,90712.6836194,white,MABLETON 03,MABLETON 03,2278.0,653.0,563.0,1252.0,0.0,0.0,both
382,067MA04,85874.5923571,white,MABLETON 04,MABLETON 04,1286.0,480.0,294.0,802.0,0.0,0.0,both
383,067AC1A,86606.9200046,white,ACWORTH 1A,ACWORTH 1A,3876.0,1105.0,797.0,1955.0,0.0,0.0,both
384,067ME01,80636.2928891,,MCEACHERN 01,MCEACHERN 01,2333.0,686.0,678.0,1397.0,0.0,0.0,both
385,067LM01,115676.017844,white,LOST MOUNTAIN 01,LOST MOUNTAIN 01,2697.0,1164.0,462.0,1654.0,0.0,0.0,both
386,067OR01,113406.000007,white,OREGON 01,OREGON 01,1396.0,595.0,244.0,857.0,0.0,0.0,both
387,067VA01,133633.008538,white,VAUGHAN 01,,,,,,,,left_only
388,067PS1A,72507.5992392,,POWDER SPRINGS 1A,POWDER SPRINGS 1A,3042.0,700.0,974.0,1722.0,0.0,0.0,both
389,067PS3A,69734.9063381,,POWDER SPRINGS 3A,POWDER SPRINGS 3A,2629.0,448.0,901.0,1388.0,0.0,0.0,both
390,067LM03,127437.776917,white,LOST MOUNTAIN 03,LOST MOUNTAIN 03,4109.0,1672.0,630.0,2362.0,0.0,0.0,both
391,067SW01,71456.3040366,,SWEETWATER 01,SWEETWATER 01,2385.0,641.0,687.0,1354.0,0.0,0.0,both
392,067CL02,67228.7038238,black,CLARKDALE 02,CLARKDALE 02,3894.0,667.0,1283.0,1993.0,0.0,0.0,both
393,067MR3A,59452.946863,,MARIETTA 3A,MARIETTA 3A,4732.0,1116.0,1189.0,2383.0,0.0,0.0,both
394,067HR01,129495.146669,white,HARRISON 01,HARRISON 01,2321.0,1049.0,286.0,1376.0,0.0,0.0,both
395,067KP01,115967.16253,white,KEMP 01,KEMP 01,1682.0,795.0,243.0,1069.0,0.0,0.0,both
396,067ML01,98471.0045237,white,MCCLURE 01,MCCLURE 01,1320.0,597.0,196.0,820.0,0.0,0.0,both
397,067NC01,74359.4702,white,NORTH COBB 01,NORTH COBB 01,1783.0,586.0,340.0,955.0,0.0,0.0,both
398,067SN7B,114849.058097,,SMYRNA 7B,SMYRNA 7B,4621.0,1066.0,1413.0,2545.0,0.0,0.0,both
399,121SC14,42668.9250389,black,SC14,SC14,1023.0,7.0,330.0,339.0,0.0,0.0,both
400,067HL01,80364.0067912,,HARMONY-LELAND 01,,,,,,,,left_only
401,067LI01,133845.983744,,LINDLEY 01,LINDLEY 01,3633.0,651.0,1261.0,1958.0,0.0,0.0,both
402,121CP04,36599.8336446,black,CP04,CP04,117.0,1.0,22.0,23.0,0.0,0.0,both
403,121CP012,39986.8709058,,CP012,CP012,957.0,134.0,398.0,536.0,0.0,0.0,both
404,121EP03,40753.9595325,black,EP03,EP03,4829.0,129.0,2505.0,2653.0,0.0,0.0,both
405,121CP011,40399.8685842,,CP011,CP011,893.0,108.0,321.0,435.0,0.0,0.0,both
406,121EP01,42070.8213304,black,EP01,EP01,4363.0,196.0,1665.0,1891.0,0.0,0.0,both
407,121SC19B,47644.2055908,black,SC19B,SC19B,1090.0,18.0,517.0,539.0,0.0,0.0,both
408,121EP04,44235.3064161,black,EP04,EP04,5058.0,66.0,2106.0,2187.0,0.0,0.0,both
409,121CP051,51275.8443223,black,CP051,CP051,1379.0,23.0,675.0,700.0,0.0,0.0,both
410,121CP07A,35016.0003381,black,CP07A,CP07A,1077.0,5.0,211.0,218.0,0.0,0.0,both
411,12111P,45767.3397957,black,11P,11P,1538.0,11.0,706.0,722.0,0.0,0.0,both
412,121SC10,41164.0363432,black,SC10,SC10,1369.0,10.0,504.0,518.0,0.0,0.0,both
413,121CP081,41166.0001052,black,CP081,CP081,266.0,1.0,60.0,61.0,0.0,0.0,both
414,121UC01E,48657.1903879,black,UC01E,,,,,,,,left_only
415,121SC17A,48657.006409,black,SC17A,SC17A,39.0,1.0,19.0,20.0,0.0,0.0,both
416,121SC17C,40697.9825237,black,SC17C,SC17C,949.0,20.0,506.0,529.0,0.0,0.0,both
417,121SC19A,39780.2115605,black,SC19A,SC19A,150.0,3.0,93.0,97.0,0.0,0.0,both
418,121SC18A,53108.6451605,black,SC18A,SC18A,447.0,1.0,215.0,219.0,0.0,0.0,both
419,12111E3,50016.1480866,black,11E3,11E3,2427.0,16.0,1050.0,1069.0,0.0,0.0,both
420,12111E1,51445.000011,black,11E1,11E1,899.0,19.0,419.0,439.0,0.0,0.0,both
421,12111E2,51445.0,black,11E2,11E2,720.0,8.0,395.0,407.0,0.0,0.0,both
422,121UC02A,58366.7049726,black,UC02A,UC02A,5325.0,99.0,2488.0,2602.0,0.0,0.0,both
423,121SC08F,48657.0,black,SC08F,SC08F,626.0,14.0,247.0,264.0,0.0,0.0,both
424,121SC01B,87927.9411808,black,SC01B,SC01B,3229.0,46.0,2024.0,2080.0,0.0,0.0,both
425,121SC02,71485.7392749,black,SC02,SC02,1171.0,14.0,789.0,808.0,0.0,0.0,both
426,121SC16,81562.9999511,black,SC16,SC16,3574.0,35.0,2125.0,2168.0,0.0,0.0,both
427,067BT01,48001.3799581,black,BRYANT 01,BRYANT 01,1605.0,61.0,853.0,925.0,0.0,0.0,both
428,12111C,71432.8537365,black,11C,11C,2231.0,26.0,1334.0,1367.0,0.0,0.0,both
429,121SC30A,71467.0,black,SC30A,SC30A,131.0,1.0,80.0,81.0,0.0,0.0,both
430,12110A,37740.3164043,black,10A,10A,2388.0,11.0,1340.0,1361.0,0.0,0.0,both
431,12110C,29262.0318226,black,10C,10C,2071.0,7.0,777.0,788.0,0.0,0.0,both
432,12111N,50322.0366046,black,11N,11N,1846.0,16.0,1078.0,1098.0,0.0,0.0,both
433,12111M,52641.9999697,black,11M,11M,2573.0,12.0,1146.0,1167.0,0.0,0.0,both
434,121SC30B,61707.4505136,black,SC30B,SC30B,1088.0,11.0,543.0,557.0,0.0,0.0,both
435,12110L,72578.9996085,black,10L,10L,2571.0,26.0,1524.0,1564.0,0.0,0.0,both
436,12110R,27503.9998312,black,10R,10R,631.0,2.0,261.0,265.0,0.0,0.0,both
437,12110B,72579.0,black,10B,10B,555.0,8.0,359.0,369.0,0.0,0.0,both
438,12110I,71919.2251782,black,10I,10I,316.0,6.0,205.0,212.0,0.0,0.0,both
439,12110H,31296.7654716,black,10H,10H,2106.0,18.0,899.0,922.0,0.0,0.0,both
440,121EP02,43866.7971891,black,EP02,EP02,4425.0,195.0,1728.0,1948.0,0.0,0.0,both
441,12111B,65759.240361,black,11B,11B,3889.0,34.0,2092.0,2134.0,0.0,0.0,both
442,12110D,26177.6079698,black,10D,10D,3386.0,15.0,1374.0,1402.0,0.0,0.0,both
443,12110E,33518.5280698,black,10E,,,,,,,,left_only
444,12110P,32046.999984,black,10P,10P,1150.0,4.0,504.0,510.0,0.0,0.0,both
445,12109C,40447.9996988,black,09C,09C,2380.0,21.0,1119.0,1149.0,0.0,0.0,both
446,12109B,35970.8214809,black,09B,09B,337.0,2.0,119.0,122.0,0.0,0.0,both
447,12109L,40094.0606534,black,09L,09L,1479.0,23.0,538.0,565.0,0.0,0.0,both
448,12111R,21537.9448448,black,11R,11R,1475.0,3.0,458.0,466.0,0.0,0.0,both
449,12111K,42006.4885368,black,11K,11K,1516.0,20.0,853.0,877.0,0.0,0.0,both
450,12111G,25664.1565825,black,11G,11G,1822.0,17.0,552.0,575.0,0.0,0.0,both
451,12112I,28534.9013759,black,12I,12I,782.0,2.0,291.0,295.0,0.0,0.0,both
452,12112C,41225.9998394,black,12C,12C,1231.0,19.0,514.0,541.0,0.0,0.0,both
453,12104S,46545.999876,black,04S,04S,1792.0,13.0,840.0,860.0,0.0,0.0,both
454,12104X1,35759.0200937,black,04X1,04X1,1508.0,9.0,670.0,683.0,0.0,0.0,both
455,12104M,21568.0,black,04M,04M,580.0,6.0,192.0,200.0,0.0,0.0,both
456,12104T,35386.0,black,04T,04T,922.0,4.0,421.0,426.0,0.0,0.0,both
457,12110M,36298.822261,black,10M,10M,1998.0,17.0,882.0,911.0,0.0,0.0,both
458,12104X2,35959.1343464,black,04X2,04X2,595.0,7.0,200.0,209.0,0.0,0.0,both
459,12104L,36129.9999521,black,04L,04L,1233.0,18.0,455.0,478.0,0.0,0.0,both
460,12104D,35651.9999567,black,04D,04D,1190.0,9.0,521.0,534.0,0.0,0.0,both
461,12104G,36778.0,black,04G,04G,592.0,4.0,195.0,200.0,0.0,0.0,both
462,12104A,30341.9999945,black,04A,04A,1024.0,8.0,352.0,365.0,0.0,0.0,both
463,12104K,35074.0841761,black,04K,04K,1889.0,27.0,762.0,793.0,0.0,0.0,both
464,12104W,38930.9239721,black,04W,04W,1434.0,9.0,260.0,276.0,0.0,0.0,both
465,12110F,40447.8169444,black,10F,10F,897.0,12.0,472.0,486.0,0.0,0.0,both
466,12103S,35997.0000039,black,03S,03S,583.0,4.0,230.0,237.0,0.0,0.0,both
467,12109D,26088.6688216,black,09D,09D,1612.0,7.0,630.0,642.0,0.0,0.0,both
468,12103C,39291.3838513,black,03C,03C,1300.0,7.0,500.0,507.0,0.0,0.0,both
469,12103H,35997.0000251,black,03H,03H,798.0,4.0,245.0,251.0,0.0,0.0,both
470,067OR03,56990.6482891,,OREGON 03,OREGON 03,2528.0,408.0,633.0,1074.0,0.0,0.0,both
471,067MR2A,89297.6799139,white,MARIETTA 2A,MARIETTA 2A,1840.0,822.0,350.0,1198.0,0.0,0.0,both
472,067NP01,78399.9406555,,NORTON PARK 01,NORTON PARK 01,3287.0,806.0,710.0,1577.0,0.0,0.0,both
473,067FO01,59273.0004728,,FAIR OAKS 01,FAIR OAKS 01,2864.0,438.0,934.0,1406.0,0.0,0.0,both
474,067LA01,135333.297273,white,LASSITER 01,,,,,,,,left_only
475,067KL01,90600.0000324,white,KELL 01,KELL 01,1666.0,626.0,275.0,947.0,0.0,0.0,both
476,067RM01,107844.870771,white,ROCKY MOUNT 01,,,,,,,,left_only
477,067EA02,103993.958473,white,EASTSIDE 02,EASTSIDE 02,3489.0,1560.0,688.0,2328.0,0.0,0.0,both
478,067SO01,128431.999861,white,SOPE CREEK 01,SOPE CREEK 01,1952.0,910.0,386.0,1337.0,0.0,0.0,both
479,067FO02,52712.4392107,,FAIR OAKS 02,FAIR OAKS 02,3196.0,449.0,804.0,1292.0,0.0,0.0,both
480,067FO04,44912.2795331,,FAIR OAKS 04,FAIR OAKS 04,1714.0,321.0,345.0,687.0,0.0,0.0,both
481,067MR2B,65711.1799342,,MARIETTA 2B,MARIETTA 2B,3404.0,939.0,790.0,1775.0,0.0,0.0,both
482,067BF02,88512.9901919,white,BELLS FERRY 02,BELLS FERRY 02,2438.0,795.0,468.0,1314.0,0.0,0.0,both
483,067BW01,92280.8493667,white,BLACKWELL 01,BLACKWELL 01,2061.0,661.0,405.0,1110.0,0.0,0.0,both
484,067GT01,86430.0564448,white,GRITTERS 01,GRITTERS 01,3289.0,1123.0,588.0,1779.0,0.0,0.0,both
485,067MK01,102494.999956,white,MCCLESKEY 01,MCCLESKEY 01,1520.0,626.0,283.0,940.0,0.0,0.0,both
486,067NS01,98730.8242133,white,NICHOLSON 01,NICHOLSON 01,2075.0,709.0,356.0,1106.0,0.0,0.0,both
487,067AD01,96407.00754,white,ADDISON 01,ADDISON 01,1919.0,731.0,379.0,1145.0,0.0,0.0,both
488,067SI01,123586.000049,white,SIMPSON 01,SIMPSON 01,1629.0,652.0,272.0,938.0,0.0,0.0,both
489,067MR6A,58686.2957434,white,MARIETTA 6A,MARIETTA 6A,1852.0,200.0,422.0,644.0,0.0,0.0,both
490,067MR5B,71131.401242,white,MARIETTA 5B,MARIETTA 5B,1919.0,172.0,447.0,636.0,0.0,0.0,both
491,067HY01,93193.9643763,white,HAYES 01,HAYES 01,3296.0,1387.0,461.0,1892.0,0.0,0.0,both
492,067PM02,86939.8596807,white,PINE MOUNTAIN 02,PINE MOUNTAIN 02,2392.0,1272.0,232.0,1523.0,0.0,0.0,both
493,067CH02,96504.704698,white,CHEATHAM HILL 02,CHEATHAM HILL 02,2487.0,1013.0,394.0,1455.0,0.0,0.0,both
494,067PF01,72146.5837328,white,POWERS FERRY 01,POWERS FERRY 01,2812.0,892.0,543.0,1502.0,0.0,0.0,both
495,12108E,269010.312053,white,08E,08E,2262.0,999.0,511.0,1525.0,0.0,0.0,both
496,067VG04,126661.805272,white,VININGS 04,VININGS 04,2850.0,1172.0,525.0,1727.0,0.0,0.0,both
497,067MR7A,45574.9659184,,MARIETTA 7A,MARIETTA 7A,2775.0,180.0,553.0,760.0,0.0,0.0,both
498,067FO05,40611.7386728,,FAIR OAKS 05,FAIR OAKS 05,1373.0,190.0,235.0,440.0,0.0,0.0,both
499,067MR1A,44243.5740626,,MARIETTA 1A,MARIETTA 1A,2609.0,299.0,522.0,853.0,0.0,0.0,both
500,067DI01,48433.5654379,,DOBBINS 01,DOBBINS 01,3008.0,206.0,652.0,885.0,0.0,0.0,both
501,067SN5A,49751.0936112,,SMYRNA 5A,SMYRNA 5A,2782.0,467.0,729.0,1245.0,0.0,0.0,both
502,067SN3A,57525.2561464,,SMYRNA 3A,SMYRNA 3A,2948.0,577.0,772.0,1395.0,0.0,0.0,both
