DISTRICT,income,race,Precinct Description
067MA02,59046.8462027,,MABLETON 02
067BT02,40853.856121,black,BRYANT 02
067RS01,46848.0001011,black,RIVERSIDE 01
067AU1A,59962.8220394,black,AUSTELL 1A
121SC05D,87960.7627183,black,SC05D
121UC02B,99633.9108888,black,UC02B
121SC05B,101950.239027,black,SC05B
121SC08C,48657.023764,black,SC08C
121SC18B,101953.999923,black,SC18B
067CL01,60280.8508902,black,CLARKDALE 01
067PS2A,66352.2386892,black,POWDER SPRINGS 2A
067CO01,64283.2503091,black,COOPER 01
067OR02,89559.9998885,,OREGON 02
121SC13B,56422.003735,white,SC13B
121SC05A,58258.2233014,white,SC05A
121SC13A,56422.0002889,white,SC13A
12109K,31091.9225552,black,09K
12109M,118699.999949,white,09M
12109E,42531.6628892,black,09E
12109A,100512.153848,,09A
12104C,35651.9998104,black,04C
12103A,27740.6627099,black,03A
12103D,27340.0000291,black,03D
12103B,27406.0000852,black,03B
12109I,40775.9999983,black,09I
067AC1B,56038.6551555,white,ACWORTH 1B
067MC01,70161.0019773,,MACLAND 01
067OR05,115053.218289,white,OREGON 05
067KP02,99899.129528,white,KEMP 02
067OR04,67348.9999932,,OREGON 04
067DL01,116142.006679,white,DOWELL 01
067CH03,101431.856003,white,CHEATHAM HILL 03
067MA01,76526.1134595,,MABLETON 01
067SW02,48164.3079317,black,SWEETWATER 02
067BR02,88901.4144031,white,BIRNEY 02
067BR01,81757.9999983,,BIRNEY 01
067MA03,90712.6836194,white,MABLETON 03
067MA04,85874.5923571,white,MABLETON 04
067AC1A,86606.9200046,white,ACWORTH 1A
067ME01,80636.2928891,,MCEACHERN 01
067LM01,115676.017844,white,LOST MOUNTAIN 01
067OR01,113406.000007,white,OREGON 01
067VA01,133633.008538,white,VAUGHAN 01
067PS1A,72507.5992392,,POWDER SPRINGS 1A
067PS3A,69734.9063381,,POWDER SPRINGS 3A
067LM03,127437.776917,white,LOST MOUNTAIN 03
067SW01,71456.3040366,,SWEETWATER 01
067CL02,67228.7038238,black,CLARKDALE 02
067MR3A,59452.946863,,MARIETTA 3A
067HR01,129495.146669,white,HARRISON 01
067KP01,115967.16253,white,KEMP 01
067ML01,98471.0045237,white,MCCLURE 01
067NC01,74359.4702,white,NORTH COBB 01
067SN7B,114849.058097,,SMYRNA 7B
121SC14,42668.9250389,black,SC14
067HL01,80364.0067912,,HARMONY-LELAND 01
067LI01,133845.983744,,LINDLEY 01
121CP04,36599.8336446,black,CP04
121CP012,39986.8709058,,CP012
121EP03,40753.9595325,black,EP03
121CP011,40399.8685842,,CP011
121EP01,42070.8213304,black,EP01
121SC19B,47644.2055908,black,SC19B
121EP04,44235.3064161,black,EP04
121CP051,51275.8443223,black,CP051
121CP07A,35016.0003381,black,CP07A
12111P,45767.3397957,black,11P
121SC10,41164.0363432,black,SC10
121CP081,41166.0001052,black,CP081
121UC01E,48657.1903879,black,UC01E
121SC17A,48657.006409,black,SC17A
121SC17C,40697.9825237,black,SC17C
121SC19A,39780.2115605,black,SC19A
121SC18A,53108.6451605,black,SC18A
12111E3,50016.1480866,black,11E3
12111E1,51445.000011,black,11E1
12111E2,51445.0,black,11E2
121UC02A,58366.7049726,black,UC02A
121SC08F,48657.0,black,SC08F
121SC01B,87927.9411808,black,SC01B
121SC02,71485.7392749,black,SC02
121SC16,81562.9999511,black,SC16
067BT01,48001.3799581,black,BRYANT 01
12111C,71432.8537365,black,11C
121SC30A,71467.0,black,SC30A
12110A,37740.3164043,black,10A
12110C,29262.0318226,black,10C
12111N,50322.0366046,black,11N
12111M,52641.9999697,black,11M
121SC30B,61707.4505136,black,SC30B
12110L,72578.9996085,black,10L
12110R,27503.9998312,black,10R
12110B,72579.0,black,10B
12110I,71919.2251782,black,10I
12110H,31296.7654716,black,10H
121EP02,43866.7971891,black,EP02
12111B,65759.240361,black,11B
12110D,26177.6079698,black,10D
12110E,33518.5280698,black,10E
12110P,32046.999984,black,10P
12109C,40447.9996988,black,09C
12109B,35970.8214809,black,09B
12109L,40094.0606534,black,09L
12111R,21537.9448448,black,11R
12111K,42006.4885368,black,11K
12111G,25664.1565825,black,11G
12112I,28534.9013759,black,12I
12112C,41225.9998394,black,12C
12104S,46545.999876,black,04S
12104X1,35759.0200937,black,04X1
12104M,21568.0,black,04M
12104T,35386.0,black,04T
12110M,36298.822261,black,10M
12104X2,35959.1343464,black,04X2
12104L,36129.9999521,black,04L
12104D,35651.9999567,black,04D
12104G,36778.0,black,04G
12104A,30341.9999945,black,04A
12104K,35074.0841761,black,04K
12104W,38930.9239721,black,04W
12110F,40447.8169444,black,10F
12103S,35997.0000039,black,03S
12109D,26088.6688216,black,09D
12103C,39291.3838513,black,03C
12103H,35997.0000251,black,03H
067OR03,56990.6482891,,OREGON 03
067MR2A,89297.6799139,white,MARIETTA 2A
067NP01,78399.9406555,,NORTON PARK 01
067FO01,59273.0004728,,FAIR OAKS 01
067LA01,135333.297273,white,LASSITER 01
067KL01,90600.0000324,white,KELL 01
067RM01,107844.870771,white,ROCKY MOUNT 01
067EA02,103993.958473,white,EASTSIDE 02
067SO01,128431.999861,white,SOPE CREEK 01
067FO02,52712.4392107,,FAIR OAKS 02
067FO04,44912.2795331,,FAIR OAKS 04
067MR2B,65711.1799342,,MARIETTA 2B
067BF02,88512.9901919,white,BELLS FERRY 02
067BW01,92280.8493667,white,BLACKWELL 01
067GT01,86430.0564448,white,GRITTERS 01
067MK01,102494.999956,white,MCCLESKEY 01
067NS01,98730.8242133,white,NICHOLSON 01
067AD01,96407.00754,white,ADDISON 01
067SI01,123586.000049,white,SIMPSON 01
067MR6A,58686.2957434,white,MARIETTA 6A
067MR5B,71131.401242,white,MARIETTA 5B
067HY01,93193.9643763,white,HAYES 01
067PM02,86939.8596807,white,PINE MOUNTAIN 02
067CH02,96504.704698,white,CHEATHAM HILL 02
067PF01,72146.5837328,white,POWERS FERRY 01
12108E,269010.312053,white,08E
067VG04,126661.805272,white,VININGS 04
067MR7A,45574.9659184,,MARIETTA 7A
067FO05,40611.7386728,,FAIR OAKS 05
067MR1A,44243.5740626,,MARIETTA 1A
067DI01,48433.5654379,,DOBBINS 01
067SN5A,49751.0936112,,SMYRNA 5A
067SN3A,57525.2561464,,SMYRNA 3A
067MR4C,74968.78785,white,MARIETTA 4C
067KE3A,75715.0304655,white,KENNESAW 3A
067MR4A,83951.0,white,MARIETTA 4A
067MR5A,54417.3046791,,MARIETTA 5A
067SN7A,99052.1272221,white,SMYRNA 7A
067SN4A,88558.9035795,white,SMYRNA 4A
067EP01,64825.2446372,white,EAST PIEDMONT 01
067KE1A,77015.5050269,white,KENNESAW 1A
067BG01,69130.7263802,white,BIG SHANTY 01
067MR4B,65071.6983488,white,MARIETTA 4B
067EL01,68561.6172113,white,ELIZABETH 01
067PM01,114203.499666,white,PINE MOUNTAIN 01
067KE2A,85698.9271015,white,KENNESAW 2A
067MS02,98446.0335185,white,MARS HILL 02
067AC1C,79031.1637163,white,ACWORTH 1C
067KE4A,77266.2969222,white,KENNESAW 4A
067KE5A,79632.8809973,white,KENNESAW 5A
067BK01,83133.409111,white,BAKER 01
067OK01,114410.028123,white,OAKDALE 01
067NJ01,96528.8662411,white,NICKAJACK 01
067SN6A,117261.09756,white,SMYRNA 6A
067VG03,101153.096721,white,VININGS 03
067VG02,85128.5831797,,VININGS 02
067SN2A,63168.5304485,,SMYRNA 2A
067SN1A,62805.5286894,,SMYRNA 1A
067MR6B,84439.8843064,white,MARIETTA 6B
067EL02,71124.8854385,white,ELIZABETH 02
067EL04,69450.4283272,white,ELIZABETH 04
067SM03,77698.3457055,white,SEWELL MILL 03
067EL03,100849.673996,white,ELIZABETH 03
067EL05,107569.000056,white,ELIZABETH 05
089SM,67964.3714773,black,SALEM MIDDLE
089MV,79162.9997618,black,MILLER GROVE ROAD
089CC,37708.5424923,black,COLUMBIA ELEM
089FL,53082.3465227,black,FLAT SHOALS LIBRARY
089CM,48321.456227,black,COLUMBIA MIDDLE
089TC,31018.0001088,black,TONEY ELEM
089KE,58064.2778009,black,KNOLLWOOD
089WA,39815.870019,black,WADSWORTH
089SG,49201.5433753,black,SNAPFINGER ELEM
13566,43949.9557506,hispanic,PINCKNEYVILLE O
13538,48601.4434474,hispanic,PINCKNEYVILLE F
13559,46957.0349528,,PINCKNEYVILLE N
089NC,60236.9999293,black,NORTH HAIRSTON
089BF,58317.6675457,,BROCKETT ELEM (TUC)
13584,80120.3323567,,LAWRENCEVILLE G
135150,33750.9787657,,DULUTH K
13548,72921.5412114,,DULUTH B
13596,110492.900219,,DULUTH G
13572,44527.0956843,,MARTINS E
13595,80415.67377,,DULUTH F
135138,104633.557229,,DULUTH I
121JC01,145436.99994,,JC01
1357,98014.0090971,white,DULUTH A
089MN,41417.7465845,black,MEMORIAL SOUTH
089MM,43097.1164635,black,MEMORIAL NORTH
089WB,56502.0,black,WESLEY CHAPEL LIBRARY
089SS,60566.2389816,black,SNAPFINGER ROAD S
089MF,65251.9999564,black,MCWILLIAMS
089MI,47983.0366455,black,MILLER GROVE
089BM,53747.6837004,black,BETHUNE MIDDLE
089SD,71286.1437994,black,STONE MOUNTAIN ELEM
089WN,73882.004222,black,WYNBROOKE ELEM
089ST,77019.3781422,black,STEPHENSON MIDDLE
089SO,76661.6416358,black,SOUTH DESHON
13564,68808.0899946,black,GARNERS D
089VB,47316.0002603,,VALLEY BROOK
089SC,53268.7732685,black,SHAW-ROBERT SHAW ELEM
089CT,27600.0000297,black,COVINGTON HWY
089RG,35326.7998836,black,ROWLAND ELEM
089DE,58731.7910895,black,DUNAIRE ELEM
089AA,63471.9998234,black,ALLGOOD ELEM
089IB,37167.245448,black,INDIAN CREEK ELEM
089CK,37306.7694379,black,CLARKSTON (CLA)
13510,93438.5673772,white,CATES A
13581,70051.9971414,,CATES L
135156,80793.2614533,,BAYCREEK J
13541,78720.2706164,,BAYCREEK B
135134,76728.0000797,white,BAYCREEK F
13594,101025.320875,white,CATES N
1355,89086.6851566,white,BAYCREEK A
13586,48606.0125066,,MARTINS F
13534,58238.2312173,,BERKSHIRE F
135119,82742.4891836,white,BERKSHIRE O
13519,59659.7987336,,MARTINS C
13543,52116.1756184,,MARTINS D
135116,62145.012094,,MARTINS I
135117,47118.6057567,,MARTINS J
13588,56859.2083175,black,ROCKBRIDGE E
121SS12,124374.241597,white,SS12
121SS07C,108524.999954,white,SS07C
121SS07B,108524.999331,white,SS07B
121SS07A,84328.9999613,white,SS07A
121SS08B,108524.991486,white,SS08B
121SS02B,90477.0,white,SS02B
121SS08C,84329.0001405,white,SS08C
121SS04,74517.0043037,,SS04
121SS08A,108525.000018,white,SS08A
121SS08D,108525.020545,white,SS08D
121SS29A,103129.00006,,SS29A
089LC,91469.3933821,,LAVISTA
12106J,45081.057745,,06J
12106E,72178.7174635,white,06E
12106Q,74875.0001423,white,06Q
12106S,59200.5701212,white,06S
12106H,59582.2674532,white,06H
12106D,71373.3689554,white,06D
089MB,66331.6333265,black,MCNAIR HIGH
089LH,55563.9999656,black,LITHONIA HIGH
089RH,49647.55742,black,REDAN-TROTTI LIBRARY
089WD,56197.9405044,black,WOODROW ROAD
089LD,48247.0,black,LITHONIA (LIT)
