v_id,race,avg_income
0871277,white,62392
0871325,white,50526
0871342,white,47583
0871361,white,62392
0871613,white,47392
0871805,white,43928
087513,white,51666
087514,white,51632
087694,white,48980
089AA,black,63471
089AB,white,121469
089AD,white,157989
089AE,black,74520
089AF,black,42576
089AG,white,138754
089AH,white,94373
089AI,white,86552
089BB,white,52417
089BC,white,88264
089BD,white,155996
089BE,,83551
089BF,,58317
089BG,white,82487
089BH,,70612
089BI,white,123167
089BJ,black,69589
089BL,black,67349
089BM,black,53747
089BR,black,56858
089CA,black,49146
089CB,black,44927
089CC,black,37708
089CD,black,67577
089CE,,73394
089CF,black,64792
089CG,black,72421
089CH,,72006
089CI,white,109860
089CJ,white,79524
089CK,black,37306
089CL,black,57071
089CM,black,48320
089CN,white,56069
089CO,,103435
089CP,black,57954
089CQ,black,48441
089CR,black,60421
089CS,black,65998
089CT,black,27600
089CU,black,45725
089CV,white,94575
089CW,white,88732
089DA,hispanic,51379
089DB,,50534
089DC,,54242
089DE,black,58731
089DF,white,103704
089DG,white,145869
089DH,white,134896
089DI,white,159717
089EA,black,79382
089EC,,72769
089EE,white,64047
089EF,white,77401
089EG,white,119116
089ER,white,61829
089FA,black,48858
089FB,white,198544
089FC,black,40198
089FE,black,65592
089FG,black,64793
089FJ,black,49299
089FK,black,74728
089FL,black,53082
089FM,black,56095
089GA,white,109095
089GB,black,51183
089GC,black,55032
089GD,white,93518
089GF,black,46753
089HA,black,50233
089HB,,89142
089HC,white,86202
089HF,,65928
089HG,black,86225
089HH,black,59598
089HI,white,84529
089IA,black,62406
089IB,black,37167
089JA,white,36381
089JB,black,43895
089KA,black,41738
089KB,white,131053
089KC,black,56502
089KD,black,75793
089KE,black,58064
089KG,white,64576
089LA,white,127376
089LB,white,75148
089LC,white,91469
089LD,black,48246
089LE,white,59997
089LH,black,55564
089LV,white,96227
089MA,black,61031
089MB,black,66331
089MC,black,55545
089MD,black,60027
089ME,,47316
089MF,black,65252
089MG,white,69707
089MH,white,99403
089MI,black,47983
089MJ,,53960
089MK,,82430
089ML,black,53920
089MM,black,43097
089MN,black,41417
089MO,black,55244
089MP,black,63298
089MQ,white,146753
089MR,black,59521
089MS,white,135705
089MT,white,55994
089MU,white,59718
089MV,black,79163
089MW,white,94871
089MZ,black,39873
089NB,white,57972
089NC,black,60237
089ND,white,110456
089NF,,68242
089OA,white,102700
089OB,,48825
089OK,white,106191
089OV,black,51142
089PA,black,45138
089PB,,59632
089PC,black,72649
089PE,black,42070
089PF,,42765
089PG,white,91305
089PH,black,63450
089PI,black,65558
089PN,black,49885
089PR,black,39873
089RA,black,56147
089RC,black,72655
089RD,white,97723
089RE,black,41197
089RF,black,69754
089RG,black,35326
089RH,black,49647
089RI,black,76356
089RJ,black,63090
089RK,black,55080
089RL,black,55589
089RM,black,50272
089RN,white,106721
089SA,white,152270
089SB,white,70105
089SC,,53268
089SD,black,71286
089SE,white,120914
089SF,white,101731
089SG,black,49201
089SH,black,117152
089SI,black,44436
089SJ,black,36927
089SK,black,72872
089SL,black,43697
089SM,black,67964
089SN,white,75154
089SO,black,76661
089SP,black,43995
089SQ,black,64377
089SR,black,44471
089SS,black,60566
089ST,black,77019
089SU,black,60509
089SV,black,72876
089TA,black,49803
089TC,black,31017
089TF,white,96315
089TG,white,102101
089TH,white,86583
089VB,,47316
089WA,black,39815
089WB,black,56502
089WD,black,56197
089WF,white,107682
089WG,black,51184
089WI,,56205
089WJ,,91628
089WK,black,47215
089WL,white,126050
089WN,black,73881
089YA,black,65615
