,income,precinct_n,race
427,48001.3799581,BRYANT 01,black
428,71432.8537365,11C,black
429,71467.0,SC30A,black
430,37740.3164043,10A,black
431,29262.0318226,10C,black
432,50322.0366046,11N,black
433,52641.9999697,11M,black
434,61707.4505136,SC30B,black
435,72578.9996085,10L,black
436,27503.9998312,10R,black
437,72579.0,10B,black
438,71919.2251782,10I,black
439,31296.7654716,10H,black
440,43866.7971891,EP02,black
441,65759.240361,11B,black
442,26177.6079698,10D,black
443,33518.5280698,10E,black
444,32046.999984,10P,black
445,40447.9996988,09C,black
446,35970.8214809,09B,black
447,40094.0606534,09L,black
448,21537.9448448,11R,black
449,42006.4885368,11K,black
450,25664.1565825,11G,black
451,28534.9013759,12I,black
452,41225.9998394,12C,black
453,46545.999876,04S,black
454,35759.0200937,04X1,black
455,21568.0,04M,black
456,35386.0,04T,black
457,36298.822261,10M,black
458,35959.1343464,04X2,black
459,36129.9999521,04L,black
460,35651.9999567,04D,black
461,36778.0,04G,black
462,30341.9999945,04A,black
463,35074.0841761,04K,black
464,38930.9239721,04W,black
465,40447.8169444,10F,black
466,35997.0000039,03S,black
467,26088.6688216,09D,black
468,39291.3838513,03C,black
469,35997.0000251,03H,black
470,56990.6482891,OREGON 03,
471,89297.6799139,MARIETTA 2A,white
472,78399.9406555,NORTON PARK 01,
473,59273.0004728,FAIR OAKS 01,
474,135333.297273,LASSITER 01,white
475,90600.0000324,KELL 01,white
476,107844.870771,ROCKY MOUNT 01,white
477,103993.958473,EASTSIDE 02,white
478,128431.999861,SOPE CREEK 01,white
479,52712.4392107,FAIR OAKS 02,
480,44912.2795331,FAIR OAKS 04,
481,65711.1799342,MARIETTA 2B,
482,88512.9901919,BELLS FERRY 02,white
483,92280.8493667,BLACKWELL 01,white
484,86430.0564448,GRITTERS 01,white
485,102494.999956,MCCLESKEY 01,white
486,98730.8242133,NICHOLSON 01,white
487,96407.00754,ADDISON 01,white
488,123586.000049,SIMPSON 01,white
489,58686.2957434,MARIETTA 6A,white
490,71131.401242,MARIETTA 5B,white
491,93193.9643763,HAYES 01,white
492,86939.8596807,PINE MOUNTAIN 02,white
493,96504.704698,CHEATHAM HILL 02,white
494,72146.5837328,POWERS FERRY 01,white
495,269010.312053,08E,white
496,126661.805272,VININGS 04,white
497,45574.9659184,MARIETTA 7A,
498,40611.7386728,FAIR OAKS 05,
499,44243.5740626,MARIETTA 1A,
500,48433.5654379,DOBBINS 01,
501,49751.0936112,SMYRNA 5A,
502,57525.2561464,SMYRNA 3A,
503,74968.78785,MARIETTA 4C,white
504,75715.0304655,KENNESAW 3A,white
505,83951.0,MARIETTA 4A,white
506,54417.3046791,MARIETTA 5A,
507,99052.1272221,SMYRNA 7A,white
508,88558.9035795,SMYRNA 4A,white
509,64825.2446372,EAST PIEDMONT 01,white
510,77015.5050269,KENNESAW 1A,white
511,69130.7263802,BIG SHANTY 01,white
512,65071.6983488,MARIETTA 4B,white
513,68561.6172113,ELIZABETH 01,white
514,114203.499666,PINE MOUNTAIN 01,white
515,85698.9271015,KENNESAW 2A,white
516,98446.0335185,MARS HILL 02,white
517,79031.1637163,ACWORTH 1C,white
518,77266.2969222,KENNESAW 4A,white
519,79632.8809973,KENNESAW 5A,white
520,83133.409111,BAKER 01,white
