,county,dem_votes,precinct,rep_votes,total,rep_p,dem_p
164,COBB,501,PINE MOUNTAIN 02,1597,2098,0.761201143947,0.238798856053
165,COBB,849,POST OAK 01,1629,2478,0.657384987893,0.342615012107
166,COBB,797,POPE 01,1316,2113,0.622811168954,0.377188831046
167,COBB,587,PALMER 01,1042,1629,0.639656230816,0.360343769184
168,COBB,1633,POWDER SPRINGS 1A,925,2558,0.361610633307,0.638389366693
169,COBB,1450,POWDER SPRINGS 2A,415,1865,0.222520107239,0.777479892761
170,COBB,1448,POWDER SPRINGS 3A,622,2070,0.300483091787,0.699516908213
171,COBB,647,PITNER 01,1087,1734,0.626874279123,0.373125720877
172,COBB,852,ROCKY MOUNTAIN 01,1381,2233,0.618450515002,0.381549484998
173,COBB,905,RIVERSIDE 01,84,989,0.0849342770475,0.915065722952
174,COBB,1534,ROSWELL 01,2292,3826,0.599059069524,0.400940930476
175,COBB,1041,ROSWELL 02,1450,2491,0.582095543958,0.417904456042
176,COBB,849,SANDY PLAINS 01,1048,1897,0.552451238798,0.447548761202
177,COBB,916,SHALLOWFORD FALL 01,1401,2317,0.604661199827,0.395338800173
178,COBB,533,SIMPSON 01,766,1299,0.589684372594,0.410315627406
179,COBB,976,SEWELL MILL 01,1270,2246,0.565449688335,0.434550311665
180,COBB,1372,SEWELL MILL 03,1208,2580,0.468217054264,0.531782945736
181,COBB,1589,SMYRNA 1A,485,2074,0.233847637416,0.766152362584
182,COBB,2199,SMYRNA 2A,785,2984,0.263069705094,0.736930294906
183,COBB,2241,SMYRNA 3A,1373,3614,0.379911455451,0.620088544549
184,COBB,2065,SMYRNA 4A,1765,3830,0.460835509138,0.539164490862
185,COBB,1360,SMYRNA 5A,681,2041,0.333659970603,0.666340029397
186,COBB,2161,SMYRNA 6A,1635,3796,0.43071654373,0.56928345627
187,COBB,2622,SMYRNA 7A,1358,3980,0.341206030151,0.658793969849
188,COBB,583,SOPE CREEK 01,977,1560,0.626282051282,0.373717948718
189,COBB,1355,SOPE CREEK 02,1486,2841,0.523055262232,0.476944737768
190,COBB,721,SOPE CREEK 03,1225,1946,0.629496402878,0.370503597122
191,COBB,1147,SWEETWATER 01,897,2044,0.438845401174,0.561154598826
192,COBB,1137,SWEETWATER 02,382,1519,0.251481237656,0.748518762344
193,COBB,1982,TERRELL MILL 01,869,2851,0.304805331463,0.695194668537
194,COBB,767,TIMBER RIDGE 01,1000,1767,0.565930956423,0.434069043577
195,COBB,598,VAUGHN 01,1538,2136,0.720037453184,0.279962546816
196,COBB,859,VININGS 01,584,1443,0.404712404712,0.595287595288
197,COBB,2238,VININGS 02,1221,3459,0.352992194276,0.647007805724
198,COBB,1598,VININGS 03,991,2589,0.382773271533,0.617226728467
199,COBB,1008,VININGS 04,1270,2278,0.557506584723,0.442493415277
200,COBB,1361,WADE GREEN 02,1410,2771,0.508841573439,0.491158426561
201,COBB,750,WILEO 01,1254,2004,0.625748502994,0.374251497006
202,DEKALB,1571,ALLGOOD ELEM,172,1743,0.0986804360298,0.90131956397
203,DEKALB,1081,ASHFORD DUNWOODY RD,897,1978,0.453488372093,0.546511627907
204,DEKALB,782,ASHFORD PARK ELEM,809,1591,0.508485229415,0.491514770585
205,DEKALB,1400,ASHFORD PARKSIDE,954,2354,0.405267629567,0.594732370433
206,DEKALB,784,AUSTIN,1064,1848,0.575757575758,0.424242424242
207,DEKALB,1101,AUSTIN DRIVE,60,1161,0.0516795865633,0.948320413437
208,DEKALB,1483,AVONDALE,550,2033,0.270536153468,0.729463846532
209,DEKALB,949,AVONDALE HIGH,164,1113,0.14734950584,0.85265049416
210,DEKALB,847,AVONDALE HIGH,93,940,0.0989361702128,0.901063829787
211,DEKALB,2398,BETHUNE MIDDLE,78,2476,0.0315024232633,0.968497576737
212,DEKALB,1106,BOULDERCREST RD,53,1159,0.0457290767903,0.95427092321
213,DEKALB,2575,BOULEVARD,236,2811,0.0839558875845,0.916044112416
214,DEKALB,1364,BRIAR VISTA ELEM,408,1772,0.230248306998,0.769751693002
215,DEKALB,1193,BRIARCLIFF,686,1879,0.365087812666,0.634912187334
216,DEKALB,706,BRIARLAKE ELEM,486,1192,0.407718120805,0.592281879195
217,DEKALB,870,BRIARWOOD,513,1383,0.370932754881,0.629067245119
218,DEKALB,966,BROCKETT,584,1550,0.376774193548,0.623225806452
219,DEKALB,1042,BROCKETT ELEM,546,1588,0.343828715365,0.656171284635
220,DEKALB,1164,BROOKHAVEN,988,2152,0.459107806691,0.540892193309
221,DEKALB,2293,BROWNS MILL ELEM,80,2373,0.0337126000843,0.966287399916
222,DEKALB,1725,BURGESS ELEM,133,1858,0.0715823466093,0.928417653391
223,DEKALB,1081,CANBY LANE ELEM,31,1112,0.0278776978417,0.972122302158
224,DEKALB,1533,CANDLER,72,1605,0.0448598130841,0.955140186916
225,DEKALB,1695,CANDLER-MURPHEY CAND,133,1828,0.0727571115974,0.927242888403
226,DEKALB,2431,CEDAR GROVE ELEM,91,2522,0.0360824742268,0.963917525773
227,DEKALB,813,CEDAR GROVE MIDDLE,23,836,0.0275119617225,0.972488038278
228,DEKALB,2235,CEDAR GROVE SOUTH,75,2310,0.0324675324675,0.967532467532
229,DEKALB,631,CHAMBLEE,361,992,0.363911290323,0.636088709677
230,DEKALB,969,CHAMBLEE,686,1655,0.414501510574,0.585498489426
231,DEKALB,1907,CHAPEL HILL ELEM,49,1956,0.0250511247444,0.974948875256
232,DEKALB,932,CHESNUT ELEM,415,1347,0.308092056422,0.691907943578
233,DEKALB,1963,CLAIREMONT EAST,350,2313,0.151318633809,0.848681366191
234,DEKALB,1995,CLAIREMONT WEST,329,2324,0.14156626506,0.85843373494
235,DEKALB,1422,CLAIRMONT ROAD,425,1847,0.230102869518,0.769897130482
236,DEKALB,2387,CLARKSTON,230,2617,0.0878868933894,0.912113106611
237,DEKALB,919,CLIFTON ELEM,39,958,0.0407098121086,0.959290187891
238,DEKALB,1141,COLUMBIA DRIVE,37,1178,0.0314091680815,0.968590831919
239,DEKALB,744,COLUMBIA ELEM,8,752,0.0106382978723,0.989361702128
240,DEKALB,948,COLUMBIA MIDDLE,27,975,0.0276923076923,0.972307692308
241,DEKALB,1565,CORALWOOD,665,2230,0.298206278027,0.701793721973
242,DEKALB,846,COVINGTON,83,929,0.0893433799785,0.910656620022
243,DEKALB,349,COVINGTON HWY LIBRAR,19,368,0.0516304347826,0.948369565217
244,DEKALB,782,CROSS KEYS HIGH,483,1265,0.381818181818,0.618181818182
