County Name,County Code,County Precinct,Precinct Description,Combo#,Cong,Senat,House,Judic,Ward,Schol,Watbd,Supcm,Schob,Fire,Cityl,Commi,Munib,Unnamed: 18
COBB,33,DI01,DOBBINS 01,797,11,6,42,7,,6,,,,,,3,,
COBB,33,DI01,DOBBINS 01,798,11,33,42,7,,2,,,,,,3,,
COBB,33,DI01,DOBBINS 01,799,11,6,42,7,,5,,,,,,3,,
COBB,33,DL01,DOWELL 01,705,11,37,37,7,,7,,,,,,1,,
COBB,33,DO01,DODGEN 01,607,6,32,45,7,,6,,,,,,2,,
COBB,33,DO01,DODGEN 01,691,6,32,45,7,,5,,,,,,2,,
COBB,33,DU01,DURHAM 01,697,11,37,35,7,,1,,,,,,1,,
COBB,33,DU01,DURHAM 01,703,11,37,36,7,,1,,,,,,1,,
COBB,33,DV01,DAVIS 01,611,6,32,46,7,,5,,,,,,3,,
COBB,33,EA01,EASTSIDE 01,604,6,32,43,7,,6,,,,,,2,,
COBB,33,EA01,EASTSIDE 01,710,6,32,43,7,,5,,,,,,2,,
COBB,33,EA02,EASTSIDE 02,604,6,32,43,7,,6,,,,,,2,,
COBB,33,EA02,EASTSIDE 02,620,6,33,43,7,,5,,,,,,2,,
COBB,33,EL01,ELIZABETH 01,655,11,33,34,7,,4,,,,,,3,,
COBB,33,EL01,ELIZABETH 01,667,11,33,37,7,,5,,,,,,3,,
COBB,33,EL01,ELIZABETH 01,756,6,33,37,7,,5,,,,,,3,,
COBB,33,EL01,ELIZABETH 01,758,11,37,34,7,,4,,,,,,3,,
COBB,33,EL02,ELIZABETH 02,612,6,33,37,7,,4,,,,,,3,,
COBB,33,EL03,ELIZABETH 03,603,6,32,37,7,,5,,,,,,3,,
COBB,33,EL03,ELIZABETH 03,605,6,32,44,7,,4,,,,,,3,,
COBB,33,EL03,ELIZABETH 03,612,6,33,37,7,,4,,,,,,3,,
COBB,33,EL04,ELIZABETH 04,603,6,32,37,7,,5,,,,,,3,,
COBB,33,EL04,ELIZABETH 04,756,6,33,37,7,,5,,,,,,3,,
COBB,33,EL05,ELIZABETH 05,606,6,32,44,7,,5,,,,,,3,,
COBB,33,EP01,EAST PIEDMONT 01,612,6,33,37,7,,4,,,,,,3,,
COBB,33,EP01,EAST PIEDMONT 01,665,11,33,37,7,,4,,,,,,3,,
COBB,33,EP01,EAST PIEDMONT 01,667,11,33,37,7,,5,,,,,,3,,
COBB,33,EP01,EAST PIEDMONT 01,706,11,37,37,7,,4,,,,,,3,,
COBB,33,FO01,FAIR OAKS 01,671,11,33,41,7,,7,,,,,,1,,
COBB,33,FO01,FAIR OAKS 01,674,11,33,41,7,,7,,,,,,4,,
COBB,33,FO02,FAIR OAKS 02,671,11,33,41,7,,7,,,,,,1,,
COBB,33,FO02,FAIR OAKS 02,673,11,33,41,7,,2,,,,,,4,,
COBB,33,FO02,FAIR OAKS 02,674,11,33,41,7,,7,,,,,,4,,
COBB,33,FO04,FAIR OAKS 04,736,13,33,41,7,,2,,,,,,4,,
COBB,33,FO04,FAIR OAKS 04,738,13,33,41,7,,7,,,,,,4,,
COBB,33,FO04,FAIR OAKS 04,796,13,33,41,7,,7,,,,,,1,,
COBB,33,FO05,FAIR OAKS 05,639,11,6,42,7,,2,,,,,,4,,
COBB,33,FO05,FAIR OAKS 05,642,11,6,42,7,,7,,,,,,4,,
COBB,33,FO05,FAIR OAKS 05,787,11,6,42,7,,7,,,,,,3,,
COBB,33,FO05,FAIR OAKS 05,788,11,6,42,7,,2,,,,,,3,,
COBB,33,FP01,FULLERS PARK 01,604,6,32,43,7,,6,,,,,,2,,
COBB,33,FP01,FULLERS PARK 01,710,6,32,43,7,,5,,,,,,2,,
COBB,33,FR01,FORD 01,703,11,37,36,7,,1,,,,,,1,,
COBB,33,FR01,FORD 01,704,11,37,36,7,,7,,,,,,1,,
COBB,33,FY01,FREY 01,703,11,37,36,7,,1,,,,,,1,,
COBB,33,GM01,GARRISON MILL 01,611,6,32,46,7,,5,,,,,,3,,
COBB,33,GT01,GRITTERS 01,605,6,32,44,7,,4,,,,,,3,,
COBB,33,HL01,HARMONY-LELAND 01,744,13,38,39,7,,3,,,,,,4,,
COBB,33,HR01,HARRISON 01,703,11,37,36,7,,1,,,,,,1,,
COBB,33,HR01,HARRISON 01,704,11,37,36,7,,7,,,,,,1,,
COBB,33,HT01,HIGHTOWER 01,608,6,32,45,7,,5,,,,,,3,,
COBB,33,HT01,HIGHTOWER 01,691,6,32,45,7,,5,,,,,,2,,
COBB,33,HY01,HAYES 01,688,11,37,34,7,,1,,,,,,1,,
COBB,33,KE1A,KENNESAW 1A,649,11,14,44,7,LRG,4,,,,,LRG,3,,
COBB,33,KE1A,KENNESAW 1A,689,11,37,34,7,LRG,4,,,,,LRG,1,,
COBB,33,KE1A,KENNESAW 1A,700,11,37,35,7,LRG,4,,,,,LRG,3,,
COBB,33,KE1A,KENNESAW 1A,709,11,37,44,7,LRG,4,,,,,LRG,3,,
COBB,33,KE1A,KENNESAW 1A,757,11,37,35,7,LRG,4,,,,,LRG,1,,
COBB,33,KE1A,KENNESAW 1A,780,11,37,34,7,LRG,4,,,,,LRG,3,,
COBB,33,KE2A,KENNESAW 2A,686,11,37,34,7,LRG,1,,,,,LRG,1,,
