,PRECINCT_N,ajc_precinct
519,KENNESAW 5A,KENNESAW 5A
520,BAKER 01,BAKER 01
521,OAKDALE 01,OAKDALE 01
522,NICKAJACK 01,NICKAJACK 01
523,SMYRNA 6A,SMYRNA 6A
524,VININGS 03,VININGS 03
525,VININGS 02,VININGS 02
526,SMYRNA 2A,SMYRNA 2A
527,SMYRNA 1A,SMYRNA 1A
528,MARIETTA 6B,MARIETTA 6B
529,ELIZABETH 02,ELIZABETH 02
530,ELIZABETH 04,ELIZABETH 04
531,SEWELL MILL 03,SEWELL MILL 03
532,ELIZABETH 03,ELIZABETH 03
533,ELIZABETH 05,ELIZABETH 05
534,SALEM MIDDLE,SALEM MIDDLE
535,MILLER GROVE ROAD,MILLER GROVE ROAD
536,COLUMBIA ELEM,COLUMBIA ELEM
537,FLAT SHOALS LIBRARY,FLAT SHOALS LIBRARY
538,COLUMBIA MIDDLE,COLUMBIA MIDDLE
539,TONEY ELEM,TONEY ELEM
540,KNOLLWOOD ELEM,KNOLLWOOD ELEM
541,WADSWORTH ELEM,WADSWORTH ELEM - 05
542,SNAPFINGER ELEM,SNAPFINGER ELEM
543,PINCKNEYVILLE O,PINCKNEYVILLE O
544,PINCKNEYVILLE F,PINCKNEYVILLE F
545,PINCKNEYVILLE N,PINCKNEYVILLE N
546,NORTH HAIRSTON,NORTH HAIRSTON
547,BROCKETT ELEM,BROCKETT ELEM
548,LAWRENCEVILLE G,LAWRENCEVILLE G
549,DULUTH K,DULUTH K
550,DULUTH B,DULUTH B
551,DULUTH G,DULUTH G
552,MARTINS E,MARTINS E
553,DULUTH F,DULUTH F
554,DULUTH I,DULUTH I
555,JC01,JC01
556,DULUTH A,DULUTH A
557,MEMORIAL SOUTH,MEMORIAL SOUTH
558,MEMORIAL NORTH,MEMORIAL NORTH
559,WESLEY CHAPEL LIBRAR,WESLEY CHAPEL LIBRAR
560,SNAPFINGER ROAD S,SNAPFINGER ROAD SOUT
561,MCWILLIAMS,MCWILLIAMS
562,MIDDLE GROVE MIDDLE,MIDDLE GROVE MIDDLE
563,BETHUNE MIDDLE,BETHUNE MIDDLE
564,STONE MOUNTAIN ELEM,STONE MOUNTAIN ELEM
565,WYNBROOKE ELEM,WYNBROOKE ELEM
566,STEPHENSON MIDDLE,STEPHENSON MIDDLE
567,SOUTH DESHON,SOUTH DESHON
568,GARNERS D,GARNERS D
569,VALLEY BROOK,VALLEY BROOK
570,SHAW-ROBERT SHAW ELE,SHAW-ROBERT SHAW ELE
571,COVINGTON HWY,COVINGTON HWY LIBRAR
572,ROWLAND ELEM,ROWLAND ELEM
573,DUNAIRE ELEM,DUNAIRE ELEM
574,ALLGOOD ELEM,ALLGOOD ELEM
575,INDIAN CREEK ELEM,INDIAN CREEK ELEM
576,CLARKSTON (CLA),CLARKSTON
577,CATES A,CATES A
578,CATES L,CATES L
579,BAYCREEK J,BAYCREEK J
580,BAYCREEK B,BAYCREEK B
581,BAYCREEK F,BAYCREEK F
582,CATES N,CATES N
583,BAYCREEK A,BAYCREEK A
584,MARTINS F,MARTINS F
585,BERKSHIRE F,BERKSHIRE F
586,BERKSHIRE O,BERKSHIRE O
587,MARTINS C,MARTINS C
588,MARTINS D,MARTINS D
589,MARTINS I,MARTINS I
590,MARTINS J,MARTINS J
591,ROCKBRIDGE E,ROCKBRIDGE E
592,SS12,SS12
593,SS07C,SS07C
594,SS07B,SS07B
595,SS07A,SS07A
596,SS08B,SS08B
597,SS02B,SS02B
598,SS08C,SS08C
599,SS04,SS04
600,SS08A,SS08A
601,SS08D,SS08D
602,SS29A,SS29A
603,LAVISTA,LAVISTA
604,06J,06J
605,06E,06E
606,06Q,06Q
607,06S,06S
608,06H,06H
609,06D,06D
610,MCNAIR HIGH,MCNAIR HIGH
611,LITHONIA HIGH,LITHONIA HIGH
612,REDAN-TROTTI LIBRARY,REDAN-TROTTI LIBRARY
613,WOODROW ROAD,WOODROW ROAD
614,LITHONIA (LIT),LITHONIA
615,STONEVIEW ELEM,STONEVIEW ELEM
616,PRINCETON ELEM,PRINCETON ELEM
617,REDAN ELEM,REDAN ELEM
618,STEPHENSON HIGH,STEPHENSON HIGH
619,08L,08L
620,02W,02W
621,03F,03F
622,02A,02A
623,06R,06R
624,06N,06N
625,06L2,06L2
626,02S,02S
627,05J,05J
628,01I,01I
629,02B,02B
630,05C,05C
631,05K,05K
632,05D,05D
633,05F,05F
634,02L2,02L2
635,02C,02C
636,02L1,02L1
637,02K,02K
638,08P,08P
639,08K,08K
640,CROSSROADS,CROSSROADS
641,FAIRINGTON ELEM,FAIRINGTON ELEM
642,PANOLA ROAD,PANOLA ROAD
643,PANOLA WAY ELEM,PANOLA WAY ELEM
644,YOUNG ROAD,YOUNG ROAD
645,REDAN MIDDLE,REDAN MIDDLE
646,MARBUT ELEM,MARBUT ELEM
647,REDAN ROAD,REDAN ROAD
648,WOODRIDGE ELEM,WOODRIDGE ELEM
649,ROWLAND ROAD,ROWLAND ROAD
650,WHITE OAK,WHITE OAK
651,FREEDOM MIDDLE,FREEDOM MIDDLE
652,PINE LAKE (PIN),PINE LAKE
653,HAMBRICK ELEM,HAMBRICK ELEM
654,ROCKBRIDGE ELEM,ROCKBRIDGE ELEM
655,STONE MILL ELEM,STONE MILL ELEM
656,MILLER-ELDRIDGE L MI,MILLER-ELDRIDGE L. M
657,GARNERS B,GARNERS B
658,BERKSHIRE D,BERKSHIRE D
659,BERKSHIRE A,BERKSHIRE A
660,BERKSHIRE P,BERKSHIRE P
661,BERKSHIRE M,BERKSHIRE M
662,PINCKNEYVILLE Q,PINCKNEYVILLE Q
663,BERKSHIRE L,BERKSHIRE L
664,GARNERS F,GARNERS F
665,BERKSHIRE N,BERKSHIRE N
666,BERKSHIRE E,BERKSHIRE E
667,BERKSHIRE J,BERKSHIRE J
668,GARNERS C,GARNERS C
669,GARNERS A,GARNERS A
670,FERNBANK ELEM,FERNBANK ELEM
671,EMORY SOUTH,EMORY SOUTH
672,JOHNSON ESTATES (ATL,JOHNSON ESTATES
