,PRECINCT_N,XCOORD,YCOORD,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,COUNTY,COUNTY_NAM,FIPS2,race,avg_income,ajc_precinct
100,LAWRENCEVILLE H,-83.995415,34.003176,5075729,2.33,1742,13585,13585,85,67,GWINNETT,135,white,88378,LAWRENCEVILLE H
101,LAWRENCEVILLE K,-83.998291,34.012533,5075788,1.38,1789,135132,135132,132,67,GWINNETT,135,white,87845,LAWRENCEVILLE K
102,LAWRENCEVILLE D,-83.984011,33.963757,5075831,4.06,1717,13560,13560,60,67,GWINNETT,135,,62617,LAWRENCEVILLE D
103,LAWRENCEVILLE C,-83.970625,33.994598,5075925,3.18,1699,13542,13542,42,67,GWINNETT,135,white,86150,LAWRENCEVILLE C
104,PUCKETTS A,-83.947983,34.11105,5219882,4.27,1666,1359,1359,9,67,GWINNETT,135,white,80975,PUCKETTS A
105,PUCKETTS C,-83.915244,34.098268,5220026,4.39,1792,135135,135135,135,67,GWINNETT,135,white,90506,PUCKETTS C
106,DACULA,-83.909174,33.988066,5093428,6.33,1660,1353,1353,3,67,GWINNETT,135,white,88376,DACULA
107,ROCKYCREEK C,-83.923654,34.017241,5093509,2.43,1809,135152,135152,152,67,GWINNETT,135,white,92688,ROCKYCREEK C
108,ROCKYCREEK B,-83.931929,34.03743,5093552,2.39,1794,135137,135137,137,67,GWINNETT,135,white,80511,ROCKYCREEK B
109,PUCKETTS D,-83.933201,34.072773,5093594,3.01,1811,135154,135154,154,67,GWINNETT,135,white,80791,PUCKETTS D
110,DUNCANS A,-83.912696,34.0587,5093659,3.03,1665,1358,1358,8,67,GWINNETT,135,white,110889,DUNCANS A
111,DUNCANS C,-83.89702,34.054992,5093729,1.6,1670,13513,13513,13,67,GWINNETT,135,white,111087,DUNCANS C
112,RW09,-84.399146,34.095595,5093769,4.15,1479,121RW09,121RW09,RW09,60,FULTON,121,white,176443,RW09
113,BAYCREEK E,-83.941644,33.844308,5066269,3.41,1765,135108,135108,108,67,GWINNETT,135,,80886,BAYCREEK E
114,BAYCREEK G,-83.929223,33.864246,5066342,5.08,1802,135145,135145,145,67,GWINNETT,135,white,76761,BAYCREEK G
115,BAYCREEK H,-83.902771,33.880432,5066508,7.92,1803,135146,135146,146,67,GWINNETT,135,white,82443,BAYCREEK H
116,BAYCREEK D,-83.945516,33.907265,5066591,3.41,1748,13591,13591,91,67,GWINNETT,135,white,94098,BAYCREEK D
117,HARBINS B,-83.862177,33.977662,5521053,11.28,1790,135133,135133,133,67,GWINNETT,135,white,82440,HARBINS B
118,ROCKYCREEK A,-83.88194,34.032044,5521161,7.04,1685,13528,13528,28,67,GWINNETT,135,white,103858,ROCKYCREEK A
119,DUNCANS B,-83.864431,34.068628,5521221,6.29,1786,135129,135129,129,67,GWINNETT,135,white,111273,DUNCANS B
120,DUNCANS D,-83.863742,34.095493,5646016,7.06,1696,13539,13539,39,67,GWINNETT,135,white,111722,DUNCANS D
121,ROCKBRIDGE F,-84.009025,33.788995,4973944,4.4,1761,135104,135104,104,67,GWINNETT,135,black,74483,ROCKBRIDGE F
122,ROCKBRIDGE D,-84.004061,33.81197,4974009,3.91,1733,13576,13576,76,67,GWINNETT,135,black,74483,ROCKBRIDGE D
123,BERKSHIRE G,-84.131472,33.847377,4974227,1.42,1709,13552,13552,52,67,GWINNETT,135,white,86326,BERKSHIRE G
124,HARBINS A,-83.871234,33.939382,5511983,13.74,1658,1351,1351,1,67,GWINNETT,135,white,77447,HARBINS A
125,HARBINS C,-83.836708,33.919105,5512082,5.93,1808,135151,135151,151,67,GWINNETT,135,white,77448,HARBINS C
126,WILLEO 01,-84.423609,34.052388,4313752,1.3,649,067WL01,067WL01,WL01,33,COBB,67,white,136873,WILEO 01
127,RW07B,-84.324908,34.032819,4785216,0.25,1477,121RW07B,121RW07B,RW07B,60,FULTON,121,hispanic,45170,RW07B
128,AP03,-84.325145,34.039265,4785253,0.45,1380,121AP03,121AP03,AP03,60,FULTON,121,,57454,AP03
129,RW05,-84.324558,34.051177,4785283,2.73,1474,121RW05,121RW05,RW05,60,FULTON,121,,58003,RW05
130,AP021,-84.312914,34.078535,4785367,1.4,1377,121AP021,121AP021,AP021,60,FULTON,121,white,110781,AP021
131,RW06,-84.297732,34.018804,4785430,1.25,1475,121RW06,121RW06,RW06,60,FULTON,121,white,93606,RW06
132,RW13,-84.295779,34.029101,4785484,2.31,1484,121RW13,121RW13,RW13,60,FULTON,121,white,103843,RW13
133,AP01D,-84.295067,34.042311,4785583,1.55,1375,121AP01D,121AP01D,AP01D,60,FULTON,121,white,81158,AP01D
134,AP02B,-84.310052,34.048381,4785645,0.86,1379,121AP02B,121AP02B,AP02B,60,FULTON,121,,61654,AP02B
135,AP022,-84.305656,34.064377,4785688,1.73,1378,121AP022,121AP022,AP022,60,FULTON,121,,61655,AP022
136,AP01B,-84.283598,34.064004,4785752,0.81,1373,121AP01B,121AP01B,AP01B,60,FULTON,121,,84909,AP01B
137,RIVERDALE 1,-84.440382,33.579641,4036274,1.44,488,063RD01,063RD01,RD01,31,CLAYTON,63,black,59697,RIVERDALE 1
138,RIVERDALE 3,-84.422169,33.573945,4036334,1.45,490,063RD03,063RD03,RD03,31,CLAYTON,63,black,48284,RIVERDALE 3
139,OAK 4,-84.437928,33.59782,4036418,1.21,485,063OAK4,063OAK4,OAK4,31,CLAYTON,63,black,50172,OAK 4
140,OAK 2,-84.434929,33.613379,4036474,1.01,483,063OAK2,063OAK2,OAK2,31,CLAYTON,63,black,46756,OAK 2
141,RIVERDALE 10,-84.417643,33.589509,4036533,0.88,497,063RD10,063RD10,RD10,31,CLAYTON,63,black,31847,RIVERDALE 10
