ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,income_rac,income_r_1,XCOORD,YCOORD
5075788,1.38,1789,135132,135132,132,LAWRENCEVILLE K,67,GWINNETT,135,white,87845.014055,-83.998291,34.012533
5075831,4.06,1717,13560,13560,60,LAWRENCEVILLE D,67,GWINNETT,135,,62617.098668,-83.984011,33.963757
5075925,3.18,1699,13542,13542,42,LAWRENCEVILLE C,67,GWINNETT,135,white,86150.199204,-83.970625,33.994598
5219882,4.27,1666,1359,1359,9,PUCKETTS A,67,GWINNETT,135,white,80975.999975,-83.947983,34.11105
5220026,4.39,1792,135135,135135,135,PUCKETTS C,67,GWINNETT,135,white,90506.765735,-83.915244,34.098268
5093428,6.33,1660,1353,1353,3,DACULA,67,GWINNETT,135,white,88376.242855,-83.909174,33.988066
5093509,2.43,1809,135152,135152,152,ROCKYCREEK C,67,GWINNETT,135,white,92688.001727,-83.923654,34.017241
5093552,2.39,1794,135137,135137,137,ROCKYCREEK B,67,GWINNETT,135,white,80511.077769,-83.931929,34.03743
5093594,3.01,1811,135154,135154,154,PUCKETTS D,67,GWINNETT,135,white,80791.967381,-83.933201,34.072773
5093659,3.03,1665,1358,1358,8,DUNCANS A,67,GWINNETT,135,white,110889.981861,-83.912696,34.0587
5093729,1.6,1670,13513,13513,13,DUNCANS C,67,GWINNETT,135,white,111087,-83.89702,34.054992
5093769,4.15,1479,121RW09,121RW09,RW09,RW09,60,FULTON,121,white,176443.563528,-84.399146,34.095595
5066269,3.41,1765,135108,135108,108,BAYCREEK E,67,GWINNETT,135,,80886.036671,-83.941644,33.844308
5066342,5.08,1802,135145,135145,145,BAYCREEK G,67,GWINNETT,135,white,76761.378866,-83.929223,33.864246
5066508,7.92,1803,135146,135146,146,BAYCREEK H,67,GWINNETT,135,white,82443.055625,-83.902771,33.880432
5066591,3.41,1748,13591,13591,91,BAYCREEK D,67,GWINNETT,135,white,94098.157945,-83.945516,33.907265
5521053,11.28,1790,135133,135133,133,HARBINS B,67,GWINNETT,135,white,82440.026504,-83.862177,33.977662
5521161,7.04,1685,13528,13528,28,ROCKYCREEK A,67,GWINNETT,135,white,103858.05682,-83.88194,34.032044
5521221,6.29,1786,135129,135129,129,DUNCANS B,67,GWINNETT,135,white,111273.950701,-83.864431,34.068628
5646016,7.06,1696,13539,13539,39,DUNCANS D,67,GWINNETT,135,white,111722.999983,-83.863742,34.095493
4973944,4.4,1761,135104,135104,104,ROCKBRIDGE F,67,GWINNETT,135,black,74483.995131,-84.009025,33.788995
4974009,3.91,1733,13576,13576,76,ROCKBRIDGE D,67,GWINNETT,135,black,74483.99994,-84.004061,33.81197
4974227,1.42,1709,13552,13552,52,BERKSHIRE G,67,GWINNETT,135,white,86326.544196,-84.131472,33.847377
5511983,13.74,1658,1351,1351,1,HARBINS A,67,GWINNETT,135,white,77447.999991,-83.871234,33.939382
5512082,5.93,1808,135151,135151,151,HARBINS C,67,GWINNETT,135,white,77448,-83.836708,33.919105
4313752,1.3,649,067WL01,067WL01,WL01,WILLEO 01,33,COBB,067,white,136873.844336,-84.423609,34.052388
4785216,0.25,1477,121RW07B,121RW07B,RW07B,RW07B,60,FULTON,121,hispanic,45170.930199,-84.324908,34.032819
4785253,0.45,1380,121AP03,121AP03,AP03,AP03,60,FULTON,121,,57454.000009,-84.325145,34.039265
4785283,2.73,1474,121RW05,121RW05,RW05,RW05,60,FULTON,121,,58003.985562,-84.324558,34.051177
4785367,1.4,1377,121AP021,121AP021,AP021,AP021,60,FULTON,121,white,110781.941078,-84.312914,34.078535
4785430,1.25,1475,121RW06,121RW06,RW06,RW06,60,FULTON,121,white,93606.238503,-84.297732,34.018804
4785484,2.31,1484,121RW13,121RW13,RW13,RW13,60,FULTON,121,white,103843.601204,-84.295779,34.029101
4785583,1.55,1375,121AP01D,121AP01D,AP01D,AP01D,60,FULTON,121,white,81158.190762,-84.295067,34.042311
4785645,0.86,1379,121AP02B,121AP02B,AP02B,AP02B,60,FULTON,121,,61654.999889,-84.310052,34.048381
4785688,1.73,1378,121AP022,121AP022,AP022,AP022,60,FULTON,121,,61655.000275,-84.305656,34.064377
4785752,0.81,1373,121AP01B,121AP01B,AP01B,AP01B,60,FULTON,121,,84909.999985,-84.283598,34.064004
4036274,1.44,488,063RD01,063RD01,RD01,RIVERDALE 1,31,CLAYTON,063,black,59697.599561,-84.440382,33.579641
4036334,1.45,490,063RD03,063RD03,RD03,RIVERDALE 3,31,CLAYTON,063,black,48284.779116,-84.422169,33.573945
4036418,1.21,485,063OAK4,063OAK4,OAK4,OAK 4,31,CLAYTON,063,black,50172.318956,-84.437928,33.59782
4036474,1.01,483,063OAK2,063OAK2,OAK2,OAK 2,31,CLAYTON,063,black,46756.587875,-84.434929,33.613379
4036533,0.88,497,063RD10,063RD10,RD10,RIVERDALE 10,31,CLAYTON,063,black,31847.540211,-84.417643,33.589509
4036579,2.26,484,063OAK3,063OAK3,OAK3,OAK 3,31,CLAYTON,063,black,34426.862765,-84.415014,33.60369
4036644,0.76,1410,121CP06,121CP06,CP06,CP06,60,FULTON,121,white,57248.999934,-84.466553,33.626154
4036697,0.25,1409,121CP05B,121CP05B,CP05B,CP05B,60,FULTON,121,black,35056.316772,-84.470204,33.642279
4036726,0.08,1413,121CP07D,121CP07D,CP07D,CP07D,60,FULTON,121,black,35016,-84.47517,33.648865
4770756,1.28,1478,121RW08,121RW08,RW08,RW08,60,FULTON,121,white,104907.832885,-84.352761,34.040834
4770800,1.38,1488,121RW18,121RW18,RW18,RW18,60,FULTON,121,white,152029.727253,-84.373642,34.065298
4770852,1.48,1486,121RW16,121RW16,RW16,RW16,60,FULTON,121,white,110849.313211,-84.345043,34.055381
4770890,2.4,1483,121RW12,121RW12,RW12,RW12,60,FULTON,121,white,113046.672824,-84.352773,34.067943
4770952,1.08,836,089DI,089DI,DI,DUNWOODY LIBRARY (DU,44,DEKALB,089,white,159717.823872,-84.338873,33.949218
4771006,1.23,789,089AD,089AD,AD,AUSTIN,44,DEKALB,089,white,157989.300633,-84.334767,33.961998
4771060,1.09,897,089MQ,089MQ,MQ,MOUNT VERNON EAST (D,44,DEKALB,089,white,146753.47041,-84.314016,33.958536
4771112,0.4,1561,121SS15B,121SS15B,SS15B,SS15B,60,FULTON,121,,72017.999837,-84.34093,34.003053
4771146,3.47,1563,121SS17,121SS17,SS17,SS17,60,FULTON,121,white,46878.67322,-84.324683,33.98054
4044457,6.92,482,063OAK1,063OAK1,OAK1,OAK 1,31,CLAYTON,063,black,40769.391433,-84.435718,33.62999
4044614,1.09,1405,121CP02,121CP02,CP02,CP02,60,FULTON,121,,79794.966855,-84.440803,33.654142
4044714,0.15,1404,121CP01B,121CP01B,CP01B,CP01B,60,FULTON,121,,79794.999258,-84.440342,33.665841
4251043,1.39,644,067VG01,067VG01,VG01,VININGS 01,33,COBB,067,white,88765.788844,-84.461098,33.876215
4251121,1.1,1319,12109F,12109F,09F,09F,60,FULTON,121,white,92955.461979,-84.433335,33.819852
4251171,0.38,1312,12108N2,12108N2,08N2,08N2,60,FULTON,121,white,221381.421359,-84.425378,33.839926
4251207,0.49,1311,12108N1,12108N1,08N1,08N1,60,FULTON,121,white,221299.000193,-84.420403,33.846338
4251244,1.45,1303,12108F1,12108F1,08F1,08F1,60,FULTON,121,white,226070.090638,-84.413028,33.833215
4251295,3.25,1298,12108A,12108A,08A,08A,60,FULTON,121,white,263565.203108,-84.43356,33.867326
4251371,0.94,1301,12108D,12108D,08D,08D,60,FULTON,121,white,255725.654679,-84.417564,33.853201
4259115,2.4,520,067CA01,067CA01,CA01,CHATTAHOOCHEE 01,33,COBB,067,,67115.786435,-84.457603,33.896425
4259191,1.3,641,067TM01,067TM01,TM01,TERRELL MILL 01,33,COBB,067,,62734.667886,-84.470318,33.927989
4259309,2.85,637,067SO02,067SO02,SO02,SOPE CREEK 02,33,COBB,067,white,109556.046759,-84.452979,33.921501
4259387,4.12,1550,121SS09A,121SS09A,SS09A,SS09A,60,FULTON,121,white,66325.275617,-84.424039,33.893253
4259455,2.49,638,067SO03,067SO03,SO03,SOPE CREEK 03,33,COBB,067,white,166386.08086,-84.428157,33.934308
4259505,2.56,1562,121SS16,121SS16,SS16,SS16,60,FULTON,121,,58034.000079,-84.42564,33.919113
4848415,2.19,1387,121AP09A,121AP09A,AP09A,AP09A,60,FULTON,121,white,105645.403973,-84.227887,34.069329
4848474,1.83,1778,135121,135121,121,PINCKNEYVILLE X,67,GWINNETT,135,white,112622.830828,-84.205905,33.979859
4848523,4.79,1697,13540,13540,40,PINCKNEYVILLE H,67,GWINNETT,135,,88833.706252,-84.194517,33.970846
4848626,3.34,1439,121JC12,121JC12,JC12,JC12,60,FULTON,121,white,170409.619398,-84.206987,34.007542
4848690,1.89,1756,13599,13599,99,PINCKNEYVILLE T,67,GWINNETT,135,,63661.807271,-84.175581,33.959707
4763972,0.66,1560,121SS15A,121SS15A,SS15A,SS15A,60,FULTON,121,black,44353.000343,-84.344869,33.993121
4764015,2.48,621,067RW01,067RW01,RW01,ROSWELL 01,33,COBB,067,white,135308.349366,-84.408797,34.016183
4764088,2.53,1471,121RW02,121RW02,RW02,RW02,60,FULTON,121,white,142982.961069,-84.384016,34.017737
4764155,2.2,1480,121RW10,121RW10,RW10,RW10,60,FULTON,121,white,121373.989042,-84.379036,34.034394
4764210,2.27,1485,121RW15,121RW15,RW15,RW15,60,FULTON,121,white,166033.558256,-84.399448,34.069489
4764273,4.01,1470,121RW01,121RW01,RW01,RW01,60,FULTON,121,white,108603.189828,-84.39219,34.048882
4764348,3.03,1472,121RW03,121RW03,RW03,RW03,60,FULTON,121,,71633.402842,-84.345525,34.019241
5034183,1.9,1812,135155,135155,155,SUWANEE G,67,GWINNETT,135,white,120739.198901,-84.100103,34.039223
5034227,3.29,1797,135140,135140,140,SUWANEE H,67,GWINNETT,135,white,145658.999772,-84.096244,34.072325
5034287,1.72,1674,13517,13517,17,MARTINS A,67,GWINNETT,135,,59083.772867,-84.069189,33.953299
5034337,3.72,1734,13577,13577,77,GOODWINS C,67,GWINNETT,135,,67035.199243,-84.057523,33.974932
5034415,2.8,1754,13597,13597,97,GOODWINS E,67,GWINNETT,135,,83664.914408,-84.057196,34.004603
3958663,2.52,567,067LM02,067LM02,LM02,LOST MOUNTAIN 02,33,COBB,067,white,132393.217757,-84.709,33.979067
3958718,2.33,547,067FR01,067FR01,FR01,FORD 01,33,COBB,067,white,140268.115179,-84.729969,33.997522
3958775,3.18,532,067DU01,067DU01,DU01,DURHAM 01,33,COBB,067,white,122343.99999,-84.71637,34.009995
