,Unnamed: 0,Unnamed: 0.1,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,race,avg_income,ajc_precinct,county,dem_votes,precinct,rep_votes,total,rep_p,dem_p,_merge
30,30.0,30.0,4655028.0,1.47,846.0,089FE,089FE,FE,FLAT SHOALS PARKWAY,44.0,DEKALB,89.0,black,65591.0,FLAT SHOALS PARKWAY,DEKALB,8.0,FLAT SHOALS PARKWAY,16.0,44.0,0.363636363636,0.181818181818,both
31,31.0,31.0,4655092.0,1.21,813.0,089CG,089CG,CG,CHAPEL HILL ELEM,44.0,DEKALB,89.0,black,72421.0,CHAPEL HILL ELEM,DEKALB,9.0,CHAPEL HILL ELEM,8.0,33.0,0.242424242424,0.272727272727,both
32,32.0,32.0,4655353.0,3.45,871.0,089KD,089KD,KD,KING-ML KING JR HIGH,44.0,DEKALB,89.0,black,75793.0,KING-ML KING JR HIGH,DEKALB,9.0,KING-ML KING JR HIGH,17.0,48.0,0.354166666667,0.1875,both
33,33.0,33.0,4655418.0,2.46,803.0,089BJ,089BJ,BJ,BROWNS MILL ELEM,44.0,DEKALB,89.0,black,69589.0,BROWNS MILL ELEM,DEKALB,16.0,BROWNS MILL ELEM,19.0,63.0,0.301587301587,0.253968253968,both
34,34.0,34.0,4646997.0,1.98,912.0,089OV,089OV,OV,OAK VIEW ELEM,44.0,DEKALB,89.0,black,51142.0,OAK VIEW ELEM,DEKALB,8.0,OAK VIEW ELEM,10.0,33.0,0.30303030303,0.242424242424,both
35,35.0,35.0,4647062.0,3.26,862.0,089HH,089HH,HH,NARVIE J HARRIS ELEM,44.0,DEKALB,89.0,black,59598.0,HARRIS-NARVIE J. HAR,DEKALB,5.0,HARRIS-NARVIE J. HAR,9.0,33.0,0.272727272727,0.151515151515,both
36,36.0,36.0,4647130.0,1.67,849.0,089FK,089FK,FK,FLAKES MILL FIRE STA,44.0,DEKALB,89.0,black,74727.0,FLAKES MILL FIRE STA,DEKALB,1.0,FLAKES MILL FIRE STA,8.0,24.0,0.333333333333,0.0416666666667,both
37,37.0,37.0,4637993.0,0.79,937.0,089SB,089SB,SB,SCOTT,44.0,DEKALB,89.0,white,70105.0,SCOTT,DEKALB,39.0,SCOTT,75.0,296.0,0.253378378378,0.131756756757,both
38,38.0,38.0,4638066.0,0.87,887.0,089MG,089MG,MG,MEDLOCK,44.0,DEKALB,89.0,white,69707.0,MEDLOCK ELEM,DEKALB,71.0,MEDLOCK ELEM,79.0,331.0,0.238670694864,0.214501510574,both
39,39.0,39.0,4638128.0,1.03,816.0,089CJ,089CJ,CJ,CLAIRMONT ROAD,44.0,DEKALB,89.0,white,79524.0,CLAIRMONT ROAD,DEKALB,77.0,CLAIRMONT ROAD,73.0,391.0,0.186700767263,0.196930946292,both
