county,dem_votes,precinct,rep_votes,total
CARROLL,296,EMC (714BN),511,807
CARROLL,328,OLD CAMP CHURCH (714BW),1029,1357
CARROLL,189,OAK GROVE (715),683,872
CARROLL,168,NEW HOPE (716),410,578
CATOOSA,183,BLACKSTOCK,689,872
CATOOSA,722,BOYNTON,2610,3332
CATOOSA,302,CATOOSA KEITH,1024,1326
CATOOSA,289,CHAMBERS,1154,1443
CATOOSA,295,DUNCAN PARK,880,1175
CATOOSA,539,FORT OGLETHORPE,1508,2047
CATOOSA,463,GRAYSVILLE,1652,2115
CATOOSA,455,LAKEVIEW,1218,1673
CATOOSA,460,POPLAR SPRINGS,1774,2234
CATOOSA,916,RINGGOLD,2953,3869
CATOOSA,382,WESTSIDE,1149,1531
CATOOSA,359,WOODSTATION,1247,1606
CHARLTON,435,Folkston Library,248,683
CHARLTON,384,Folkston,263,647
CHARLTON,33,Bend Fire Station,192,225
CHARLTON,37,St. George,346,383
CHARLTON,8,Traders Hill,70,78
CHARLTON,145,Homeland,707,852
CHARLTON,123,Folkston Fire Station,405,528
CHARLTON,7,Racepond,120,127
CHARLTON,25,Winokur,176,201
CHATHAM,1018,1-01 First Presbyterian Church,1156,2174
CHATHAM,595,1-05 JEA Building,650,1245
CHATHAM,452,1-06 Central Chur of Christ,931,1383
CHATHAM,355,1-08 Grace United Meth Chur,700,1055
CHATHAM,247,1-09 Immanuel Bapt Church,153,400
CHATHAM,184,1-10 Isle of Hope School,649,833
CHATHAM,300,1-12 Isle of Hope Baptist,1225,1525
CHATHAM,315,1-13 Cresthill Baptist,551,866
CHATHAM,338,1-14 St Luke Church,804,1142
CHATHAM,469,1-16 Ferguson Ave Baptist,1398,1867
CHATHAM,465,1-17 Islands Christian Church,1504,1969
CHATHAM,743,2-02 Blackshear Comm Ctr,156,899
CHATHAM,683,2-03 W. W. Law Center,107,790
CHATHAM,1815,2-04 Fellowship of Love,57,1872
CHATHAM,1025,2-05 Holy Spirit Lutheran,102,1127
CHATHAM,276,2-06 Riverside Baptist Church,35,311
CHATHAM,1212,2-07 Christ Comm. Church,212,1424
CHATHAM,1746,2-09 The Salvation Army,245,1991
CHATHAM,777,2-11 S Gardens Christian,107,884
CHATHAM,688,2-12 Williams Court Apts,83,771
CHATHAM,135,3-01 Old Courthouse,165,300
CHATHAM,514,3-02 Rose of Sharon,398,912
CHATHAM,399,3-03 Savannah High School,45,444
CHATHAM,847,3-04 First African Baptist,44,891
CHATHAM,765,3-05 Aldersgate Youth Cent,274,1039
CHATHAM,459,3-08 Jenkins High School,237,696
CHATHAM,140,3-09 Cokesbury Methodist,318,458
CHATHAM,1525,3-10 Bible Baptist Church,204,1729
CHATHAM,648,3-11 Southside Bapt Church,174,822
CHATHAM,537,3-12 Thunderbolt Muni. Complex,483,1020
CHATHAM,1179,3-13 New Cov 7 Day Adv Ch,415,1594
CHATHAM,1049,3-14 Riverview Health Reh,258,1307
CHATHAM,239,3-15 Eli Whitney Complex,254,493
CHATHAM,454,4-02 Frank Murray Comm Ct,826,1280
CHATHAM,420,4-04 Lighthouse Baptist Ch,1142,1562
CHATHAM,371,4-05 St Francis Episcopal,1104,1475
CHATHAM,371,4-06 First Baptist Church,1106,1477
CHATHAM,511,4-07 Wilm Is Un Meth Ch,1194,1705
CHATHAM,493,4-08 Wilmington Island Pr,1659,2152
CHATHAM,383,4-10 Guard House Comm Ctr,653,1036
CHATHAM,402,4-11 Tybee Island School Cafe,715,1117
CHATHAM,386,4-12 St Peters Episcopal,1238,1624
CHATHAM,347,4-13 Skid Is Pres Church,1509,1856
CHATHAM,272,4-14 Skidaway Island Uni Meth,1130,1402
CHATHAM,299,4-15 Skidaway Island Stat,1061,1360
CHATHAM,430,5-01 Bartlett Middle Sch,142,572
CHATHAM,361,5-02 Senior Citizens Cent,37,398
CHATHAM,569,5-03 Butler Presbyterian,5,574
CHATHAM,1622,5-05 Liberty City Comm Ctr,7,1629
CHATHAM,1110,5-06 Wildwood United Meth,120,1230
CHATHAM,723,5-07 Elks Lodge,273,996
CHATHAM,685,5-08 Savannah Primitive,311,996
CHATHAM,2035,5-10 Jonesville Bapt Church,59,2094
CHATHAM,1049,5-11 Largo-Tibet Elem,335,1384
CHATHAM,609,6-01 White Bluff Pres Chr,395,1004
CHATHAM,581,6-02 Windsor Forest Baptist,998,1579
CHATHAM,889,6-03 Crusader Comm Ctr,700,1589
CHATHAM,655,6-05 Windsor Forest Golde,420,1075
CHATHAM,350,6-06 The Light,441,791
CHATHAM,705,6-08 St. Francis Cabrini,326,1031
CHATHAM,950,6-09 Trinity Lutheran Ch,953,1903
CHATHAM,1167,6-10 Georgetown Elem,1243,2410
CHATHAM,1090,6-11 Bamboo Farms,688,1778
CHATHAM,297,7-01 Garden City Senior Ctr,522,819
CHATHAM,194,7-03 P B Edwards Gym,498,692
CHATHAM,1106,7-04 Lake Shore Comm Ctr,558,1664
CHATHAM,381,7-05 Woodlawn Bapt Ch,297,678
CHATHAM,579,7-06 Pooler City Hall,826,1405
