county,dem_votes,precinct,rep_votes,total
COBB,956,Mount Bethel 03,1181,2137
COBB,805,Mount Bethel 04,1237,2042
COBB,593,North Cobb 01,785,1378
COBB,2088,Nickajack 01,703,2791
COBB,1410,Norton Park 01,1074,2484
COBB,570,Nicholson 01,976,1546
COBB,1378,Oakdale 01,1083,2461
COBB,387,Oregon 01,762,1149
COBB,2300,Oregon 02,858,3158
COBB,1179,Oregon 03,576,1755
COBB,1772,Oregon 04,724,2496
COBB,1277,Oregon 05,1128,2405
COBB,2283,Pebblebrook 01,500,2783
COBB,959,Powers Ferry 01,1098,2057
COBB,685,Pine Mountain 01,1605,2290
COBB,501,Pine Mountain 02,1597,2098
COBB,849,Post Oak 01,1629,2478
COBB,797,Pope 01,1316,2113
COBB,587,Palmer 01,1042,1629
COBB,1633,Powder Springs 1A,925,2558
COBB,1450,Powder Springs 2A,415,1865
COBB,1448,Powder Springs 3A,622,2070
COBB,647,Pitner 01,1087,1734
COBB,852,Rocky Mountain 01,1381,2233
COBB,905,Riverside 01,84,989
COBB,1534,Roswell 01,2292,3826
COBB,1041,Roswell 02,1450,2491
COBB,849,Sandy Plains 01,1048,1897
COBB,916,Shallowford Fall 01,1401,2317
COBB,533,Simpson 01,766,1299
COBB,976,Sewell Mill 01,1270,2246
COBB,1372,Sewell Mill 03,1208,2580
COBB,1589,Smyrna 1A,485,2074
COBB,2199,Smyrna 2A,785,2984
COBB,2241,Smyrna 3A,1373,3614
COBB,2065,Smyrna 4A,1765,3830
COBB,1360,Smyrna 5A,681,2041
COBB,2161,Smyrna 6A,1635,3796
COBB,2622,Smyrna 7A,1358,3980
