,Unnamed: 0,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,race,avg_income,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,county,_merge
50,50.0,4030419.0,0.78,1349.0,12111J,12111J,11J,11J,60.0,FULTON,121.0,black,41628.0,11J,1457.0,13.0,733.0,748.0,0.0,0.0,FULTON,both
51,51.0,4030469.0,3.18,1529.0,121SC23A,121SC23A,SC23A,SC23A,60.0,FULTON,121.0,black,56054.0,SC23A,4037.0,51.0,2019.0,2080.0,0.0,0.0,FULTON,both
52,52.0,4030538.0,1.17,498.0,063RD11,063RD11,RD11,RIVERDALE 11,31.0,CLAYTON,63.0,black,65591.0,RIVERDALE 11,1394.0,69.0,745.0,825.0,0.0,0.0,CLAYTON,both
53,53.0,4030602.0,0.97,1531.0,121SC27,121SC27,SC27,SC27,60.0,FULTON,121.0,black,43809.0,SC27,1781.0,24.0,1014.0,1045.0,0.0,0.0,FULTON,both
54,54.0,4030651.0,0.38,1416.0,121CP083,121CP083,CP083,CP083,60.0,FULTON,121.0,black,41166.0,CP083,,,,,,,,left_only
55,55.0,4030710.0,0.2,1418.0,121CP08A,121CP08A,CP08A,CP08A,60.0,FULTON,121.0,white,57248.0,CP08A,,,,,,,,left_only
56,56.0,4030748.0,1.94,495.0,063RD08,063RD08,RD08,RIVERDALE 8,31.0,CLAYTON,63.0,black,62179.0,RIVERDALE 8,2115.0,137.0,1135.0,1289.0,0.0,0.0,CLAYTON,both
57,57.0,4013924.0,3.46,1504.0,121SC08B,121SC08B,SC08B,SC08B,60.0,FULTON,121.0,black,43010.0,SC08B,2592.0,50.0,1345.0,1406.0,0.0,0.0,FULTON,both
58,58.0,4014046.0,1.22,1532.0,121SC29A,121SC29A,SC29A,SC29A,60.0,FULTON,121.0,black,49669.0,SC29A,2336.0,25.0,1268.0,1300.0,0.0,0.0,FULTON,both
59,59.0,4014094.0,0.71,1530.0,121SC23B,121SC23B,SC23B,SC23B,60.0,FULTON,121.0,black,54597.0,SC23B,369.0,12.0,183.0,198.0,0.0,0.0,FULTON,both
60,60.0,4014125.0,0.95,1511.0,121SC09B,121SC09B,SC09B,SC09B,60.0,FULTON,121.0,black,46959.0,SC09B,1379.0,20.0,750.0,773.0,0.0,0.0,FULTON,both
61,61.0,4014175.0,0.81,1514.0,121SC11B,121SC11B,SC11B,SC11B,60.0,FULTON,121.0,black,56759.0,SC11B,1320.0,17.0,700.0,719.0,0.0,0.0,FULTON,both
62,62.0,4014221.0,0.83,1513.0,121SC11A,121SC11A,SC11A,SC11A,60.0,FULTON,121.0,black,56759.0,SC11A,1184.0,13.0,637.0,653.0,0.0,0.0,FULTON,both
63,63.0,4014346.0,0.17,1506.0,121SC08D,121SC08D,SC08D,SC08D,60.0,FULTON,121.0,black,39694.0,SC08D,409.0,4.0,206.0,210.0,0.0,0.0,FULTON,both
64,64.0,4014370.0,0.55,1576.0,121UC01B,121UC01B,UC01B,UC01B,60.0,FULTON,121.0,black,39848.0,UC01B,300.0,1.0,89.0,90.0,0.0,0.0,FULTON,both
65,65.0,4014446.0,1.28,1510.0,121SC09A,121SC09A,SC09A,SC09A,60.0,FULTON,121.0,black,44086.0,SC09A,2598.0,44.0,1158.0,1205.0,0.0,0.0,FULTON,both
66,66.0,4007941.0,2.42,1575.0,121UC01A,121UC01A,UC01A,UC01A,60.0,FULTON,121.0,black,49338.0,UC01A,2821.0,32.0,1057.0,1098.0,0.0,0.0,FULTON,both
67,67.0,4008004.0,2.28,1582.0,121UC031,121UC031,UC031,UC031,60.0,FULTON,121.0,black,51926.0,UC031,1901.0,209.0,636.0,851.0,0.0,0.0,FULTON,both
68,68.0,4008090.0,0.23,1507.0,121SC08E,121SC08E,SC08E,SC08E,60.0,FULTON,121.0,black,49346.0,SC08E,333.0,1.0,163.0,165.0,0.0,0.0,FULTON,both
69,69.0,4008147.0,0.27,1586.0,121UC035,121UC035,UC035,UC035,60.0,FULTON,121.0,black,50266.0,UC035,7.0,2.0,3.0,5.0,0.0,0.0,FULTON,both
70,70.0,4008245.0,0.85,1578.0,121UC01D,121UC01D,UC01D,UC01D,60.0,FULTON,121.0,black,48657.0,UC01D,,,,,,,,left_only
71,71.0,4008306.0,0.15,1520.0,121SC17B,121SC17B,SC17B,SC17B,60.0,FULTON,121.0,black,48657.0,SC17B,,,,,,,,left_only
72,72.0,3974577.0,11.0,1501.0,121SC07A,121SC07A,SC07A,SC07A,60.0,FULTON,121.0,black,64043.0,SC07A,3905.0,245.0,2022.0,2284.0,0.0,0.0,FULTON,both
73,73.0,3886504.0,17.58,1398.0,121CH03,121CH03,CH03,CH03,60.0,FULTON,121.0,white,41282.0,CH03,272.0,115.0,51.0,169.0,0.0,0.0,FULTON,both
74,74.0,3886642.0,5.24,1397.0,121CH02,121CH02,CH02,CH02,60.0,FULTON,121.0,white,41282.0,CH02,260.0,57.0,97.0,154.0,0.0,0.0,FULTON,both
75,75.0,3886700.0,2.77,1396.0,121CH01,121CH01,CH01,CH01,60.0,FULTON,121.0,white,41282.0,CH01,190.0,22.0,50.0,74.0,0.0,0.0,FULTON,both
76,76.0,3886746.0,17.33,1497.0,121SC04,121SC04,SC04,SC04,60.0,FULTON,121.0,white,51949.0,SC04,859.0,231.0,272.0,514.0,0.0,0.0,FULTON,both
77,77.0,797909.0,18.69,1401.0,121CH05,121CH05,CH05,CH05,60.0,FULTON,121.0,white,41282.0,CH05,328.0,151.0,36.0,193.0,0.0,0.0,FULTON,both
78,78.0,798082.0,6.8,1399.0,121CH04A,121CH04A,CH04A,CH04A,60.0,FULTON,121.0,white,41282.0,CH04A,412.0,155.0,97.0,258.0,0.0,0.0,FULTON,both
79,79.0,1073521.0,2.69,466.0,063JB18,063JB18,JB18,JONESBORO 18,31.0,CLAYTON,63.0,black,52205.0,JONESBORO 18,2263.0,174.0,882.0,1076.0,0.0,0.0,CLAYTON,both
80,80.0,1073600.0,2.9,459.0,063JB11,063JB11,JB11,JONESBORO 11,31.0,CLAYTON,63.0,black,71803.0,JONESBORO 11,2840.0,439.0,1145.0,1611.0,0.0,0.0,CLAYTON,both
81,81.0,1073694.0,2.02,455.0,063JB07,063JB07,JB07,JONESBORO 7,31.0,CLAYTON,63.0,black,61414.0,JONESBORO 7,2340.0,296.0,930.0,1242.0,0.0,0.0,CLAYTON,both
82,82.0,1073760.0,3.84,454.0,063JB06,063JB06,JB06,JONESBORO 6,31.0,CLAYTON,63.0,white,98786.0,JONESBORO 6,2009.0,693.0,551.0,1264.0,0.0,0.0,CLAYTON,both
83,83.0,890832.0,0.14,1583.0,121UC032,121UC032,UC032,UC032,60.0,FULTON,121.0,black,49669.0,UC032,16.0,2.0,4.0,6.0,0.0,0.0,FULTON,both
84,84.0,890867.0,1.76,1526.0,121SC211,121SC211,SC211,SC211,60.0,FULTON,121.0,black,54300.0,SC211,820.0,13.0,434.0,448.0,0.0,0.0,FULTON,both
85,85.0,898570.0,1.94,449.0,063JB01,063JB01,JB01,JONESBORO 1,31.0,CLAYTON,63.0,black,39933.0,JONESBORO 1,3515.0,165.0,1423.0,1614.0,0.0,0.0,CLAYTON,both
86,86.0,1053163.0,1.68,486.0,063PH1,063PH1,PH1,PANHANDLE 1,31.0,CLAYTON,63.0,black,71320.0,PANHANDLE 1,2293.0,171.0,1144.0,1325.0,0.0,0.0,CLAYTON,both
87,87.0,1053201.0,2.08,461.0,063JB13,063JB13,JB13,JONESBORO 13,31.0,CLAYTON,63.0,black,61686.0,JONESBORO 13,1336.0,154.0,645.0,813.0,0.0,0.0,CLAYTON,both
88,88.0,1053254.0,1.85,471.0,063LJ4,063LJ4,LJ4,LOVEJOY 4,31.0,CLAYTON,63.0,black,62823.0,LOVEJOY 4,2983.0,159.0,1368.0,1544.0,0.0,0.0,CLAYTON,both
89,89.0,1053297.0,1.17,472.0,063LJ5,063LJ5,LJ5,LOVEJOY 5,31.0,CLAYTON,63.0,black,48898.0,LOVEJOY 5,2207.0,108.0,951.0,1074.0,0.0,0.0,CLAYTON,both
90,90.0,1044861.0,10.67,487.0,063PH2,063PH2,PH2,PANHANDLE 2,31.0,CLAYTON,63.0,black,71320.0,PANHANDLE 2,2043.0,367.0,785.0,1164.0,0.0,0.0,CLAYTON,both
91,91.0,1067981.0,1.49,452.0,063JB04,063JB04,JB04,JONESBORO 4,31.0,CLAYTON,63.0,black,37524.0,JONESBORO 4,1566.0,113.0,520.0,644.0,0.0,0.0,CLAYTON,both
92,92.0,1068024.0,7.56,470.0,063LJ3,063LJ3,LJ3,LOVEJOY 3,31.0,CLAYTON,63.0,black,66907.0,LOVEJOY 3,4240.0,405.0,1553.0,1982.0,0.0,0.0,CLAYTON,both
93,93.0,1068127.0,6.59,468.0,063LJ1,063LJ1,LJ1,LOVEJOY 1,31.0,CLAYTON,63.0,black,50463.0,LOVEJOY 1,2716.0,269.0,1239.0,1531.0,0.0,0.0,CLAYTON,both
94,94.0,1068221.0,4.84,469.0,063LJ2,063LJ2,LJ2,LOVEJOY 2,31.0,CLAYTON,63.0,black,59069.0,LOVEJOY 2,2257.0,141.0,936.0,1088.0,0.0,0.0,CLAYTON,both
95,95.0,1068289.0,1.42,453.0,063JB05,063JB05,JB05,JONESBORO 5,31.0,CLAYTON,63.0,black,62825.0,JONESBORO 5,1532.0,223.0,537.0,768.0,0.0,0.0,CLAYTON,both
96,96.0,1068337.0,3.61,462.0,063JB14,063JB14,JB14,JONESBORO 14,31.0,CLAYTON,63.0,black,66969.0,JONESBORO 14,3390.0,684.0,1290.0,2007.0,0.0,0.0,CLAYTON,both
97,97.0,5075546.0,4.55,1804.0,135147,135147,147,BAYCREEK I,67.0,GWINNETT,135.0,,90842.0,BAYCREEK I,3769.0,906.0,913.0,1873.0,0.0,0.0,GWINNETT,both
98,98.0,5075606.0,7.52,1737.0,13580,13580,80,BAYCREEK C,67.0,GWINNETT,135.0,,84393.0,BAYCREEK C,4139.0,1153.0,1058.0,2254.0,0.0,0.0,GWINNETT,both
99,99.0,5075667.0,2.27,1747.0,13590,13590,90,LAWRENCEVILLE I,67.0,GWINNETT,135.0,,57021.0,LAWRENCEVILLE I,2168.0,555.0,516.0,1113.0,0.0,0.0,GWINNETT,both
100,100.0,5075729.0,2.33,1742.0,13585,13585,85,LAWRENCEVILLE H,67.0,GWINNETT,135.0,white,88378.0,LAWRENCEVILLE H,3140.0,1004.0,544.0,1596.0,0.0,0.0,GWINNETT,both
101,101.0,5075788.0,1.38,1789.0,135132,135132,132,LAWRENCEVILLE K,67.0,GWINNETT,135.0,white,87845.0,LAWRENCEVILLE K,2467.0,779.0,454.0,1258.0,0.0,0.0,GWINNETT,both
102,102.0,5075831.0,4.06,1717.0,13560,13560,60,LAWRENCEVILLE D,67.0,GWINNETT,135.0,,62617.0,LAWRENCEVILLE D,3229.0,346.0,745.0,1109.0,0.0,0.0,GWINNETT,both
103,103.0,5075925.0,3.18,1699.0,13542,13542,42,LAWRENCEVILLE C,67.0,GWINNETT,135.0,white,86150.0,LAWRENCEVILLE C,2190.0,774.0,320.0,1138.0,0.0,0.0,GWINNETT,both
104,104.0,5219882.0,4.27,1666.0,1359,1359,9,PUCKETTS A,67.0,GWINNETT,135.0,white,80975.0,PUCKETTS A,3549.0,1387.0,463.0,1893.0,0.0,0.0,GWINNETT,both
105,105.0,5220026.0,4.39,1792.0,135135,135135,135,PUCKETTS C,67.0,GWINNETT,135.0,white,90506.0,PUCKETTS C,2259.0,784.0,301.0,1129.0,0.0,0.0,GWINNETT,both
106,106.0,5093428.0,6.33,1660.0,1353,1353,3,DACULA,67.0,GWINNETT,135.0,white,88376.0,DACULA,3307.0,909.0,766.0,1719.0,0.0,0.0,GWINNETT,both
107,107.0,5093509.0,2.43,1809.0,135152,135152,152,ROCKYCREEK C,67.0,GWINNETT,135.0,white,92688.0,ROCKYCREEK C,3497.0,1187.0,668.0,1888.0,0.0,0.0,GWINNETT,both
108,108.0,5093552.0,2.39,1794.0,135137,135137,137,ROCKYCREEK B,67.0,GWINNETT,135.0,white,80511.0,ROCKYCREEK B,3657.0,1217.0,626.0,1903.0,0.0,0.0,GWINNETT,both
109,109.0,5093594.0,3.01,1811.0,135154,135154,154,PUCKETTS D,67.0,GWINNETT,135.0,white,80791.0,PUCKETTS D,2286.0,901.0,289.0,1231.0,0.0,0.0,GWINNETT,both
110,110.0,5093659.0,3.03,1665.0,1358,1358,8,DUNCANS A,67.0,GWINNETT,135.0,white,110889.0,DUNCANS A,3536.0,1523.0,440.0,2016.0,0.0,0.0,GWINNETT,both
111,111.0,5093729.0,1.6,1670.0,13513,13513,13,DUNCANS C,67.0,GWINNETT,135.0,white,111087.0,DUNCANS C,2380.0,1086.0,262.0,1384.0,0.0,0.0,GWINNETT,both
112,112.0,5093769.0,4.15,1479.0,121RW09,121RW09,RW09,RW09,60.0,FULTON,121.0,white,176443.0,RW09,2442.0,1051.0,329.0,1398.0,0.0,0.0,FULTON,both
113,113.0,5066269.0,3.41,1765.0,135108,135108,108,BAYCREEK E,67.0,GWINNETT,135.0,,80886.0,BAYCREEK E,2265.0,638.0,469.0,1129.0,0.0,0.0,GWINNETT,both
114,114.0,5066342.0,5.08,1802.0,135145,135145,145,BAYCREEK G,67.0,GWINNETT,135.0,white,76761.0,BAYCREEK G,3107.0,948.0,670.0,1646.0,0.0,0.0,GWINNETT,both
115,115.0,5066508.0,7.92,1803.0,135146,135146,146,BAYCREEK H,67.0,GWINNETT,135.0,white,82443.0,BAYCREEK H,4012.0,1479.0,676.0,2191.0,0.0,0.0,GWINNETT,both
116,116.0,5066591.0,3.41,1748.0,13591,13591,91,BAYCREEK D,67.0,GWINNETT,135.0,white,94098.0,BAYCREEK D,3355.0,1181.0,652.0,1882.0,0.0,0.0,GWINNETT,both
117,117.0,5521053.0,11.28,1790.0,135133,135133,133,HARBINS B,67.0,GWINNETT,135.0,white,82440.0,HARBINS B,2851.0,1059.0,355.0,1469.0,0.0,0.0,GWINNETT,both
118,118.0,5521161.0,7.04,1685.0,13528,13528,28,ROCKYCREEK A,67.0,GWINNETT,135.0,white,103858.0,ROCKYCREEK A,3847.0,1355.0,668.0,2074.0,0.0,0.0,GWINNETT,both
119,119.0,5521221.0,6.29,1786.0,135129,135129,129,DUNCANS B,67.0,GWINNETT,135.0,white,111273.0,DUNCANS B,3262.0,1365.0,392.0,1808.0,0.0,0.0,GWINNETT,both
120,120.0,5646016.0,7.06,1696.0,13539,13539,39,DUNCANS D,67.0,GWINNETT,135.0,white,111722.0,DUNCANS D,4282.0,1759.0,439.0,2261.0,0.0,0.0,GWINNETT,both
121,121.0,4973944.0,4.4,1761.0,135104,135104,104,ROCKBRIDGE F,67.0,GWINNETT,135.0,black,74483.0,ROCKBRIDGE F,4120.0,621.0,1634.0,2287.0,0.0,0.0,GWINNETT,both
122,122.0,4974009.0,3.91,1733.0,13576,13576,76,ROCKBRIDGE D,67.0,GWINNETT,135.0,black,74483.0,ROCKBRIDGE D,2726.0,538.0,954.0,1505.0,0.0,0.0,GWINNETT,both
123,123.0,4974227.0,1.42,1709.0,13552,13552,52,BERKSHIRE G,67.0,GWINNETT,135.0,white,86326.0,BERKSHIRE G,1785.0,675.0,395.0,1103.0,0.0,0.0,GWINNETT,both
124,124.0,5511983.0,13.74,1658.0,1351,1351,1,HARBINS A,67.0,GWINNETT,135.0,white,77447.0,HARBINS A,4016.0,1303.0,747.0,2122.0,0.0,0.0,GWINNETT,both
125,125.0,5512082.0,5.93,1808.0,135151,135151,151,HARBINS C,67.0,GWINNETT,135.0,white,77448.0,HARBINS C,1708.0,722.0,201.0,944.0,0.0,0.0,GWINNETT,both
126,126.0,4313752.0,1.3,649.0,067WL01,067WL01,WL01,WILLEO 01,33.0,COBB,67.0,white,136873.0,WILLEO 01,,,,,,,,left_only
127,127.0,4785216.0,0.25,1477.0,121RW07B,121RW07B,RW07B,RW07B,60.0,FULTON,121.0,hispanic,45170.0,RW07B,307.0,56.0,85.0,149.0,0.0,0.0,FULTON,both
128,128.0,4785253.0,0.45,1380.0,121AP03,121AP03,AP03,AP03,60.0,FULTON,121.0,,57454.0,AP03,640.0,60.0,144.0,211.0,0.0,0.0,FULTON,both
129,129.0,4785283.0,2.73,1474.0,121RW05,121RW05,RW05,RW05,60.0,FULTON,121.0,,58003.0,RW05,1701.0,284.0,347.0,644.0,0.0,0.0,FULTON,both
