county,dem_votes,precinct,rep_votes,total
FULTON,1241,ML05C,1410,2651
FULTON,681,ML06A,366,1047
FULTON,1031,ML06B,708,1739
FULTON,32,ML071,45,77
FULTON,218,ML072,546,764
FULTON,135,ML07A,330,465
FULTON,160,MP01,149,309
FULTON,1073,PA01,389,1462
FULTON,1248,RW01,2033,3281
FULTON,1231,RW02,1444,2675
FULTON,1433,RW03,1186,2619
FULTON,599,RW04,672,1271
FULTON,707,RW05,423,1130
FULTON,932,RW06,921,1853
FULTON,526,RW07A,111,637
FULTON,169,RW07B,63,232
FULTON,523,RW08,955,1478
FULTON,1394,RW09,2745,4139
FULTON,932,RW10,1357,2289
FULTON,823,RW11A,819,1642
FULTON,1617,RW12,2547,4164
FULTON,1057,RW13,1282,2339
FULTON,559,RW16,744,1303
FULTON,965,RW17,659,1624
FULTON,569,RW19,855,1424
FULTON,859,RW20,1038,1897
FULTON,816,RW21,1323,2139
FULTON,1393,RW22A,937,2330
FULTON,2705,SC01B,86,2791
FULTON,622,SC02,20,642
FULTON,390,SC04,221,611
FULTON,419,SC05A,8,427
FULTON,2015,SC05B,67,2082
FULTON,1494,SC05D,134,1628
FULTON,3056,SC07A,348,3404
FULTON,1906,SC08B,63,1969
FULTON,56,SC08C,0,56
FULTON,316,SC08D,7,323
FULTON,273,SC08E,1,274
FULTON,360,SC08F,19,379
FULTON,2,SC08G,0,2
FULTON,1731,SC09A,79,1810
FULTON,1036,SC09B,32,1068
FULTON,780,SC10,27,807
FULTON,825,SC11A,23,848
FULTON,927,SC11B,24,951
FULTON,1477,SC13,85,1562
FULTON,523,SC14,18,541
FULTON,3893,SC15,168,4061
FULTON,2858,SC16,62,2920
FULTON,35,SC17A,0,35
FULTON,644,SC17C,28,672
FULTON,304,SC18A,11,315
FULTON,3178,SC18B,101,3279
FULTON,111,SC19A,3,114
FULTON,691,SC19B,23,714
FULTON,743,SC211,29,772
FULTON,1740,SC212,112,1852
FULTON,2943,SC23A,92,3035
FULTON,293,SC23B,8,301
FULTON,1274,SC27,40,1314
FULTON,1626,SC29A,51,1677
