,PRECINCT_N,ajc_precinct,BEN CARSON,BERNIE SANDERS,CARLY FIORINA,CHRIS CHRISTIE,GEORGE PATAKI,HILLARY CLINTON,JEB BUSH,JOHN R. KASICH,LINDSEY GRAHAM,MARCO RUBIO,MARTIN O'MALLEY,MICHAEL STEINBERG,MIKE HUCKABEE,RAND PAUL,RICK SANTORUM,dem_votes,precinct,rep_votes,total,rep_p,dem_p,_merge
233,07J,07J,,,,,,,,,,,,,,,,,,,,,,left_only
234,07H,07H,,,,,,,,,,,,,,,,,,,,,,left_only
235,08G,08G,,,,,,,,,,,,,,,,,,,,,,left_only
236,08C,08C,,,,,,,,,,,,,,,,,,,,,,left_only
237,08B,08B,,,,,,,,,,,,,,,,,,,,,,left_only
238,06I,06I,,,,,,,,,,,,,,,,,,,,,,left_only
239,MT BETHEL 01,MOUNT BETHEL 01,,,,,,,,,,,,,,,,,,,,,,left_only
240,SS18B,SS18B,,,,,,,,,,,,,,,,,,,,,,left_only
241,TIMBER RIDGE 01,TIMBER RIDGE 01,,,,,,,,,,,,,,,,,,,,,,left_only
242,SS02A,SS02A,,,,,,,,,,,,,,,,,,,,,,left_only
243,SS19B,SS19B,,,,,,,,,,,,,,,,,,,,,,left_only
244,SS19A,SS19A,,,,,,,,,,,,,,,,,,,,,,left_only
245,SS29B,SS29B,,,,,,,,,,,,,,,,,,,,,,left_only
246,SS26,SS26,,,,,,,,,,,,,,,,,,,,,,left_only
247,SS20,SS20,,,,,,,,,,,,,,,,,,,,,,left_only
248,SS22,SS22,,,,,,,,,,,,,,,,,,,,,,left_only
249,RW11A,RW11A,,,,,,,,,,,,,,,,,,,,,,left_only
250,RW19,RW19,,,,,,,,,,,,,,,,,,,,,,left_only
251,ML012,ML012,,,,,,,,,,,,,,,,,,,,,,left_only
252,ML01B,ML01B,,,,,,,,,,,,,,,,,,,,,,left_only
253,AP04A,AP04A,,,,,,,,,,,,,,,,,,,,,,left_only
254,ML011,ML011,,,,,,,,,,,,,,,,,,,,,,left_only
255,AP04B,AP04B,,,,,,,,,,,,,,,,,,,,,,left_only
256,05A2,05A2,,,,,,,,,,,,,,,,,,,,,,left_only
257,03G,03G,,,,,,,,,,,,,,,,,,,,,,left_only
258,03T,03T,,,,,,,,,,,,,,,,,,,,,,left_only
259,03P2,03P2,,,,,,,,,,,,,,,,,,,,,,left_only
260,04F,04F,,,,,,,,,,,,,,,,,,,,,,left_only
261,03P1A,03P1A,,,,,,,,,,,,,,,,,,,,,,left_only
262,03I,03I,,,,,,,,,,,,,,,,,,,,,,left_only
263,AP06,AP06,,,,,,,,,,,,,,,,,,,,,,left_only
264,AP07B,AP07B,,,,,,,,,,,,,,,,,,,,,,left_only
265,ML023,ML023,,,,,,,,,,,,,,,,,,,,,,left_only
266,ML022,ML022,,,,,,,,,,,,,,,,,,,,,,left_only
267,AP10,AP10,,,,,,,,,,,,,,,,,,,,,,left_only
268,ML04A,ML04A,,,,,,,,,,,,,,,,,,,,,,left_only
269,AP07A,AP07A,,,,,,,,,,,,,,,,,,,,,,left_only
270,ML024,ML024,,,,,,,,,,,,,,,,,,,,,,left_only
271,ML04B,ML04B,,,,,,,,,,,,,,,,,,,,,,left_only
272,ML021,ML021,,,,,,,,,,,,,,,,,,,,,,left_only
273,ML03,ML03,,,,,,,,,,,,,,,,,,,,,,left_only
274,ML07A,ML07A,,,,,,,,,,,,,,,,,,,,,,left_only
275,ML05B,ML05B,,,,,,,,,,,,,,,,,,,,,,left_only
276,12B,12B,,,,,,,,,,,,,,,,,,,,,,left_only
277,12S,12S,,,,,,,,,,,,,,,,,,,,,,left_only
278,01J,01J,,,,,,,,,,,,,,,,,,,,,,left_only
279,01C1,01C,,,,,,,,,,,,,,,,,,,,,,left_only
280,01C2,01C,,,,,,,,,,,,,,,,,,,,,,left_only
281,12A,12A,,,,,,,,,,,,,,,,,,,,,,left_only
282,12K,12K,,,,,,,,,,,,,,,,,,,,,,left_only
283,12N,12N,,,,,,,,,,,,,,,,,,,,,,left_only
284,04B,04B,,,,,,,,,,,,,,,,,,,,,,left_only
288,10K,10K,,,,,,,,,,,,,,,,,,,,,,left_only
289,10G,10G,,,,,,,,,,,,,,,,,,,,,,left_only
290,11H,11H,,,,,,,,,,,,,,,,,,,,,,left_only
291,10J,10J,,,,,,,,,,,,,,,,,,,,,,left_only
292,12L,12L,,,,,,,,,,,,,,,,,,,,,,left_only
293,12G,12G,,,,,,,,,,,,,,,,,,,,,,left_only
294,12D,12D,,,,,,,,,,,,,,,,,,,,,,left_only
