,Unnamed: 0,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,income_race_precincts_race,income_race_precincts_avg_income,ajc_precinct,Precinct,County,rep_votes,dem_votes,total,rep_p,dem_p,_merge
868,868.0,4743959.0,1.54,855.0,089GD,089GD,GD,GEORGETOWN SQ (DUN),44.0,DEKALB,89.0,white,93518.2565336,GEORGETOWN SQ UN),,,,,,,,left_only
869,869.0,4744017.0,0.88,833.0,089DF,089DF,DF,DUNWOODY (DUN),44.0,DEKALB,89.0,,103704.870622,DUNWOODY UN),,,,,,,,left_only
870,870.0,4744072.0,1.03,899.0,089MS,089MS,MS,MOUNT VERNON WEST (D,44.0,DEKALB,89.0,white,135705.256782,MOUNT VERNON WEST,,,,,,,,left_only
895,895.0,5002457.0,2.75,1692.0,13535,13535,35,CATES D,67.0,GWINNETT,135.0,white,95189.7064185,CATES D,,,,,,,,left_only
914,,,,,,,,,,,,,,,HARMONY LELAND 01,Cobb,69.0,69.0,138.0,0.0,0.0,right_only
915,,,,,,,,,,,,,,,LASSSITER 01,Cobb,69.0,69.0,138.0,0.0,0.0,right_only
916,,,,,,,,,,,,,,,MOUNT BETHEL 01,Cobb,69.0,69.0,138.0,0.0,0.0,right_only
917,,,,,,,,,,,,,,,MOUNT BETHEL 03,Cobb,69.0,69.0,138.0,0.0,0.0,right_only
918,,,,,,,,,,,,,,,MOUNT BETHEL 04,Cobb,69.0,69.0,138.0,0.0,0.0,right_only
919,,,,,,,,,,,,,,,ROCKY MOUNTAIN 01,Cobb,69.0,69.0,138.0,0.0,0.0,right_only
920,,,,,,,,,,,,,,,SHALLOWFORD FALL 01,Cobb,69.0,69.0,138.0,0.0,0.0,right_only
921,,,,,,,,,,,,,,,VAUGHN 01,Cobb,69.0,69.0,138.0,0.0,0.0,right_only
922,,,,,,,,,,,,,,,WILEO 01,Cobb,69.0,69.0,138.0,0.0,0.0,right_only
923,,,,,,,,,,,,,,,ASHFORD PARKSIDE,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
924,,,,,,,,,,,,,,,AVONDALE,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
925,,,,,,,,,,,,,,,AVONDALE HIGH - 04,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
926,,,,,,,,,,,,,,,AVONDALE HIGH - 05,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
927,,,,,,,,,,,,,,,BOULDERCREST RD,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
928,,,,,,,,,,,,,,,BOULEVARD,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
929,,,,,,,,,,,,,,,BRIARWOOD,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
930,,,,,,,,,,,,,,,BROOKHAVEN,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
931,,,,,,,,,,,,,,,BURGESS ELEM,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
932,,,,,,,,,,,,,,,CHAMBLEE,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
933,,,,,,,,,,,,,,,CHAMBLEE 2,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
934,,,,,,,,,,,,,,,CHESNUT ELEM,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
935,,,,,,,,,,,,,,,CLAIREMONT EAST,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
936,,,,,,,,,,,,,,,CLAIREMONT WEST,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
937,,,,,,,,,,,,,,,CLARKSTON,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
938,,,,,,,,,,,,,,,COVINGTON HWY LIBRAR,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
939,,,,,,,,,,,,,,,CROSS KEYS HIGH,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
940,,,,,,,,,,,,,,,DORAVILLE NORTH,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
941,,,,,,,,,,,,,,,DORAVILLE SOUTH,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
942,,,,,,,,,,,,,,,DUNWOODY,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
943,,,,,,,,,,,,,,,DUNWOODY HIGH,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
944,,,,,,,,,,,,,,,DUNWOODY LIBRARY,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
945,,,,,,,,,,,,,,,EAST LAKE ELEM,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
946,,,,,,,,,,,,,,,EPWORTH,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
947,,,,,,,,,,,,,,,GEORGETOWN SQUARE,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
948,,,,,,,,,,,,,,,GLENNWOOD - 04,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
949,,,,,,,,,,,,,,,GLENNWOOD - 05,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
950,,,,,,,,,,,,,,,HARRIS-NARVIE J. HAR,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
951,,,,,,,,,,,,,,,JOHNSON ESTATES,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
952,,,,,,,,,,,,,,,KINGSLEY ELEM,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
953,,,,,,,,,,,,,,,KITTREDGE ELEM,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
954,,,,,,,,,,,,,,,LITHONIA,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
955,,,,,,,,,,,,,,,MEDLOCK ELEM,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
956,,,,,,,,,,,,,,,METROPOLITAN,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
957,,,,,,,,,,,,,,,MILLER-ELDRIDGE L. M,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
958,,,,,,,,,,,,,,,MILLER GROVE MIDDLE,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
959,,,,,,,,,,,,,,,MONTGOMERY ELEM,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
960,,,,,,,,,,,,,,,MT. VERNON EAST,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
961,,,,,,,,,,,,,,,MT. VERNON WEST,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
962,,,,,,,,,,,,,,,NORTH PEACHTREE,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
963,,,,,,,,,,,,,,,OAKHURST,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
964,,,,,,,,,,,,,,,PEACHTREE MIDDLE,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
965,,,,,,,,,,,,,,,PINE LAKE,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
966,,,,,,,,,,,,,,,PONCE DE LEON,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
967,,,,,,,,,,,,,,,RENFROE MIDDLE,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
968,,,,,,,,,,,,,,,SILVER LAKE,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
969,,,,,,,,,,,,,,,SKYLAND,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
970,,,,,,,,,,,,,,,SMOKE RISE ELEM,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
971,,,,,,,,,,,,,,,SNAPFINGER ROAD NORT,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
972,,,,,,,,,,,,,,,SNAPFINGER ROAD SOUT,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
973,,,,,,,,,,,,,,,STONE MOUNTAIN CHAMP,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
974,,,,,,,,,,,,,,,STONE MOUNTAIN LIBRA,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
975,,,,,,,,,,,,,,,STONE MOUNTAIN MIDDL,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
976,,,,,,,,,,,,,,,TERRY MILL ELEM,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
977,,,,,,,,,,,,,,,TILLY MILL ROAD,DeKalb,69.0,69.0,138.0,0.0,0.0,right_only
