,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,income_race_precincts_race,income_race_precincts_avg_income,ajc_precinct
139,4036418,1.21,485,063OAK4,063OAK4,OAK4,OAK 4,31,CLAYTON,63,black,50172.3189563,OAK 4
140,4036474,1.01,483,063OAK2,063OAK2,OAK2,OAK 2,31,CLAYTON,63,black,46756.5878746,OAK 2
141,4036533,0.88,497,063RD10,063RD10,RD10,RIVERDALE 10,31,CLAYTON,63,black,31847.5402106,RIVERDALE 10
142,4036579,2.26,484,063OAK3,063OAK3,OAK3,OAK 3,31,CLAYTON,63,black,34426.8627647,OAK 3
143,4036644,0.76,1410,121CP06,121CP06,CP06,CP06,60,FULTON,121,white,57248.9999336,CP06
144,4036697,0.25,1409,121CP05B,121CP05B,CP05B,CP05B,60,FULTON,121,black,35056.3167721,CP05B
145,4036726,0.08,1413,121CP07D,121CP07D,CP07D,CP07D,60,FULTON,121,black,35016.0,CP07D
146,4770756,1.28,1478,121RW08,121RW08,RW08,RW08,60,FULTON,121,white,104907.832885,RW08
147,4770800,1.38,1488,121RW18,121RW18,RW18,RW18,60,FULTON,121,white,152029.727253,RW18
148,4770852,1.48,1486,121RW16,121RW16,RW16,RW16,60,FULTON,121,white,110849.313211,RW16
149,4770890,2.4,1483,121RW12,121RW12,RW12,RW12,60,FULTON,121,white,113046.672824,RW12
150,4770952,1.08,836,089DI,089DI,DI,DUNWOODY LIBRARY (DU,44,DEKALB,89,white,159717.823872,DUNWOODY LIBRARY
151,4771006,1.23,789,089AD,089AD,AD,AUSTIN,44,DEKALB,89,white,157989.300633,AUSTIN
152,4771060,1.09,897,089MQ,089MQ,MQ,MOUNT VERNON EAST (D,44,DEKALB,89,white,146753.47041,MT. VERNON EAST
153,4771112,0.4,1561,121SS15B,121SS15B,SS15B,SS15B,60,FULTON,121,,72017.9998374,SS15B
154,4771146,3.47,1563,121SS17,121SS17,SS17,SS17,60,FULTON,121,white,46878.6732202,SS17
155,4044457,6.92,482,063OAK1,063OAK1,OAK1,OAK 1,31,CLAYTON,63,black,40769.3914333,OAK 1
156,4044614,1.09,1405,121CP02,121CP02,CP02,CP02,60,FULTON,121,,79794.9668548,CP02
157,4044714,0.15,1404,121CP01B,121CP01B,CP01B,CP01B,60,FULTON,121,,79794.9992581,CP01B
158,4251043,1.39,644,067VG01,067VG01,VG01,VININGS 01,33,COBB,67,white,88765.7888437,VININGS 01
159,4251121,1.1,1319,12109F,12109F,09F,09F,60,FULTON,121,white,92955.4619794,09F
160,4251171,0.38,1312,12108N2,12108N2,08N2,08N2,60,FULTON,121,white,221381.421359,08N2
161,4251207,0.49,1311,12108N1,12108N1,08N1,08N1,60,FULTON,121,white,221299.000193,08N1
162,4251244,1.45,1303,12108F1,12108F1,08F1,08F1,60,FULTON,121,white,226070.090638,08F1
163,4251295,3.25,1298,12108A,12108A,08A,08A,60,FULTON,121,white,263565.203108,08A
164,4251371,0.94,1301,12108D,12108D,08D,08D,60,FULTON,121,white,255725.654679,08D
165,4259115,2.4,520,067CA01,067CA01,CA01,CHATTAHOOCHEE 01,33,COBB,67,,67115.7864348,CHATTAHOOCHEE 01
166,4259191,1.3,641,067TM01,067TM01,TM01,TERRELL MILL 01,33,COBB,67,,62734.6678864,TERRELL MILL 01
167,4259309,2.85,637,067SO02,067SO02,SO02,SOPE CREEK 02,33,COBB,67,white,109556.046759,SOPE CREEK 02
168,4259387,4.12,1550,121SS09A,121SS09A,SS09A,SS09A,60,FULTON,121,white,66325.2756171,SS09A
169,4259455,2.49,638,067SO03,067SO03,SO03,SOPE CREEK 03,33,COBB,67,white,166386.08086,SOPE CREEK 03
170,4259505,2.56,1562,121SS16,121SS16,SS16,SS16,60,FULTON,121,,58034.0000791,SS16
171,4848415,2.19,1387,121AP09A,121AP09A,AP09A,AP09A,60,FULTON,121,white,105645.403973,AP09A
172,4848474,1.83,1778,135121,135121,121,PINCKNEYVILLE X,67,GWINNETT,135,white,112622.830828,PINCKNEYVILLE X
173,4848523,4.79,1697,13540,13540,40,PINCKNEYVILLE H,67,GWINNETT,135,,88833.7062525,PINCKNEYVILLE H
174,4848626,3.34,1439,121JC12,121JC12,JC12,JC12,60,FULTON,121,white,170409.619398,JC12
175,4848690,1.89,1756,13599,13599,99,PINCKNEYVILLE T,67,GWINNETT,135,,63661.8072709,PINCKNEYVILLE T
176,4763972,0.66,1560,121SS15A,121SS15A,SS15A,SS15A,60,FULTON,121,black,44353.0003431,SS15A
177,4764015,2.48,621,067RW01,067RW01,RW01,ROSWELL 01,33,COBB,67,white,135308.349366,ROSWELL 01
178,4764088,2.53,1471,121RW02,121RW02,RW02,RW02,60,FULTON,121,white,142982.961069,RW02
179,4764155,2.2,1480,121RW10,121RW10,RW10,RW10,60,FULTON,121,white,121373.989042,RW10
180,4764210,2.27,1485,121RW15,121RW15,RW15,RW15,60,FULTON,121,white,166033.558256,RW15
181,4764273,4.01,1470,121RW01,121RW01,RW01,RW01,60,FULTON,121,white,108603.189828,RW01
182,4764348,3.03,1472,121RW03,121RW03,RW03,RW03,60,FULTON,121,,71633.4028417,RW03
183,5034183,1.9,1812,135155,135155,155,SUWANEE G,67,GWINNETT,135,white,120739.198901,SUWANEE G
184,5034227,3.29,1797,135140,135140,140,SUWANEE H,67,GWINNETT,135,white,145658.999772,SUWANEE H
185,5034287,1.72,1674,13517,13517,17,MARTINS A,67,GWINNETT,135,,59083.7728671,MARTINS A
186,5034337,3.72,1734,13577,13577,77,GOODWINS C,67,GWINNETT,135,,67035.1992435,GOODWINS C
187,5034415,2.8,1754,13597,13597,97,GOODWINS E,67,GWINNETT,135,,83664.9144076,GOODWINS E
188,3958663,2.52,567,067LM02,067LM02,LM02,LOST MOUNTAIN 02,33,COBB,67,white,132393.217757,LOST MOUNTAIN 02
189,3958718,2.33,547,067FR01,067FR01,FR01,FORD 01,33,COBB,67,white,140268.115179,FORD 01
190,3958775,3.18,532,067DU01,067DU01,DU01,DURHAM 01,33,COBB,67,white,122343.99999,DURHAM 01
191,3958825,5.54,563,067KP03,067KP03,KP03,KEMP 03,33,COBB,67,white,123383.605978,KEMP 03
192,3958891,2.45,548,067FY01,067FY01,FY01,FREY 01,33,COBB,67,white,121066.425676,FREY 01
193,3958944,2.02,569,067LM04,067LM04,LM04,LOST MOUNTAIN 04,33,COBB,67,white,130492.169301,LOST MOUNTAIN 04
194,3958991,9.31,593,067MS01,067MS01,MS01,MARS HILL 01,33,COBB,67,white,105760.970971,MARS HILL 01
195,3959109,1.48,570,067LW01,067LW01,LW01,LEWIS 01,33,COBB,67,white,99747.7968572,LEWIS 01
196,5047868,2.27,1788,135131,135131,131,SUWANEE E,67,GWINNETT,135,white,145658.999952,SUWANEE E
197,5047916,2.21,1661,1354,1354,4,SUWANEE A,67,GWINNETT,135,white,100037.072778,SUWANEE A
198,5047982,2.17,1755,13598,13598,98,GOODWINS F,67,GWINNETT,135,white,86616.2120716,GOODWINS F
199,5048051,2.76,1799,135142,135142,142,SUWANEE F,67,GWINNETT,135,,108954.871969,SUWANEE F
200,5048109,2.84,1757,135100,135100,100,SUWANEE B,67,GWINNETT,135,,108992.821252,SUWANEE B
201,5048163,2.38,1687,13530,13530,30,CATES C,67,GWINNETT,135,,70953.6404458,CATES C
202,5084595,2.13,1727,13570,13570,70,GOODWINS B,67,GWINNETT,135,white,102252.99995,GOODWINS B
203,5084641,2.75,1683,13526,13526,26,HOG MOUNTAIN A,67,GWINNETT,135,,82901.170437,HOG MOUNTAIN A
204,5084696,2.16,1688,13531,13531,31,HOG MOUNTAIN D,67,GWINNETT,135,white,89986.5605277,HOG MOUNTAIN D
205,5084745,4.43,1793,135136,135136,136,HOG MOUNTAIN C,67,GWINNETT,135,white,80519.2148583,HOG MOUNTAIN C
206,5084801,4.87,1724,13567,13567,67,PUCKETTS E,67,GWINNETT,135,white,80968.0378222,PUCKETTS E
207,5084859,2.41,1728,13571,13571,71,LAWRENCEVILLE F,67,GWINNETT,135,,80776.9390566,LAWRENCEVILLE F
208,5084911,4.5,1801,135144,135144,144,LAWRENCEVILLE M,67,GWINNETT,135,,70796.5579162,LAWRENCEVILLE M
209,5084980,5.63,1684,13527,13527,27,HOG MOUNTAIN B,67,GWINNETT,135,white,86588.316059,HOG MOUNTAIN B
210,4302647,1.83,546,067FP01,067FP01,FP01,FULLERS PARK 01,33,COBB,67,white,130850.90241,FULLERS PARK 01
211,4302716,1.87,626,067SM01,067SM01,SM01,SEWELL MILL 01,33,COBB,67,white,125454.990659,SEWELL MILL 01
212,4302796,1.94,577,067MD01,067MD01,MD01,MURDOCK 01,33,COBB,67,white,126857.326326,MURDOCK 01
213,4302856,1.99,597,067MT04,067MT04,MT04,MT BETHEL 04,33,COBB,67,white,209538.999635,MOUNT BETHEL 04
214,4302911,1.67,534,067EA01,067EA01,EA01,EASTSIDE 01,33,COBB,67,white,122972.150886,EASTSIDE 01
215,4302972,1.19,531,067DO01,067DO01,DO01,DODGEN 01,33,COBB,67,white,135135.423006,DODGEN 01
216,4303023,1.43,527,067CR01,067CR01,CR01,CHESTNUT RIDGE 01,33,COBB,67,white,126045.486549,CHESTNUT RIDGE 01
217,4303089,1.67,622,067RW02,067RW02,RW02,ROSWELL 02,33,COBB,67,white,153556.991168,ROSWELL 02
218,4189043,1.96,648,067WG02,067WG02,WG02,WADE GREEN 02,33,COBB,67,white,84696.1926927,WADE GREEN 02
219,4189087,1.11,513,067BG02,067BG02,BG02,BIG SHANTY 02,33,COBB,67,white,101215.728602,BIG SHANTY 02
220,4189152,1.03,618,067PT01,067PT01,PT01,PITNER 01,33,COBB,67,white,111668.999885,PITNER 01
221,4189207,3.75,523,067CK01,067CK01,CK01,CHALKER 01,33,COBB,67,white,57427.9083144,CHALKER 01
222,4189282,1.55,614,067PR01,067PR01,PR01,PALMER 01,33,COBB,67,white,87389.9386063,PALMER 01
223,4189336,3.58,511,067BF03,067BF03,BF03,BELLS FERRY 03,33,COBB,67,white,77375.5927994,BELLS FERRY 03
224,4088718,0.37,1237,12103E,12103E,03E,03E,60,FULTON,121,black,19653.4983947,03E
225,4088790,0.22,1256,12104J,12104J,04J,04J,60,FULTON,121,black,25242.292842,04J
226,4088850,0.27,1242,12103L,12103L,03L,03L,60,FULTON,121,black,60667.9997259,03L
227,4088903,0.71,1243,12103M,12103M,03M,03M,60,FULTON,121,white,57334.3119909,03M
228,4088960,0.69,1244,12103N,12103N,03N,03N,60,FULTON,121,black,29787.4994217,03N
