,county,dem_votes,precinct,rep_votes,total,prop
1392,FULTON,208,CP06A,12,220,0.0545454545455
851,DEKALB,965,GLENWOOD ROAD,56,1021,0.0548481880509
471,CLAYTON,693,OAK 2,41,734,0.0558583106267
2363,RICHMOND,506,809,30,536,0.0559701492537
952,DEKALB,765,STONEVIEW ELEM,46,811,0.0567200986436
486,CLAYTON,982,RIVERDALE 11,60,1042,0.0575815738964
1265,FULTON,98,05D,6,104,0.0576923076923
908,DEKALB,829,PANOLA,51,880,0.0579545454545
970,DEKALB,2075,WYNBROOKE ELEM,128,2203,0.0581025873808
505,COBB,1190,Bryant 01,74,1264,0.0585443037975
946,DEKALB,2026,STEPHENSON MIDDLE,126,2152,0.0585501858736
945,DEKALB,1871,STEPHENSON HIGH,117,1988,0.0588531187123
886,DEKALB,1181,MEMORIAL SOUTH,74,1255,0.0589641434263
2155,MUSCOGEE,2843,ST JOHN/BELVEDERE,179,3022,0.0592322964924
1496,FULTON,1714,SC212,108,1822,0.059275521405
881,DEKALB,2026,MCNAIR HIGH,130,2156,0.0602968460111
1268,FULTON,1208,05K,78,1286,0.0606531881804
2299,RICHMOND,1440,104,93,1533,0.0606653620352
1263,FULTON,815,05B,53,868,0.0610599078341
1349,FULTON,414,12G,27,441,0.0612244897959
887,DEKALB,1727,METROPOLITAN,114,1841,0.0619228680065
1213,FULTON,674,01T,46,720,0.0638888888889
967,DEKALB,1799,WOODRIDGE ELEM,123,1922,0.0639958376691
430,CLAYTON,3156,ELLENWOOD,218,3374,0.0646117368109
929,DEKALB,1556,ROWLAND ELEM,108,1664,0.0649038461538
947,DEKALB,1239,STONE MILL ELEM,87,1326,0.0656108597285
100,BIBB,2669,GODFREY 1,189,2858,0.0661301609517
487,CLAYTON,1497,RIVERDALE 12,110,1607,0.0684505289359
444,CLAYTON,1562,JONESBORO 8,115,1677,0.0685748360167
890,DEKALB,1289,MIDWAY ELEM,98,1387,0.0706560922855
453,CLAYTON,2141,JONESBORO 17,164,2305,0.0711496746204
480,CLAYTON,1409,RIVERDALE 5,108,1517,0.0711931443639
800,DEKALB,1725,BURGESS ELEM,133,1858,0.0715823466093
468,CLAYTON,1457,MORROW 8,114,1571,0.0725652450668
803,DEKALB,1695,CANDLER-MURPHEY CANDLER ELEM,133,1828,0.0727571115974
1216,FULTON,1076,02C,86,1162,0.0740103270224
1262,FULTON,1463,05A2,117,1580,0.0740506329114
911,DEKALB,986,PEACHCREST ELEM,79,1065,0.0741784037559
2333,RICHMOND,2114,502,171,2285,0.0748358862144
1226,FULTON,370,02S,30,400,0.075
1016,DOUGHERTY,849,Albany Middle School,69,918,0.0751633986928
2166,MUSCOGEE,2162,FAITH TABERNACLE,176,2338,0.0752780153978
1205,FULTON,243,01D,20,263,0.0760456273764
448,CLAYTON,1322,JONESBORO 12,109,1431,0.0761705101328
874,DEKALB,618,LITHONIA,51,669,0.0762331838565
122,BIBB,1471,VINEVILLE 3,122,1593,0.0765850596359
951,DEKALB,1036,STONE MOUNTAIN MIDDLE,87,1123,0.0774710596616
2402,SPALDING,855,FAIRMONT,72,927,0.0776699029126
1472,FULTON,1470,SC05D,124,1594,0.077791718946
926,DEKALB,1989,ROCK CHAPEL ROAD,168,2157,0.0778859527121
964,DEKALB,2006,WHITEFOORD ELEM,170,2176,0.078125
476,CLAYTON,1234,RIVERDALE 1,106,1340,0.0791044776119
101,BIBB,767,GODFREY 2,67,834,0.0803357314149
848,DEKALB,804,GLENHAVEN,71,875,0.0811428571429
832,DEKALB,2095,EAST LAKE ELEM,186,2281,0.0815431828146
2488,THOMAS,770,Resource Center,69,839,0.0822407628129
2330,RICHMOND,2265,405,204,2469,0.0826245443499
927,DEKALB,1506,ROCKBRIDGE ELEM,136,1642,0.0828258221681
1248,FULTON,821,04F,75,896,0.0837053571429
791,DEKALB,2575,BOULEVARD,236,2811,0.0839558875845
1803,HALL,1188,22-Gainesville II,109,1297,0.0840400925212
1010,DOUGHERTY,1097,Bill Miller Center,101,1198,0.0843071786311
924,DEKALB,1070,RENFROE MIDDLE,99,1169,0.0846877673225
608,COBB,905,Riverside 01,84,989,0.0849342770475
1202,FULTON,1810,01A,168,1978,0.0849342770475
344,CHATHAM,693,8-15 Garden City Rec Ctr,65,758,0.0857519788918
1250,FULTON,452,04I,43,495,0.0868686868687
437,CLAYTON,2160,JONESBORO 1,207,2367,0.0874524714829
302,CHATHAM,354,5-02 Senior Citizens Cent,34,388,0.0876288659794
814,DEKALB,2387,CLARKSTON,230,2617,0.0878868933894
1583,GLYNN,1366,Burroughs,132,1498,0.0881174899866
1206,FULTON,2803,01E,273,3076,0.0887516254876
461,CLAYTON,1314,MORROW 1,128,1442,0.0887656033287
820,DEKALB,846,COVINGTON,83,929,0.0893433799785
2331,RICHMOND,1719,406,170,1889,0.0899947061938
2303,RICHMOND,282,108,28,310,0.0903225806452
1266,FULTON,70,05F,7,77,0.0909090909091
102,BIBB,1500,GODFREY 3,153,1653,0.0925589836661
1261,FULTON,1398,05A1,143,1541,0.0927968851395
930,DEKALB,1044,ROWLAND ROAD,107,1151,0.0929626411816
907,DEKALB,1856,OAKHURST,192,2048,0.09375
1398,FULTON,2558,EP02,265,2823,0.0938717676231
965,DEKALB,1303,WINNONA PARK ELEM,135,1438,0.0938803894298
1397,FULTON,2507,EP01,261,2768,0.0942919075145
2328,RICHMOND,1381,402,145,1526,0.0950196592398
1203,FULTON,2226,01B,234,2460,0.0951219512195
846,DEKALB,1520,FREEDOM MIDDLE,161,1681,0.0957763236169
406,CLARKE,2035,2B Howard Stroud School,216,2251,0.0959573522879
460,CLAYTON,1363,LOVEJOY 5,147,1510,0.0973509933775
836,DEKALB,2603,EPWORTH,281,2884,0.0974341192788
483,CLAYTON,1468,RIVERDALE 8,159,1627,0.0977258758451
780,DEKALB,1571,ALLGOOD ELEM,172,1743,0.0986804360298
1217,FULTON,2087,02D,229,2316,0.0988773747841
788,DEKALB,847,AVONDALE HIGH - 05,93,940,0.0989361702128
479,CLAYTON,1738,RIVERDALE 4,192,1930,0.099481865285
1024,DOUGLAS,1608,COLONIAL HILLS,180,1788,0.10067114094
1220,FULTON,400,02F2,45,445,0.101123595506
1473,FULTON,2989,SC07A,337,3326,0.101322910403
901,DEKALB,1072,NORTH HAIRSTON,121,1193,0.101424979044
270,CHATHAM,952,2-05 Holy Spirit Lutheran,108,1060,0.101886792453
123,BIBB,1937,VINEVILLE 4,223,2160,0.103240740741
459,CLAYTON,2014,LOVEJOY 4,232,2246,0.103294746215
103,BIBB,885,GODFREY 4,103,988,0.104251012146
916,DEKALB,1507,PONCE DE LEON,178,1685,0.105637982196
2307,RICHMOND,406,114,48,454,0.105726872247
1816,HANCOCK,270,Second Beulah,32,302,0.105960264901
484,CLAYTON,1225,RIVERDALE 9,146,1371,0.106491611962
853,DEKALB,1645,HAMBRICK ELEM,197,1842,0.106948968512
451,CLAYTON,1047,JONESBORO 15,128,1175,0.108936170213
278,CHATHAM,472,3-03 Savannah High School,58,530,0.109433962264
407,CLARKE,1060,3A Clarke Central High,131,1191,0.109991603694
413,CLARKE,1243,5C Chase Street School,154,1397,0.110236220472
1221,FULTON,1893,02G,236,2129,0.110850164396
1219,FULTON,1633,02F1,208,1841,0.112982074959
948,DEKALB,1231,STONE MOUNTAIN CHAMPION,158,1389,0.113750899928
2240,PEACH,1572,FORT VALLEY #3,203,1775,0.114366197183
446,CLAYTON,1221,JONESBORO 10,158,1379,0.11457577955
1267,FULTON,332,05J,43,375,0.114666666667
2329,RICHMOND,908,404,118,1026,0.115009746589
1218,FULTON,1154,02E,150,1304,0.115030674847
273,CHATHAM,1553,2-09 The Salvation Army,202,1755,0.1150997151
104,BIBB,2183,GODFREY 5,285,2468,0.115478119935
455,CLAYTON,1173,LAKE CITY,154,1327,0.116051243406
1014,DOUGHERTY,1196,Phoebe East,158,1354,0.116691285081
1690,GWINNETT,2166,MARTINS E,288,2454,0.117359413203
2549,UPSON,240,SALEM,32,272,0.117647058824
913,DEKALB,352,PINE LAKE,47,399,0.117794486216
